,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,67 / 85,Естественный прирост населения  за 2017,-4.3,человека  на 1 000 в год
,59 / 85,Естественный прирост населения за 2016,-2.8,человека  на 1 000 в год
,65 / 85,Естественный прирост населения за 2015,-3.1,человека  на 1 000 в год
,58 / 85,Естественный прирост населения за 2014,-2.3,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2013,-2.7,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2012,-2.8,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2011,-2.8,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2010,-4.1,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2009,-4,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2008,-5.1,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2007,-5.3,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2006,-6.8,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2005,-8.2,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2004,-8.1,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2003,-9.7,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 2002,-8.6,человека  на 1 000 в год
,55 / 82,Естественный прирост населения за 2001,-8,человек  на 1 000 в год
,55 / 82,Естественный прирост населения за 2000,-7.8,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1999,-7.5,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 1998,-5.3,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 1997,-5.4,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1996,-6.2,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1995,-7.9,человека  на 1 000 в год
,62 / 81,Естественный прирост населения за 1994,-8.4,человека  на 1 000 в год
,56 / 81,Естественный прирост населения за 1993,-6.1,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 1992,-2.4,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1991,0.9,человека  на 1 000 в год
