,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,30 / 85,Естественный прирост населения  за 2017,-0.3,человека  на 1 000 в год
,32 / 85,Естественный прирост населения за 2016,0.7,человека  на 1 000 в год
,28 / 85,Естественный прирост населения за 2015,1.3,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2014,2,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2013,2.2,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2012,1.8,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2011,0.7,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2010,-0.2,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2009,-0.4,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2008,-0.5,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2007,-0.8,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2006,-2.7,человека  на 1 000 в год
,26 / 83,Естественный прирост населения за 2005,-4.1,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2004,-3.7,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2003,-4.3,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 2002,-4,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 2001,-3.5,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 2000,-3.5,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1999,-2.4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1998,-0.7,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 1997,-1.7,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1996,-2.5,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1995,-3.5,человека  на 1 000 в год
,28 / 81,Естественный прирост населения за 1994,-3.6,человека  на 1 000 в год
,24 / 81,Естественный прирост населения за 1993,-2.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1992,2,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 1991,4.8,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1990,6.1,человека  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость  за 2017,11.5,ребенка  на 1 000 в год
,38 / 85,Естественный прирост населения. Рождаемость за 2016,13.1,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2015,13.7,ребенка  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость за 2014,14.2,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2013,14.2,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2012,14,детей  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2011,13.1,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2009,12.4,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2008,12.2,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2007,11.9,ребенка  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2006,11.1,ребенка  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2005,11.1,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2004,11.5,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2003,11.3,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 2002,10.9,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 2001,10,детей  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 2000,9.4,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1999,9.1,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1998,9.9,ребенка  на 1 000 в год
,26 / 82,Естественный прирост населения. Рождаемость за 1997,9.4,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1996,9.7,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1995,9.7,ребенка  на 1 000 в год
,32 / 81,Естественный прирост населения. Рождаемость за 1994,10.1,ребенка  на 1 000 в год
,31 / 81,Естественный прирост населения. Рождаемость за 1993,10.1,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 1992,11.4,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 1991,12.7,ребенка  на 1 000 в год
,38 / 82,Естественный прирост населения. Рождаемость за 1990,13.6,ребенка  на 1 000 в год
,59 / 85,Естественный прирост населения. Смертность  за 2017,11.8,человека  на 1 000 в год
,59 / 85,Естественный прирост населения. Смертность за 2016,12.4,человека  на 1 000 в год
,60 / 85,Естественный прирост населения. Смертность за 2015,12.4,человека  на 1 000 в год
,59 / 83,Естественный прирост населения. Смертность за 2014,12.2,человека  на 1 000 в год
,60 / 83,Естественный прирост населения. Смертность за 2013,12,человек  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2012,12.2,человека  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2011,12.4,человека  на 1 000 в год
,61 / 83,Естественный прирост населения. Смертность за 2010,13.1,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2009,13.3,человека  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2008,13.2,человека  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2007,13.1,человека  на 1 000 в год
,59 / 83,Естественный прирост населения. Смертность за 2006,14.2,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2005,15.5,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2004,15.3,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2003,15.7,человека  на 1 000 в год
,59 / 82,Естественный прирост населения. Смертность за 2002,14.9,человека  на 1 000 в год
,64 / 82,Естественный прирост населения. Смертность за 2001,13.5,человека  на 1 000 в год
,67 / 82,Естественный прирост населения. Смертность за 2000,12.9,человека  на 1 000 в год
,68 / 82,Естественный прирост населения. Смертность за 1999,11.5,человека  на 1 000 в год
,68 / 82,Естественный прирост населения. Смертность за 1998,10.6,человека  на 1 000 в год
