,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,33 / 85,Естественный прирост населения  за 2017,-0.5,человека  на 1 000 в год
,32 / 85,Естественный прирост населения за 2016,0.7,человека  на 1 000 в год
,35 / 85,Естественный прирост населения за 2015,0.6,человека  на 1 000 в год
,32 / 85,Естественный прирост населения за 2014,1,человек  на 1 000 в год
,30 / 83,Естественный прирост населения за 2013,0.9,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2012,0.5,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2011,-1.1,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2010,-2.5,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2009,-2.2,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2008,-2.9,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2007,-3.4,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2006,-5.3,человека  на 1 000 в год
,49 / 83,Естественный прирост населения за 2005,-6.7,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2004,-6.1,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2003,-6,человек  на 1 000 в год
,44 / 82,Естественный прирост населения за 2002,-6.6,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 2001,-6.2,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 2000,-5.8,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1999,-5.5,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1998,-3.9,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1997,-3.8,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1996,-3.4,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1995,-3.5,человека  на 1 000 в год
,32 / 81,Естественный прирост населения за 1994,-3.8,человека  на 1 000 в год
,24 / 81,Естественный прирост населения за 1993,-2.1,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1992,1.2,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1991,3.7,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1990,5.5,человека  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость  за 2017,11.9,ребенка  на 1 000 в год
,21 / 85,Естественный прирост населения. Рождаемость за 2016,13.9,ребенка  на 1 000 в год
,22 / 85,Естественный прирост населения. Рождаемость за 2015,14.4,ребенка  на 1 000 в год
,20 / 85,Естественный прирост населения. Рождаемость за 2014,14.7,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2013,14.6,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2012,14.2,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2011,13.1,ребенка  на 1 000 в год
,40 / 83,Естественный прирост населения. Рождаемость за 2010,12.7,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2009,12.7,ребенка  на 1 000 в год
,36 / 83,Естественный прирост населения. Рождаемость за 2008,12.3,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2007,11.8,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2006,10.6,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2005,10.5,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2004,10.7,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2003,10.4,ребенка  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 2002,10,детей  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 2001,9.3,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 2000,9.1,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1999,8.8,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1998,8.9,ребенка  на 1 000 в год
,35 / 82,Естественный прирост населения. Рождаемость за 1997,9,детей  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1996,9.2,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1995,9.7,ребенка  на 1 000 в год
,28 / 81,Естественный прирост населения. Рождаемость за 1994,10.4,ребенка  на 1 000 в год
,25 / 81,Естественный прирост населения. Рождаемость за 1993,10.6,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1992,12.2,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 1991,14,детей  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 1990,15.8,ребенка  на 1 000 в год
,53 / 85,Естественный прирост населения. Смертность  за 2017,12.4,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность за 2016,13.2,человека  на 1 000 в год
,41 / 85,Естественный прирост населения. Смертность за 2015,13.8,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2014,13.7,человека  на 1 000 в год
