,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,70 / 85,Естественный прирост населения  за 2017,-5,человек  на 1 000 в год
,70 / 85,Естественный прирост населения за 2016,-4.3,человека  на 1 000 в год
,72 / 85,Естественный прирост населения за 2015,-4.4,человека  на 1 000 в год
,71 / 85,Естественный прирост населения за 2014,-4.3,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2013,-4.7,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2012,-4.5,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2011,-5.3,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2010,-6.2,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2009,-5.9,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2008,-5.9,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2007,-6.6,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2006,-7.8,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2005,-8.6,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2004,-8.1,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2003,-8.8,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 2002,-8.7,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 2001,-7.9,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 2000,-8.4,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1999,-7.8,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1998,-6.1,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1997,-6.5,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1996,-6.1,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1995,-5.1,человека  на 1 000 в год
,47 / 81,Естественный прирост населения за 1994,-6.1,человека  на 1 000 в год
,38 / 81,Естественный прирост населения за 1993,-4.1,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1992,-1.4,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 1991,0.5,человека  на 1 000 в год
