,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,8 / 85,Естественный прирост населения  за 2017,6.4,человека  на 1 000 в год
,9 / 85,Естественный прирост населения за 2016,7.6,человека  на 1 000 в год
,7 / 85,Естественный прирост населения за 2015,8.6,человека  на 1 000 в год
,8 / 85,Естественный прирост населения за 2014,9.2,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2013,8.8,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2012,8.5,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2011,7.7,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2010,7,человек  на 1 000 в год
,8 / 83,Естественный прирост населения за 2009,7,человек  на 1 000 в год
,8 / 83,Естественный прирост населения за 2008,6.1,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2007,6.4,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2006,4.7,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2005,4.1,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2004,5.3,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2003,4.8,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 2002,4.4,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 2001,3.7,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 2000,4,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1999,3.3,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1998,4.8,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1997,4.8,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1996,4.9,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1995,5.5,человека  на 1 000 в год
,4 / 81,Естественный прирост населения за 1994,5.7,человека  на 1 000 в год
,3 / 81,Естественный прирост населения за 1993,6.8,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1992,8.3,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1991,11,человек  на 1 000 в год
,6 / 82,Естественный прирост населения за 1990,12.7,человека  на 1 000 в год
,7 / 85,Естественный прирост населения. Рождаемость  за 2017,14.5,ребенка  на 1 000 в год
,8 / 85,Естественный прирост населения. Рождаемость за 2016,16,детей  на 1 000 в год
,8 / 85,Естественный прирост населения. Рождаемость за 2015,17.1,ребенка  на 1 000 в год
,6 / 85,Естественный прирост населения. Рождаемость за 2014,17.8,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2013,17.5,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2012,17.8,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2011,17.1,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2010,16.8,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2009,16.8,ребенка  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2008,16.2,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2007,16.1,ребенка  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2006,14.4,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2005,14.3,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2004,15.5,ребенка  на 1 000 в год
