,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,14 / 85,Естественный прирост населения  за 2017,2.5,человека  на 1 000 в год
,13 / 85,Естественный прирост населения за 2016,3.7,человека  на 1 000 в год
,14 / 85,Естественный прирост населения за 2015,3.9,человека  на 1 000 в год
,13 / 85,Естественный прирост населения за 2014,4.6,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2013,4.8,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2012,4.7,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2011,3.7,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2010,3.6,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2009,2.9,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2008,2.8,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2007,2.5,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2006,0.2,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2005,-1.1,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2004,-1.1,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2003,-1.3,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 2002,-1.2,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 2001,-1.3,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 2000,-2,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 1999,-1.8,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1998,-0.6,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 1997,-0.9,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 1996,-0.7,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1995,0.3,человека  на 1 000 в год
,12 / 81,Естественный прирост населения за 1994,0.7,человека  на 1 000 в год
,13 / 81,Естественный прирост населения за 1993,0.6,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1992,4.3,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1991,6.3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1990,7.4,человека  на 1 000 в год
,16 / 85,Естественный прирост населения. Рождаемость  за 2017,12.8,ребенка  на 1 000 в год
,16 / 85,Естественный прирост населения. Рождаемость за 2016,14.1,ребенка  на 1 000 в год
,17 / 85,Естественный прирост населения. Рождаемость за 2015,14.6,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость за 2014,15.3,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2013,15.3,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2012,15.3,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2011,14.6,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2010,14.5,ребенка  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2009,14.3,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2008,14.2,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2007,13.6,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2006,11.8,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2005,11.2,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2004,11.2,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2003,11.3,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 2002,11.1,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 2001,10.3,ребенка  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 2000,10.3,ребенка  на 1 000 в год
,13 / 82,Естественный прирост населения. Рождаемость за 1999,10.4,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 1998,11.4,ребенка  на 1 000 в год
,11 / 82,Естественный прирост населения. Рождаемость за 1997,11.4,ребенка  на 1 000 в год
,11 / 82,Естественный прирост населения. Рождаемость за 1996,11.8,ребенка  на 1 000 в год
,10 / 82,Естественный прирост населения. Рождаемость за 1995,13,детей  на 1 000 в год
,10 / 81,Естественный прирост населения. Рождаемость за 1994,13.2,ребенка  на 1 000 в год
,9 / 81,Естественный прирост населения. Рождаемость за 1993,12.5,ребенка  на 1 000 в год
,9 / 82,Естественный прирост населения. Рождаемость за 1992,14.7,ребенка  на 1 000 в год
,10 / 82,Естественный прирост населения. Рождаемость за 1991,16.2,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 1990,16.9,ребенка  на 1 000 в год
,71 / 85,Естественный прирост населения. Смертность  за 2017,10.3,человека  на 1 000 в год
,71 / 85,Естественный прирост населения. Смертность за 2016,10.4,человека  на 1 000 в год
,72 / 85,Естественный прирост населения. Смертность за 2015,10.7,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2014,10.7,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2013,10.5,человека  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2012,10.6,человека  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2011,10.9,человека  на 1 000 в год
,74 / 83,Естественный прирост населения. Смертность за 2010,10.9,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2009,11.2,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2008,11.2,человека  на 1 000 в год
,73 / 83,Естественный прирост населения. Смертность за 2007,11,человек  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2006,11.5,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2005,12.2,человека  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2004,12.3,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2003,12.6,человека  на 1 000 в год
,71 / 82,Естественный прирост населения. Смертность за 2002,12.3,человека  на 1 000 в год
,73 / 82,Естественный прирост населения. Смертность за 2001,11.6,человека  на 1 000 в год
,69 / 82,Естественный прирост населения. Смертность за 2000,12.3,человека  на 1 000 в год
,67 / 82,Естественный прирост населения. Смертность за 1999,12.2,человека  на 1 000 в год
,56 / 82,Естественный прирост населения. Смертность за 1998,12,человек  на 1 000 в год
,63 / 82,Естественный прирост населения. Смертность за 1997,12.3,человека  на 1 000 в год
,63 / 82,Естественный прирост населения. Смертность за 1996,12.5,человека  на 1 000 в год
,65 / 82,Естественный прирост населения. Смертность за 1995,12.7,человека  на 1 000 в год
