,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,17 / 85,Естественный прирост населения  за 2017,1.1,человека  на 1 000 в год
,15 / 85,Естественный прирост населения за 2016,2.7,человека  на 1 000 в год
,16 / 85,Естественный прирост населения за 2015,2.7,человека  на 1 000 в год
,18 / 85,Естественный прирост населения за 2014,2.5,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2013,2.6,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2012,2.3,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2011,1,человек  на 1 000 в год
,25 / 83,Естественный прирост населения за 2010,-0.2,человека  на 1 000 в год
,26 / 83,Естественный прирост населения за 2009,-0.3,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2008,-1.2,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2007,-2.1,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2006,-3.2,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2005,-4,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2004,-3.3,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2003,-3.6,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 2002,-3.6,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 2001,-3.7,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 2000,-3.7,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1999,-3,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1998,-2.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1997,-2.4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1996,-2,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 1995,-2.5,человека  на 1 000 в год
,17 / 81,Естественный прирост населения за 1994,-1.8,человека  на 1 000 в год
,16 / 81,Естественный прирост населения за 1993,-0.9,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1992,1.5,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 1991,3.5,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1990,5.5,человека  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость  за 2017,12.4,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость за 2016,14.3,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость за 2015,14.7,ребенка  на 1 000 в год
,20 / 85,Естественный прирост населения. Рождаемость за 2014,14.7,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2013,14.7,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2012,14.5,ребенка  на 1 000 в год
,30 / 83,Естественный прирост населения. Рождаемость за 2011,13.4,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2009,12.4,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2008,11.8,ребенка  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2007,10.9,ребенка  на 1 000 в год
,52 / 83,Естественный прирост населения. Рождаемость за 2006,9.9,ребенка  на 1 000 в год
,50 / 83,Естественный прирост населения. Рождаемость за 2005,9.8,ребенка  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2004,10.3,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2003,10.2,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 2002,10.1,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 2001,9.5,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 2000,9.4,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1999,9.3,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1998,9.8,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1997,9.9,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1996,10.1,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1995,10.4,ребенка  на 1 000 в год
