,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,2 / 85,Естественный прирост населения  за 2017,13.2,человека  на 1 000 в год
,2 / 85,Естественный прирост населения за 2016,13.4,человека  на 1 000 в год
,3 / 85,Естественный прирост населения за 2015,13.5,человека  на 1 000 в год
,3 / 85,Естественный прирост населения за 2014,14.4,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2013,15.2,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2012,15.5,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2011,16.5,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2010,15.2,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2009,14.5,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2008,13.9,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2007,12.5,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2006,7,человек  на 1 000 в год
,6 / 83,Естественный прирост населения за 2005,5.4,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2004,6.7,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2003,5.4,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 2002,3.8,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 2001,2.7,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 2000,2.3,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1999,2.5,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1998,5.3,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1997,3.2,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1996,5.2,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 1995,7.1,человека  на 1 000 в год
,3 / 81,Естественный прирост населения за 1994,6.6,человека  на 1 000 в год
,2 / 81,Естественный прирост населения за 1993,8.8,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 1992,11.7,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 1991,14.4,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1990,17.7,человека  на 1 000 в год
,2 / 85,Естественный прирост населения. Рождаемость  за 2017,21.9,ребенка  на 1 000 в год
,1 / 85,Естественный прирост населения. Рождаемость за 2016,23.2,ребенка  на 1 000 в год
,1 / 85,Естественный прирост населения. Рождаемость за 2015,23.8,ребенка  на 1 000 в год
,1 / 85,Естественный прирост населения. Рождаемость за 2014,25.3,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2013,26.1,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2012,26.7,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2011,27.5,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2010,26.8,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2009,26.1,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2008,25.2,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2007,24.4,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2006,19.3,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2005,19.4,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2004,20,детей  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2003,20.5,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 2002,18.8,ребенка  на 1 000 в год
,2 / 82,Естественный прирост населения. Рождаемость за 2001,16.3,ребенка  на 1 000 в год
,2 / 82,Естественный прирост населения. Рождаемость за 2000,15.9,ребенка  на 1 000 в год
,2 / 82,Естественный прирост населения. Рождаемость за 1999,16,детей  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1998,17.2,ребенка  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1997,16.1,ребенка  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1996,18.7,ребенка  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1995,20.3,ребенка  на 1 000 в год
,2 / 81,Естественный прирост населения. Рождаемость за 1994,20.1,ребенка  на 1 000 в год
,2 / 81,Естественный прирост населения. Рождаемость за 1993,20.3,ребенка  на 1 000 в год
,2 / 82,Естественный прирост населения. Рождаемость за 1992,21.6,ребенка  на 1 000 в год
,2 / 82,Естественный прирост населения. Рождаемость за 1991,23.9,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 1990,26.3,ребенка  на 1 000 в год
,77 / 85,Естественный прирост населения. Смертность  за 2017,8.7,человека  на 1 000 в год
,75 / 85,Естественный прирост населения. Смертность за 2016,9.8,человека  на 1 000 в год
,73 / 85,Естественный прирост населения. Смертность за 2015,10.3,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2014,10.9,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2013,10.9,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2012,11.2,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2011,11,человек  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2010,11.6,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2009,12,человек  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2008,11.6,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2007,12.2,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2006,12.6,человека  на 1 000 в год
,63 / 83,Естественный прирост населения. Смертность за 2005,14.3,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2004,13.4,человека  на 1 000 в год
,61 / 83,Естественный прирост населения. Смертность за 2003,15.2,человека  на 1 000 в год
,56 / 82,Естественный прирост населения. Смертность за 2002,15,человек  на 1 000 в год
,62 / 82,Естественный прирост населения. Смертность за 2001,13.6,человека  на 1 000 в год
,57 / 82,Естественный прирост населения. Смертность за 2000,13.6,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 1999,13.5,человека  на 1 000 в год
,57 / 82,Естественный прирост населения. Смертность за 1998,11.9,человека  на 1 000 в год
,47 / 82,Естественный прирост населения. Смертность за 1997,12.9,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1996,13.5,человека  на 1 000 в год
,56 / 82,Естественный прирост населения. Смертность за 1995,13.2,человека  на 1 000 в год
,59 / 81,Естественный прирост населения. Смертность за 1994,13.5,человека  на 1 000 в год
,68 / 81,Естественный прирост населения. Смертность за 1993,11.5,человека  на 1 000 в год
,64 / 82,Естественный прирост населения. Смертность за 1992,9.9,человека  на 1 000 в год
,60 / 82,Естественный прирост населения. Смертность за 1991,9.5,человека  на 1 000 в год
,65 / 82,Естественный прирост населения. Смертность за 1990,8.6,человека  на 1 000 в год
,65 / 85,Миграционный прирост населения  за 2017,-32.95,человека  на 10 000 в год
,70 / 85,Миграционный прирост населения за 2016,-42.35,человека  на 10 000 в год
,79 / 85,Миграционный прирост населения за 2015,-75.63,человека  на 10 000 в год
,77 / 83,Миграционный прирост населения за 2014,-79.48,человека  на 10 000 в год
,77 / 83,Миграционный прирост населения за 2013,-109.6,человека  на 10 000 в год
,80 / 83,Миграционный прирост населения за 2012,-118.8,человека  на 10 000 в год
,83 / 83,Миграционный прирост населения за 2011,-125.0,человека  на 10 000 в год
,79 / 83,Миграционный прирост населения за 2010,-126.3,человека  на 10 000 в год
,79 / 83,Миграционный прирост населения за 2009,-83.54,человека  на 10 000 в год
,76 / 83,Миграционный прирост населения за 2008,-92.76,человека  на 10 000 в год
,78 / 83,Миграционный прирост населения за 2007,-81,человек  на 10 000 в год
,74 / 83,Миграционный прирост населения за 2006,-88.56,человека  на 10 000 в год
,72 / 83,Миграционный прирост населения за 2005,-93.25,человека  на 10 000 в год
,74 / 83,Миграционный прирост населения за 2004,-96.15,человека  на 10 000 в год
,68 / 83,Миграционный прирост населения за 2003,-71.39,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 2002,-28.6,человека  на 10 000 в год
,64 / 83,Миграционный прирост населения за 2001,-43.9,человека  на 10 000 в год
,65 / 83,Миграционный прирост населения за 2000,-36.7,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 1999,-25.1,человека  на 10 000 в год
