,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,28 / 85,Естественный прирост населения  за 2017,-0.2,человека  на 1 000 в год
,28 / 85,Естественный прирост населения за 2016,1.2,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2015,1.7,человека  на 1 000 в год
,24 / 85,Естественный прирост населения за 2014,1.7,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2013,1.9,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2012,2.4,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2011,1,человек  на 1 000 в год
,23 / 83,Естественный прирост населения за 2010,0.3,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2009,0.6,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2008,-0.7,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2007,-1.4,человека  на 1 000 в год
,28 / 83,Естественный прирост населения за 2006,-3,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2005,-4.4,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2004,-3.7,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2003,-4.2,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 2002,-4.3,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 2001,-3.9,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 2000,-3.5,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1999,-3.1,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1998,-1.8,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1997,-2.8,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 1996,-3.6,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1995,-4.3,человека  на 1 000 в год
,35 / 81,Естественный прирост населения за 1994,-4.5,человека  на 1 000 в год
,32 / 81,Естественный прирост населения за 1993,-2.9,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 1992,1.3,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1991,3.8,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1990,5.3,человека  на 1 000 в год
,33 / 85,Естественный прирост населения. Рождаемость  за 2017,11.8,ребенка  на 1 000 в год
,23 / 85,Естественный прирост населения. Рождаемость за 2016,13.8,ребенка  на 1 000 в год
,17 / 85,Естественный прирост населения. Рождаемость за 2015,14.6,ребенка  на 1 000 в год
,24 / 85,Естественный прирост населения. Рождаемость за 2014,14.5,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2013,14.6,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2012,15.3,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2011,14.4,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2010,14.2,ребенка  на 1 000 в год
