,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,28 / 85,Естественный прирост населения  за 2017,-0.2,человека  на 1 000 в год
,26 / 85,Естественный прирост населения за 2016,1.3,человека  на 1 000 в год
,28 / 85,Естественный прирост населения за 2015,1.3,человека  на 1 000 в год
,20 / 85,Естественный прирост населения за 2014,2.1,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2013,2.6,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2012,2.6,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2011,1.7,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2010,1.2,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2009,1.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2008,1,человек  на 1 000 в год
,18 / 83,Естественный прирост населения за 2007,0.2,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2006,-2.8,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2005,-5.9,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2004,-4.3,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2003,-6,человек  на 1 000 в год
,41 / 82,Естественный прирост населения за 2002,-5.8,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 2001,-5.4,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 2000,-4.5,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1999,-5.3,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1998,-3.9,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 1997,-4.3,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1996,-4.1,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1995,-4.1,человека  на 1 000 в год
,41 / 81,Естественный прирост населения за 1994,-5.6,человека  на 1 000 в год
,37 / 81,Естественный прирост населения за 1993,-3.9,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1992,0.1,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1991,3.4,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1990,4.7,человека  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость  за 2017,12.4,ребенка  на 1 000 в год
,16 / 85,Естественный прирост населения. Рождаемость за 2016,14.1,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость за 2015,14.7,ребенка  на 1 000 в год
,16 / 85,Естественный прирост населения. Рождаемость за 2014,15.2,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2013,15.7,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2012,16,детей  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2011,15.1,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2010,15,детей  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2009,15,детей  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2008,14.8,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2007,13.8,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2006,12,детей  на 1 000 в год
,20 / 83,Естественный прирост населения. Рождаемость за 2005,11.5,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2004,11.9,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2003,11.8,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 2002,11.2,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 2001,10.1,ребенка  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 2000,10.1,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 1999,9.5,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1998,10,детей  на 1 000 в год
,26 / 82,Естественный прирост населения. Рождаемость за 1997,9.4,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1996,10.1,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1995,10.2,ребенка  на 1 000 в год
,22 / 81,Естественный прирост населения. Рождаемость за 1994,10.9,ребенка  на 1 000 в год
,21 / 81,Естественный прирост населения. Рождаемость за 1993,10.7,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1992,12,детей  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1991,14.2,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 1990,15.3,ребенка  на 1 000 в год
,48 / 85,Естественный прирост населения. Смертность  за 2017,12.6,человека  на 1 000 в год
,55 / 85,Естественный прирост населения. Смертность за 2016,12.8,человека  на 1 000 в год
,46 / 85,Естественный прирост населения. Смертность за 2015,13.4,человека  на 1 000 в год
,51 / 83,Естественный прирост населения. Смертность за 2014,13.1,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2013,13.1,человека  на 1 000 в год
,49 / 83,Естественный прирост населения. Смертность за 2012,13.4,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2011,13.4,человека  на 1 000 в год
,53 / 83,Естественный прирост населения. Смертность за 2010,13.8,человека  на 1 000 в год
,53 / 83,Естественный прирост населения. Смертность за 2009,13.6,человека  на 1 000 в год
,54 / 83,Естественный прирост населения. Смертность за 2008,14,человек  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2007,13.8,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2006,14.9,человека  на 1 000 в год
,29 / 83,Естественный прирост населения. Смертность за 2005,17.6,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2004,16.2,человека  на 1 000 в год
,30 / 83,Естественный прирост населения. Смертность за 2003,17.8,человека  на 1 000 в год
,31 / 82,Естественный прирост населения. Смертность за 2002,17,человек  на 1 000 в год
,41 / 82,Естественный прирост населения. Смертность за 2001,15.5,человека  на 1 000 в год
,45 / 82,Естественный прирост населения. Смертность за 2000,14.6,человека  на 1 000 в год
,36 / 82,Естественный прирост населения. Смертность за 1999,14.8,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 1998,13.9,человека  на 1 000 в год
,36 / 82,Естественный прирост населения. Смертность за 1997,13.7,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 1996,14.2,человека  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1995,14.3,человека  на 1 000 в год
,29 / 81,Естественный прирост населения. Смертность за 1994,16.5,человека  на 1 000 в год
,35 / 81,Естественный прирост населения. Смертность за 1993,14.6,человека  на 1 000 в год
,38 / 82,Естественный прирост населения. Смертность за 1992,11.9,человека  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1991,10.8,человека  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1990,10.6,человека  на 1 000 в год
,29 / 85,Миграционный прирост населения  за 2017,-1.25,человека  на 10 000 в год
,32 / 85,Миграционный прирост населения за 2016,3.54,человека  на 10 000 в год
,26 / 85,Миграционный прирост населения за 2015,5.84,человека  на 10 000 в год
,26 / 83,Миграционный прирост населения за 2014,10.67,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2013,-6.02,человека  на 10 000 в год
