,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,49 / 85,Естественный прирост населения  за 2017,-2,человека  на 1 000 в год
,47 / 85,Естественный прирост населения за 2016,-0.9,человека  на 1 000 в год
,45 / 85,Естественный прирост населения за 2015,-0.5,человека  на 1 000 в год
,45 / 85,Естественный прирост населения за 2014,-0.6,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2013,-0.6,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2012,-0.5,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2011,-1.2,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2010,-1.2,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2009,-1.6,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2008,-2.1,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2007,-2.8,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2006,-4.7,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2005,-4.9,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2004,-4.5,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2003,-5.1,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 2002,-4.8,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 2001,-5.3,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 2000,-5.9,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1999,-5.2,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 1998,-4.3,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1997,-4.2,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1996,-3.9,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1995,-3.7,человека  на 1 000 в год
,28 / 81,Естественный прирост населения за 1994,-3.6,человека  на 1 000 в год
,39 / 81,Естественный прирост населения за 1993,-4.2,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1992,-1.5,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 1991,0,человек  на 1 000 в год
,48 / 82,Естественный прирост населения за 1990,1.9,человека  на 1 000 в год
,57 / 85,Естественный прирост населения. Рождаемость  за 2017,10.6,ребенка  на 1 000 в год
,54 / 85,Естественный прирост населения. Рождаемость за 2016,12,детей  на 1 000 в год
,53 / 85,Естественный прирост населения. Рождаемость за 2015,12.5,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2014,12.7,ребенка  на 1 000 в год
,52 / 83,Естественный прирост населения. Рождаемость за 2013,12.5,ребенка  на 1 000 в год
,44 / 83,Естественный прирост населения. Рождаемость за 2012,12.9,ребенка  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2011,12.6,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2009,12.4,ребенка  на 1 000 в год
,30 / 83,Естественный прирост населения. Рождаемость за 2008,12.7,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2007,11.8,ребенка  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2006,10.4,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2005,10.3,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2004,10.4,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2003,10.4,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 2002,10.2,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 2001,9.4,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 2000,9.1,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 1999,8.6,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1998,9.6,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1997,9.8,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 1996,10.3,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 1995,10.7,ребенка  на 1 000 в год
,22 / 81,Естественный прирост населения. Рождаемость за 1994,10.9,ребенка  на 1 000 в год
,21 / 81,Естественный прирост населения. Рождаемость за 1993,10.7,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1992,12,детей  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1991,13.5,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1990,14.2,ребенка  на 1 000 в год
,48 / 85,Естественный прирост населения. Смертность  за 2017,12.6,человека  на 1 000 в год
,52 / 85,Естественный прирост населения. Смертность за 2016,12.9,человека  на 1 000 в год
,54 / 85,Естественный прирост населения. Смертность за 2015,13,человек  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2014,13.3,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2013,13.1,человека  на 1 000 в год
,49 / 83,Естественный прирост населения. Смертность за 2012,13.4,человека  на 1 000 в год
,46 / 83,Естественный прирост населения. Смертность за 2011,13.8,человека  на 1 000 в год
,49 / 83,Естественный прирост населения. Смертность за 2010,14.1,человека  на 1 000 в год
,47 / 83,Естественный прирост населения. Смертность за 2009,14.1,человека  на 1 000 в год
,38 / 83,Естественный прирост населения. Смертность за 2008,15,человек  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2007,14.7,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2006,15.2,человека  на 1 000 в год
,61 / 83,Естественный прирост населения. Смертность за 2005,15.2,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2004,15,человек  на 1 000 в год
,55 / 83,Естественный прирост населения. Смертность за 2003,15.5,человека  на 1 000 в год
,56 / 82,Естественный прирост населения. Смертность за 2002,15,человек  на 1 000 в год
,47 / 82,Естественный прирост населения. Смертность за 2001,14.7,человека  на 1 000 в год
,42 / 82,Естественный прирост населения. Смертность за 2000,15,человек  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1999,13.8,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 1998,13.9,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 1997,14,человек  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 1996,14.2,человека  на 1 000 в год
,42 / 82,Естественный прирост населения. Смертность за 1995,14.4,человека  на 1 000 в год
,48 / 81,Естественный прирост населения. Смертность за 1994,14.5,человека  на 1 000 в год
,31 / 81,Естественный прирост населения. Смертность за 1993,14.9,человека  на 1 000 в год
,19 / 82,Естественный прирост населения. Смертность за 1992,13.5,человека  на 1 000 в год
,13 / 82,Естественный прирост населения. Смертность за 1991,13.5,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 1990,12.3,человека  на 1 000 в год
,16 / 85,Миграционный прирост населения  за 2017,20.82,человека  на 10 000 в год
,14 / 85,Миграционный прирост населения за 2016,51.39,человека  на 10 000 в год
,10 / 85,Миграционный прирост населения за 2015,56.11,человека  на 10 000 в год
,7 / 83,Миграционный прирост населения за 2014,67.09,человека  на 10 000 в год
,10 / 83,Миграционный прирост населения за 2013,50.49,человека  на 10 000 в год
,11 / 83,Миграционный прирост населения за 2012,49.07,человека  на 10 000 в год
,11 / 83,Миграционный прирост населения за 2011,69.15,человека  на 10 000 в год
,16 / 83,Миграционный прирост населения за 2010,15.35,человека  на 10 000 в год
,17 / 83,Миграционный прирост населения за 2009,24.71,человека  на 10 000 в год
,7 / 83,Миграционный прирост населения за 2008,55.56,человека  на 10 000 в год
,32 / 83,Миграционный прирост населения за 2007,12.35,человека  на 10 000 в год
,37 / 83,Миграционный прирост населения за 2006,-7.05,человека  на 10 000 в год
,33 / 83,Миграционный прирост населения за 2005,-2.96,человека  на 10 000 в год
,26 / 83,Миграционный прирост населения за 2004,10.11,человека  на 10 000 в год
,32 / 83,Миграционный прирост населения за 2003,7.07,человека  на 10 000 в год
,12 / 83,Миграционный прирост населения за 2002,53.2,человека  на 10 000 в год
,13 / 83,Миграционный прирост населения за 2001,37,человек  на 10 000 в год
,24 / 83,Миграционный прирост населения за 2000,20.4,человека  на 10 000 в год
,24 / 83,Миграционный прирост населения за 1999,22.9,человека  на 10 000 в год
,27 / 83,Миграционный прирост населения за 1998,32.3,человека  на 10 000 в год
,17 / 83,Миграционный прирост населения за 1997,57.9,человека  на 10 000 в год
,17 / 85,Общий прирост населения,4.17,человека  на 1 000 в год
,24 / 85,Общий прирост населения в городах,4.481,человека  на 1 000 в год
,13 / 85,Общий прирост населения в сёлах,3.888,человека  на 1 000 в год
,76 / 85,Численность населения  за 2019,454 744,человека
,76 / 85,Численность населения за 2018,453 376,человек
,76 / 85,Численность населения за 2017,453 366,человек
,76 / 85,Численность населения за 2016,451 480,человек
,76 / 85,Численность населения за 2015,449 171,человек
,75 / 83,Численность населения за 2014,446 406,человек
,74 / 83,Численность населения за 2013,444 403,человека
,74 / 83,Численность населения за 2012,442 451,человек
,74 / 83,Численность населения за 2011,439 935,человек
,74 / 83,Численность населения за 2010,439 760,человек
,74 / 83,Численность населения за 2009,439 380,человек
,74 / 83,Численность населения за 2008,437 900,человек
,74 / 83,Численность населения за 2007,438 603,человека
,74 / 83,Численность населения за 2006,440 993,человека
,74 / 83,Численность населения за 2005,443 300,человек
,74 / 83,Численность населения за 2004,444 848,человек
,74 / 83,Численность населения за 2003,446 828,человек
,74 / 83,Численность населения за 2002,446 628,человек
,73 / 83,Численность населения за 2001,447 327,человек
,73 / 83,Численность населения за 2000,449 052,человека
,73 / 83,Численность населения за 1999,450 358,человек
,73 / 83,Численность населения за 1998,450 810,человек
,73 / 83,Численность населения за 1997,450 075,человек
,73 / 83,Численность населения за 1996,450 358,человек
,73 / 83,Численность населения за 1995,449 864,человека
,73 / 83,Численность населения за 1994,448 480,человек
,74 / 83,Численность населения за 1993,446 191,человек
,74 / 83,Численность населения за 1992,441 280,человек
,74 / 83,Численность населения за 1991,436 598,человек
,75 / 85,Численность населения за 1990,434 788,человек
,,Б. Демографический состав,,
,31 / 85,Доля детей  за 2017,19.2,%
,32 / 85,Доля детей за 2016,18.8,%
,29 / 85,Доля детей за 2015,18.5,%
,29 / 83,Доля детей за 2014,18.3,%
,28 / 83,Доля детей за 2013,18.1,%
,25 / 83,Доля детей за 2012,17.9,%
,40 / 85,Доля пожилых  за 2017,25.3,%
,40 / 85,Доля пожилых за 2016,25,%
,41 / 85,Доля пожилых за 2015,24.5,%
,35 / 83,Доля пожилых за 2014,24.2,%
,35 / 83,Доля пожилых за 2013,23.9,%
,34 / 83,Доля пожилых за 2012,23.6,%
,31 / 85,Общая демографическая нагрузка  за 2018,82.37,человека  на 100 трудоспособных
,28 / 85,Общая демографическая нагрузка за 2017,80.22,человека  на 100 трудоспособных
,26 / 85,Общая демографическая нагрузка за 2016,77.92,человека  на 100 трудоспособных
,21 / 85,Общая демографическая нагрузка за 2015,75.5,человека  на 100 трудоспособных
,17 / 83,Общая демографическая нагрузка за 2014,73.96,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 2013,72.36,человека  на 100 трудоспособных
,6 / 83,Общая демографическая нагрузка за 2012,71.02,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2011,69.86,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2010,68.34,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2009,67.36,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2008,67.4,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2007,67.18,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2006,67.51,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2005,68.28,человека  на 100 трудоспособных
,6 / 83,Общая демографическая нагрузка за 2004,69.34,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2003,71.36,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 2002,73.97,человека  на 100 трудоспособных
,4 / 83,Общая демографическая нагрузка за 2001,76.03,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2000,78.59,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1999,81.43,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1998,83.33,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 1997,84.61,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 1996,85,человек  на 100 трудоспособных
,10 / 83,Общая демографическая нагрузка за 1995,84.72,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 1994,85.21,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 1993,85.73,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 1992,85.46,человека  на 100 трудоспособных
,10 / 83,Общая демографическая нагрузка за 1991,85.42,человека  на 100 трудоспособных
,10 / 83,Общая демографическая нагрузка за 1990,84.66,человека  на 100 трудоспособных
,8 / 83,Приток (отток) постоянного населения за 2010,33.97,%  от числа ныне живущих в регионе
,32 / 83,Процент людей с высшим образованием за 2010,20,%
,33 / 85,Процент мужчин,46.69,%
,67 / 85,Процент русских,63.64,%
,43 / 85,Средний возраст,39.46,года
,80 / 85,Урбанизация  за 2018,47.2,%
,79 / 85,Урбанизация за 2017,47.3,%
,79 / 85,Урбанизация за 2016,47.3,%
,79 / 85,Урбанизация за 2015,47.1,%
,77 / 83,Урбанизация за 2014,47,%
