,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,41 / 85,Естественный прирост населения  за 2017,-1.3,человека  на 1 000 в год
,39 / 85,Естественный прирост населения за 2016,0,человек  на 1 000 в год
,34 / 85,Естественный прирост населения за 2015,0.7,человека  на 1 000 в год
,36 / 85,Естественный прирост населения за 2014,0.6,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2013,0.9,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2012,0.7,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2011,-0.7,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2010,-1.6,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2009,-1.1,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2008,-2.7,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2007,-2.9,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2006,-4.4,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2005,-5.1,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2004,-4.4,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2003,-5.2,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 2002,-5.3,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 2001,-5.2,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 2000,-4.7,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1999,-4.4,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1998,-2,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 1997,-2.9,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1996,-2.5,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1995,-2.9,человека  на 1 000 в год
,23 / 81,Естественный прирост населения за 1994,-2.6,человека  на 1 000 в год
,21 / 81,Естественный прирост населения за 1993,-1.8,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1992,1.9,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1991,4.2,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 1990,5.7,человека  на 1 000 в год
,42 / 85,Естественный прирост населения. Рождаемость  за 2017,11.3,ребенка  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2016,13.2,ребенка  на 1 000 в год
,31 / 85,Естественный прирост населения. Рождаемость за 2015,13.8,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2014,13.9,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2013,14,детей  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2012,14,детей  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2011,12.9,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2009,12.6,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2008,11.7,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2007,11.6,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2006,10.3,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2005,10.1,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2004,10.5,ребенка  на 1 000 в год
,50 / 83,Естественный прирост населения. Рождаемость за 2003,10.1,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 2002,9.8,ребенка  на 1 000 в год
,46 / 82,Естественный прирост населения. Рождаемость за 2001,9.1,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 2000,9.3,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1999,9.1,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1998,9.9,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 1997,9.6,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1996,10.1,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 1995,10.3,ребенка  на 1 000 в год
,25 / 81,Естественный прирост населения. Рождаемость за 1994,10.8,ребенка  на 1 000 в год
,21 / 81,Естественный прирост населения. Рождаемость за 1993,10.7,ребенка  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 1992,12.4,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1991,14.2,ребенка  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 1990,15.8,ребенка  на 1 000 в год
,48 / 85,Естественный прирост населения. Смертность  за 2017,12.6,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность за 2016,13.2,человека  на 1 000 в год
,52 / 85,Естественный прирост населения. Смертность за 2015,13.1,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2014,13.3,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2013,13.1,человека  на 1 000 в год
,51 / 83,Естественный прирост населения. Смертность за 2012,13.3,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2011,13.6,человека  на 1 000 в год
,41 / 83,Естественный прирост населения. Смертность за 2010,14.5,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2009,13.9,человека  на 1 000 в год
,46 / 83,Естественный прирост населения. Смертность за 2008,14.6,человека  на 1 000 в год
