,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,56 / 85,Естественный прирост населения  за 2017,-3.2,человека  на 1 000 в год
,54 / 85,Естественный прирост населения за 2016,-2,человека  на 1 000 в год
,54 / 85,Естественный прирост населения за 2015,-1.5,человека  на 1 000 в год
,49 / 85,Естественный прирост населения за 2014,-1,человек  на 1 000 в год
,48 / 83,Естественный прирост населения за 2013,-0.8,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2012,-0.9,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2011,-1.9,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2010,-2.3,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2009,-1.9,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2008,-2.7,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2007,-3.6,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2006,-5.1,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2005,-6.4,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2004,-5,человек  на 1 000 в год
,36 / 83,Естественный прирост населения за 2003,-5.1,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 2002,-5.4,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 2001,-5.1,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 2000,-5,человек  на 1 000 в год
,35 / 82,Естественный прирост населения за 1999,-5.1,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1998,-4,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 1997,-5.4,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1996,-5.9,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1995,-6,человек  на 1 000 в год
,46 / 81,Естественный прирост населения за 1994,-5.9,человека  на 1 000 в год
,45 / 81,Естественный прирост населения за 1993,-4.9,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1992,-1.4,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 1991,0.4,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1990,1.8,человека  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость  за 2017,10.8,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2016,12.1,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2015,12.6,ребенка  на 1 000 в год
,42 / 85,Естественный прирост населения. Рождаемость за 2014,13.2,ребенка  на 1 000 в год
,40 / 83,Естественный прирост населения. Рождаемость за 2013,13.4,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2012,13.7,ребенка  на 1 000 в год
,40 / 83,Естественный прирост населения. Рождаемость за 2011,12.7,ребенка  на 1 000 в год
,40 / 83,Естественный прирост населения. Рождаемость за 2010,12.7,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2009,12.4,ребенка  на 1 000 в год
,36 / 83,Естественный прирост населения. Рождаемость за 2008,12.3,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2007,11.3,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2006,10.1,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2005,10.3,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2004,10.8,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2003,10.8,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 2002,10.3,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 2001,9.6,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 2000,9.3,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 1999,8.7,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1998,8.8,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1997,8.4,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1996,8.4,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 1995,8.7,ребенка  на 1 000 в год
,48 / 81,Естественный прирост населения. Рождаемость за 1994,9.2,ребенка  на 1 000 в год
,44 / 81,Естественный прирост населения. Рождаемость за 1993,9.1,ребенка  на 1 000 в год
