,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,33 / 85,Естественный прирост населения  за 2017,-0.5,человека  на 1 000 в год
,34 / 85,Естественный прирост населения за 2016,0.3,человека  на 1 000 в год
,36 / 85,Естественный прирост населения за 2015,0.5,человека  на 1 000 в год
,36 / 85,Естественный прирост населения за 2014,0.6,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2013,0.3,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2012,-0.2,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2011,-1.3,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2010,-1.3,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2009,-1.3,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2008,-2,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2007,-3.1,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2006,-4.4,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2005,-5.3,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2004,-4.5,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2003,-5.4,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 2002,-5.8,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 2001,-5.7,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 2000,-6.3,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1999,-6.2,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 1998,-5.2,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 1997,-5.6,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 1996,-5.3,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1995,-5.3,человека  на 1 000 в год
,40 / 81,Естественный прирост населения за 1994,-5.4,человека  на 1 000 в год
,49 / 81,Естественный прирост населения за 1993,-5.5,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 1992,-2.4,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1991,-1.2,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1990,-0.1,человека  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость  за 2017,12,детей  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2016,13.2,ребенка  на 1 000 в год
,39 / 85,Естественный прирост населения. Рождаемость за 2015,13.5,ребенка  на 1 000 в год
,40 / 85,Естественный прирост населения. Рождаемость за 2014,13.5,ребенка  на 1 000 в год
,41 / 83,Естественный прирост населения. Рождаемость за 2013,13.1,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2012,13,детей  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2011,12.2,ребенка  на 1 000 в год
,44 / 83,Естественный прирост населения. Рождаемость за 2010,12.2,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2009,12.4,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2008,12.2,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2007,11.3,ребенка  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2006,10.4,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2005,10.3,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2004,10.8,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2003,10.4,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 2002,9.9,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 2001,9.4,ребенка  на 1 000 в год
,40 / 82,Естественный прирост населения. Рождаемость за 2000,8.9,ребенка  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 1999,8.4,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1998,8.8,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 1997,8.8,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1996,9.3,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1995,10,детей  на 1 000 в год
,28 / 81,Естественный прирост населения. Рождаемость за 1994,10.4,ребенка  на 1 000 в год
,29 / 81,Естественный прирост населения. Рождаемость за 1993,10.2,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1992,11.5,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1991,12.5,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 1990,13.2,ребенка  на 1 000 в год
,51 / 85,Естественный прирост населения. Смертность  за 2017,12.5,человека  на 1 000 в год
,52 / 85,Естественный прирост населения. Смертность за 2016,12.9,человека  на 1 000 в год
,54 / 85,Естественный прирост населения. Смертность за 2015,13,человек  на 1 000 в год
,54 / 83,Естественный прирост населения. Смертность за 2014,12.9,человека  на 1 000 в год
,54 / 83,Естественный прирост населения. Смертность за 2013,12.8,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2012,13.2,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2011,13.5,человека  на 1 000 в год
,56 / 83,Естественный прирост населения. Смертность за 2010,13.5,человека  на 1 000 в год
,54 / 83,Естественный прирост населения. Смертность за 2009,13.5,человека  на 1 000 в год
,53 / 83,Естественный прирост населения. Смертность за 2008,14.1,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2007,14.3,человека  на 1 000 в год
,55 / 83,Естественный прирост населения. Смертность за 2006,14.7,человека  на 1 000 в год
,53 / 83,Естественный прирост населения. Смертность за 2005,15.6,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2004,15.3,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2003,15.7,человека  на 1 000 в год
