,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,27 / 85,Естественный прирост населения  за 2017,0.1,человека  на 1 000 в год
,23 / 85,Естественный прирост населения за 2016,1.4,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2015,1.7,человека  на 1 000 в год
,24 / 85,Естественный прирост населения за 2014,1.7,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2013,1.7,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2012,1.5,человека  на 1 000 в год
,26 / 83,Естественный прирост населения за 2011,0.5,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2010,0.1,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2009,0.2,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2008,-0.7,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2007,-1.5,человека  на 1 000 в год
,26 / 83,Естественный прирост населения за 2006,-2.9,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2005,-4.9,человека  на 1 000 в год
,28 / 83,Естественный прирост населения за 2004,-3.9,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2003,-4.7,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 2002,-4.6,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 2001,-4.6,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 2000,-5.5,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1999,-5.1,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1998,-3.7,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1997,-3.7,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1996,-3.8,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1995,-4.2,человека  на 1 000 в год
,36 / 81,Естественный прирост населения за 1994,-4.6,человека  на 1 000 в год
,33 / 81,Естественный прирост населения за 1993,-3.3,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1992,0.4,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1991,3.1,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 1990,4.5,человека  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость  за 2017,12.4,ребенка  на 1 000 в год
,21 / 85,Естественный прирост населения. Рождаемость за 2016,13.9,ребенка  на 1 000 в год
,22 / 85,Естественный прирост населения. Рождаемость за 2015,14.4,ребенка  на 1 000 в год
,26 / 85,Естественный прирост населения. Рождаемость за 2014,14.4,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2013,14.4,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2012,14.5,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2011,13.5,ребенка  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2010,13.6,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2009,13.2,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2008,12.8,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2007,11.8,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2006,11,детей  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2005,10.8,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2004,11.2,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2003,11.1,ребенка  на 1 000 в год
,28 / 82,Естественный прирост населения. Рождаемость за 2002,10.7,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 2001,10,детей  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 2000,9.3,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 1999,9,детей  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1998,9.5,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1997,9.1,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1996,9.5,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1995,9.8,ребенка  на 1 000 в год
,31 / 81,Естественный прирост населения. Рождаемость за 1994,10.3,ребенка  на 1 000 в год
,36 / 81,Естественный прирост населения. Рождаемость за 1993,9.7,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 1992,11,детей  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1991,12.5,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 1990,13.8,ребенка  на 1 000 в год
,55 / 85,Естественный прирост населения. Смертность  за 2017,12.3,человека  на 1 000 в год
,57 / 85,Естественный прирост населения. Смертность за 2016,12.5,человека  на 1 000 в год
,59 / 85,Естественный прирост населения. Смертность за 2015,12.7,человека  на 1 000 в год
,56 / 83,Естественный прирост населения. Смертность за 2014,12.7,человека  на 1 000 в год
,55 / 83,Естественный прирост населения. Смертность за 2013,12.7,человека  на 1 000 в год
