,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,50 / 85,Естественный прирост населения  за 2017,-2.4,человека  на 1 000 в год
,49 / 85,Естественный прирост населения за 2016,-1.4,человека  на 1 000 в год
,48 / 85,Естественный прирост населения за 2015,-0.8,человека  на 1 000 в год
,45 / 85,Естественный прирост населения за 2014,-0.6,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2013,-0.8,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2012,-1.1,человека  на 1 000 в год
,49 / 83,Естественный прирост населения за 2011,-2.1,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2010,-2.5,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2009,-2,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2008,-3.2,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2007,-3.4,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2006,-4.5,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2005,-5.8,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2004,-5.1,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2003,-5.1,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 2002,-4.9,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 2001,-4.8,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 2000,-5.3,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1999,-4.9,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1998,-3.5,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1997,-4.1,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1996,-4.4,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1995,-3.7,человека  на 1 000 в год
,31 / 81,Естественный прирост населения за 1994,-3.7,человека  на 1 000 в год
,35 / 81,Естественный прирост населения за 1993,-3.4,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 1992,0.3,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1991,3.2,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1990,5.5,человека  на 1 000 в год
,48 / 85,Естественный прирост населения. Рождаемость  за 2017,10.9,ребенка  на 1 000 в год
,49 / 85,Естественный прирост населения. Рождаемость за 2016,12.2,ребенка  на 1 000 в год
,47 / 85,Естественный прирост населения. Рождаемость за 2015,12.7,ребенка  на 1 000 в год
,48 / 85,Естественный прирост населения. Рождаемость за 2014,12.8,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2013,12.7,ребенка  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2012,12.6,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2011,12,детей  на 1 000 в год
,50 / 83,Естественный прирост населения. Рождаемость за 2010,11.8,ребенка  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2009,11.8,ребенка  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2008,11.3,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2007,11.2,ребенка  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2006,10.4,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2005,10.4,ребенка  на 1 000 в год
,44 / 83,Естественный прирост населения. Рождаемость за 2004,10.6,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2003,10.5,ребенка  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 2002,10,детей  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 2001,9.3,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 2000,8.6,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 1999,8.1,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1998,8.4,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1997,8.4,ребенка  на 1 000 в год
,43 / 82,Естественный прирост населения. Рождаемость за 1996,8.7,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1995,9.4,ребенка  на 1 000 в год
,34 / 81,Естественный прирост населения. Рождаемость за 1994,10,детей  на 1 000 в год
,39 / 81,Естественный прирост населения. Рождаемость за 1993,9.6,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 1992,10.9,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1991,12.9,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1990,14.6,ребенка  на 1 000 в год
,34 / 85,Естественный прирост населения. Смертность  за 2017,13.3,человека  на 1 000 в год
,41 / 85,Естественный прирост населения. Смертность за 2016,13.6,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность за 2015,13.5,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2014,13.4,человека  на 1 000 в год
,42 / 83,Естественный прирост населения. Смертность за 2013,13.5,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2012,13.7,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2011,14.1,человека  на 1 000 в год
,46 / 83,Естественный прирост населения. Смертность за 2010,14.3,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2009,14,человек  на 1 000 в год
