,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,26 / 85,Естественный прирост населения  за 2017,0.3,человека  на 1 000 в год
,26 / 85,Естественный прирост населения за 2016,1.3,человека  на 1 000 в год
,27 / 85,Естественный прирост населения за 2015,1.4,человека  на 1 000 в год
,30 / 85,Естественный прирост населения за 2014,1.3,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2013,0.9,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2012,0.6,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2011,-0.5,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2010,-0.5,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2009,-1.1,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2008,-1.2,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2007,-2.1,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2006,-4.1,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2005,-4.4,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2004,-4,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2003,-4.7,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 2002,-5,человек  на 1 000 в год
,28 / 82,Естественный прирост населения за 2001,-4.6,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 2000,-4.6,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1999,-4.4,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 1998,-3.2,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1997,-3.5,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1996,-3.4,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1995,-2.9,человека  на 1 000 в год
,21 / 81,Естественный прирост населения за 1994,-2.4,человека  на 1 000 в год
,26 / 81,Естественный прирост населения за 1993,-2.3,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1992,1.1,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1991,2.1,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 1990,3.2,человека  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость  за 2017,11.5,ребенка  на 1 000 в год
,40 / 85,Естественный прирост населения. Рождаемость за 2016,13,детей  на 1 000 в год
,44 / 85,Естественный прирост населения. Рождаемость за 2015,13,детей  на 1 000 в год
,45 / 85,Естественный прирост населения. Рождаемость за 2014,13,детей  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2013,12.6,ребенка  на 1 000 в год
