,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,38 / 85,Естественный прирост населения  за 2017,-1,человек  на 1 000 в год
,34 / 85,Естественный прирост населения за 2016,0.3,человека  на 1 000 в год
,33 / 85,Естественный прирост населения за 2015,0.9,человека  на 1 000 в год
,33 / 85,Естественный прирост населения за 2014,0.7,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2013,0.6,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2012,0.2,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2011,-1.6,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2010,-1.7,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2009,-1.1,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2008,-1.8,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2007,-2.6,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2006,-3.9,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2005,-5.4,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2004,-4.7,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2003,-5.5,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 2002,-5.6,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 2001,-5.5,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 2000,-5.6,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 1999,-5.4,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1998,-3.6,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 1997,-4,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1996,-4.3,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1995,-3.9,человека  на 1 000 в год
,27 / 81,Естественный прирост населения за 1994,-3.4,человека  на 1 000 в год
,29 / 81,Естественный прирост населения за 1993,-2.8,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1992,0.4,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1991,3.8,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1990,5.9,человека  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость  за 2017,12,детей  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость за 2016,13.4,ребенка  на 1 000 в год
,26 / 85,Естественный прирост населения. Рождаемость за 2015,14.3,ребенка  на 1 000 в год
,30 / 85,Естественный прирост населения. Рождаемость за 2014,14,детей  на 1 000 в год
,34 / 83,Естественный прирост населения. Рождаемость за 2013,13.9,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2012,13.8,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2011,12.9,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2009,12.5,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2008,12.2,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2007,11.6,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2006,11,детей  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2005,10.9,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2004,11.3,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2003,10.8,ребенка  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 2002,10,детей  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 2001,9.4,ребенка  на 1 000 в год
,48 / 82,Естественный прирост населения. Рождаемость за 2000,8.5,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 1999,8.1,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1998,8.9,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1997,8.4,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 1996,8.6,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1995,9.4,ребенка  на 1 000 в год
,34 / 81,Естественный прирост населения. Рождаемость за 1994,10,детей  на 1 000 в год
,36 / 81,Естественный прирост населения. Рождаемость за 1993,9.7,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 1992,10.9,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1991,13.1,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1990,15.1,ребенка  на 1 000 в год
,43 / 85,Естественный прирост населения. Смертность  за 2017,13,человек  на 1 000 в год
,48 / 85,Естественный прирост населения. Смертность за 2016,13.1,человека  на 1 000 в год
,46 / 85,Естественный прирост населения. Смертность за 2015,13.4,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2014,13.3,человека  на 1 000 в год
,47 / 83,Естественный прирост населения. Смертность за 2013,13.3,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2012,13.6,человека  на 1 000 в год
,32 / 83,Естественный прирост населения. Смертность за 2011,14.5,человека  на 1 000 в год
,39 / 83,Естественный прирост населения. Смертность за 2010,14.6,человека  на 1 000 в год
,46 / 83,Естественный прирост населения. Смертность за 2009,14.2,человека  на 1 000 в год
,47 / 83,Естественный прирост населения. Смертность за 2008,14.5,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2007,14.7,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2006,15.3,человека  на 1 000 в год
,42 / 83,Естественный прирост населения. Смертность за 2005,16.6,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2004,16.2,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2003,16.3,человека  на 1 000 в год
,48 / 82,Естественный прирост населения. Смертность за 2002,15.6,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 2001,14.9,человека  на 1 000 в год
,53 / 82,Естественный прирост населения. Смертность за 2000,14.1,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 1999,13.5,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 1998,12.5,человека  на 1 000 в год
,60 / 82,Естественный прирост населения. Смертность за 1997,12.4,человека  на 1 000 в год
,56 / 82,Естественный прирост населения. Смертность за 1996,12.9,человека  на 1 000 в год
,54 / 82,Естественный прирост населения. Смертность за 1995,13.3,человека  на 1 000 в год
,60 / 81,Естественный прирост населения. Смертность за 1994,13.4,человека  на 1 000 в год
,58 / 81,Естественный прирост населения. Смертность за 1993,12.5,человека  на 1 000 в год
,58 / 82,Естественный прирост населения. Смертность за 1992,10.5,человека  на 1 000 в год
,62 / 82,Естественный прирост населения. Смертность за 1991,9.3,человека  на 1 000 в год
,60 / 82,Естественный прирост населения. Смертность за 1990,9.2,человека  на 1 000 в год
,58 / 85,Миграционный прирост населения  за 2017,-27.73,человека  на 10 000 в год
,47 / 85,Миграционный прирост населения за 2016,-11.89,человека  на 10 000 в год
,65 / 85,Миграционный прирост населения за 2015,-36.87,человека  на 10 000 в год
,56 / 83,Миграционный прирост населения за 2014,-18.93,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2013,-22.18,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 2012,-3.96,человека  на 10 000 в год
,34 / 83,Миграционный прирост населения за 2011,13.72,человека  на 10 000 в год
,50 / 83,Миграционный прирост населения за 2010,-30.75,человека  на 10 000 в год
,45 / 83,Миграционный прирост населения за 2009,-2.6,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2008,-9.03,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2007,-10.33,человека  на 10 000 в год
,70 / 83,Миграционный прирост населения за 2006,-80.16,человека  на 10 000 в год
,71 / 83,Миграционный прирост населения за 2005,-92.86,человека  на 10 000 в год
,71 / 83,Миграционный прирост населения за 2004,-90.49,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 2003,-71.01,человека  на 10 000 в год
,60 / 83,Миграционный прирост населения за 2002,-26.9,человека  на 10 000 в год
,62 / 83,Миграционный прирост населения за 2001,-39.3,человека  на 10 000 в год
,66 / 83,Миграционный прирост населения за 2000,-38.3,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 1999,-80.4,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 1998,-68,человек  на 10 000 в год
,68 / 83,Миграционный прирост населения за 1997,-63,человека  на 10 000 в год
,44 / 85,Общий прирост населения,-0.94,человека  на 1 000 в год
,46 / 85,Общий прирост населения в городах,0.1837,человека  на 1 000 в год
,48 / 85,Общий прирост населения в сёлах,-6.082,человека  на 1 000 в год
,35 / 85,Численность населения  за 2019,1 321 473,человека
,36 / 85,Численность населения за 2018,1 328 302,человека
,36 / 85,Численность населения за 2017,1 333 294,человека
,36 / 85,Численность населения за 2016,1 334 552,человека
,36 / 85,Численность населения за 2015,1 338 305,человек
,35 / 83,Численность населения за 2014,1 339 912,человек
,34 / 83,Численность населения за 2013,1 342 083,человека
,34 / 83,Численность населения за 2012,1 342 475,человек
,35 / 83,Численность населения за 2011,1 342 887,человек
,35 / 83,Численность населения за 2010,1 349 230,человек
,35 / 83,Численность населения за 2009,1 351 123,человека
,35 / 83,Численность населения за 2008,1 354 848,человек
,35 / 83,Численность населения за 2007,1 359 894,человека
,35 / 83,Численность населения за 2006,1 376 260,человек
,35 / 83,Численность населения за 2005,1 396 800,человек
,35 / 83,Численность населения за 2004,1 416 224,человека
,35 / 83,Численность населения за 2003,1 434 242,человека
,34 / 83,Численность населения за 2002,1 446 177,человек
,34 / 83,Численность населения за 2001,1 459 908,человек
,34 / 83,Численность населения за 2000,1 473 876,человек
,34 / 83,Численность населения за 1999,1 493 881,человек
,33 / 83,Численность населения за 1998,1 509 513,человек
,33 / 83,Численность населения за 1997,1 525 062,человека
,33 / 83,Численность населения за 1996,1 543 701,человек
,32 / 83,Численность населения за 1995,1 566 602,человека
,32 / 83,Численность населения за 1994,1 591 454,человека
,32 / 83,Численность населения за 1993,1 607 662,человека
,31 / 83,Численность населения за 1992,1 624 416,человек
,31 / 83,Численность населения за 1991,1 624 704,человека
,32 / 85,Численность населения за 1990,1 619 663,человека
,,Б. Демографический состав,,
,48 / 85,Доля детей  за 2017,18.4,%
,48 / 85,Доля детей за 2016,18,%
,47 / 85,Доля детей за 2015,17.4,%
,49 / 83,Доля детей за 2014,16.9,%
,50 / 83,Доля детей за 2013,16.4,%
,50 / 83,Доля детей за 2012,16,%
,60 / 85,Доля пожилых  за 2017,22.7,%
,59 / 85,Доля пожилых за 2016,22.4,%
,60 / 85,Доля пожилых за 2015,22.1,%
,54 / 83,Доля пожилых за 2014,21.8,%
,54 / 83,Доля пожилых за 2013,21.5,%
,53 / 83,Доля пожилых за 2012,21.1,%
,77 / 85,Общая демографическая нагрузка  за 2018,71.7,человека  на 100 трудоспособных
,78 / 85,Общая демографическая нагрузка за 2017,69.92,человека  на 100 трудоспособных
,77 / 85,Общая демографическая нагрузка за 2016,67.83,человека  на 100 трудоспособных
,77 / 85,Общая демографическая нагрузка за 2015,65.26,человека  на 100 трудоспособных
