,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,45 / 85,Естественный прирост населения  за 2017,-1.6,человека  на 1 000 в год
,46 / 85,Естественный прирост населения за 2016,-0.8,человека  на 1 000 в год
,47 / 85,Естественный прирост населения за 2015,-0.6,человека  на 1 000 в год
,44 / 85,Естественный прирост населения за 2014,-0.2,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2013,0.2,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2012,-0.4,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2011,-1.2,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2010,-1.5,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2009,-1.4,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2008,-2.2,человека  на 1 000 в год
,28 / 83,Естественный прирост населения за 2007,-1.7,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2006,-3.7,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2005,-4.8,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2004,-4.8,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2003,-4.2,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 2002,-4.5,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 2001,-4.3,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 2000,-4.4,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1999,-3.5,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1998,-1.8,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1997,-2.6,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1996,-2.6,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1995,-1.9,человека  на 1 000 в год
,20 / 81,Естественный прирост населения за 1994,-2.3,человека  на 1 000 в год
,21 / 81,Естественный прирост населения за 1993,-1.8,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1992,2.3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1991,5.3,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1990,7.6,человека  на 1 000 в год
,33 / 85,Естественный прирост населения. Рождаемость  за 2017,11.8,ребенка  на 1 000 в год
,41 / 85,Естественный прирост населения. Рождаемость за 2016,12.9,ребенка  на 1 000 в год
,42 / 85,Естественный прирост населения. Рождаемость за 2015,13.3,ребенка  на 1 000 в год
,34 / 85,Естественный прирост населения. Рождаемость за 2014,13.7,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2013,14.1,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2012,14.3,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2011,13.6,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2010,13.8,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2009,13.2,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2008,12.9,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2007,12.6,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2006,11.8,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2005,12.1,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2004,12.4,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2003,12.4,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 2002,11.6,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 2001,10.9,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 2000,10.2,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1999,9.9,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1998,10.4,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1997,9.9,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 1996,10.4,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1995,10.6,ребенка  на 1 000 в год
,21 / 81,Естественный прирост населения. Рождаемость за 1994,11,детей  на 1 000 в год
,21 / 81,Естественный прирост населения. Рождаемость за 1993,10.7,ребенка  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 1992,12.4,ребенка  на 1 000 в год
