,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,51 / 85,Естественный прирост населения  за 2017,-2.7,человека  на 1 000 в год
,53 / 85,Естественный прирост населения за 2016,-1.9,человека  на 1 000 в год
,50 / 85,Естественный прирост населения за 2015,-1.4,человека  на 1 000 в год
,48 / 85,Естественный прирост населения за 2014,-0.9,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2013,-0.7,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2012,-0.8,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2011,-1.7,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2010,-2,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2009,-2.1,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2008,-2.6,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2007,-2.8,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2006,-4.9,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2005,-6.3,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2004,-6.5,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2003,-7.1,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 2002,-7.1,человека  на 1 000 в год
,46 / 82,Естественный прирост населения за 2001,-6.6,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 2000,-7.5,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1999,-7.3,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1998,-4.2,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1997,-4.8,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 1996,-5.3,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1995,-6.1,человека  на 1 000 в год
,50 / 81,Естественный прирост населения за 1994,-6.5,человека  на 1 000 в год
,47 / 81,Естественный прирост населения за 1993,-5.4,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 1992,-1.3,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1991,2,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1990,3.7,человека  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость  за 2017,10.5,ребенка  на 1 000 в год
,60 / 85,Естественный прирост населения. Рождаемость за 2016,11.8,ребенка  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость за 2015,12.2,ребенка  на 1 000 в год
,55 / 85,Естественный прирост населения. Рождаемость за 2014,12.5,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2013,12.7,ребенка  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2012,12.6,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2011,12.1,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2010,12.4,ребенка  на 1 000 в год
,44 / 83,Естественный прирост населения. Рождаемость за 2009,12.3,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2008,12,детей  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2007,11.9,ребенка  на 1 000 в год
