,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,30 / 85,Естественный прирост населения  за 2017,-0.3,человека  на 1 000 в год
,30 / 85,Естественный прирост населения за 2016,0.8,человека  на 1 000 в год
,30 / 85,Естественный прирост населения за 2015,1.2,человека  на 1 000 в год
,24 / 85,Естественный прирост населения за 2014,1.7,человека  на 1 000 в год
,28 / 83,Естественный прирост населения за 2013,1.5,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2012,1.4,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2011,0.4,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2010,0.6,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2009,0.6,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2008,-0.3,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2007,-0.9,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2006,-2.5,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2005,-3.4,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2004,-2.9,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2003,-3.1,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 2002,-3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 2001,-3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 2000,-2.9,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1999,-2.8,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 1998,-1,человек  на 1 000 в год
,20 / 82,Естественный прирост населения за 1997,-1.3,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1996,-1,человек  на 1 000 в год
,17 / 82,Естественный прирост населения за 1995,-1.5,человека  на 1 000 в год
,16 / 81,Естественный прирост населения за 1994,-1.7,человека  на 1 000 в год
,18 / 81,Естественный прирост населения за 1993,-1,человек  на 1 000 в год
,18 / 82,Естественный прирост населения за 1992,2.4,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1991,4.7,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1990,6.5,человека  на 1 000 в год
,24 / 85,Естественный прирост населения. Рождаемость  за 2017,12.1,ребенка  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость за 2016,13.7,ребенка  на 1 000 в год
,20 / 85,Естественный прирост населения. Рождаемость за 2015,14.5,ребенка  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость за 2014,14.8,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2013,14.6,ребенка  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2012,14.6,ребенка  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2011,13.8,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2010,14,детей  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2009,13.7,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2008,13.4,ребенка  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2007,12.7,ребенка  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2006,11.1,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2005,10.8,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2004,11.2,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2003,11.1,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 2002,11.1,ребенка  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 2001,10.4,ребенка  на 1 000 в год
,20 / 82,Естественный прирост населения. Рождаемость за 2000,10.1,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 1999,10,детей  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1998,10.8,ребенка  на 1 000 в год
,16 / 82,Естественный прирост населения. Рождаемость за 1997,10.7,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1996,11.1,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 1995,11.2,ребенка  на 1 000 в год
,15 / 81,Естественный прирост населения. Рождаемость за 1994,11.7,ребенка  на 1 000 в год
,13 / 81,Естественный прирост населения. Рождаемость за 1993,11.6,ребенка  на 1 000 в год
,13 / 82,Естественный прирост населения. Рождаемость за 1992,13.3,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1991,14.7,ребенка  на 1 000 в год
,16 / 82,Естественный прирост населения. Рождаемость за 1990,16.2,ребенка  на 1 000 в год
,53 / 85,Естественный прирост населения. Смертность  за 2017,12.4,человека  на 1 000 в год
,52 / 85,Естественный прирост населения. Смертность за 2016,12.9,человека  на 1 000 в год
,49 / 85,Естественный прирост населения. Смертность за 2015,13.3,человека  на 1 000 в год
,51 / 83,Естественный прирост населения. Смертность за 2014,13.1,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2013,13.1,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2012,13.2,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2011,13.4,человека  на 1 000 в год
