,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,23 / 85,Естественный прирост населения  за 2017,0.7,человека  на 1 000 в год
,20 / 85,Естественный прирост населения за 2016,2,человека  на 1 000 в год
,19 / 85,Естественный прирост населения за 2015,2.2,человека  на 1 000 в год
,19 / 85,Естественный прирост населения за 2014,2.3,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2013,2.6,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2012,2.4,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2011,1.2,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2010,0.7,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2009,0.8,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2008,0.6,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2007,-0.6,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2006,-2.3,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2005,-3.3,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2004,-2.6,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2003,-3.5,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 2002,-3.7,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 2001,-4.1,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 2000,-4.4,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1999,-4.2,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1998,-3.7,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1997,-3,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1996,-3.4,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1995,-3.4,человека  на 1 000 в год
,28 / 81,Естественный прирост населения за 1994,-3.6,человека  на 1 000 в год
,29 / 81,Естественный прирост населения за 1993,-2.8,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 1992,0.9,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 1991,2.8,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1990,4.7,человека  на 1 000 в год
,24 / 85,Естественный прирост населения. Рождаемость  за 2017,12.1,ребенка  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость за 2016,14,детей  на 1 000 в год
,20 / 85,Естественный прирост населения. Рождаемость за 2015,14.5,ребенка  на 1 000 в год
,18 / 85,Естественный прирост населения. Рождаемость за 2014,14.9,ребенка  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2013,14.8,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2012,15.1,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2011,14.2,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2010,14.2,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2009,14.2,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2008,14.2,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2007,13.5,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2006,12.4,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2005,12.2,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2004,12.4,ребенка  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2003,12.1,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 2002,11.6,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 2001,10.5,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 2000,9.9,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 1999,9.5,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1998,9.6,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1997,9.8,ребенка  на 1 000 в год
,26 / 82,Естественный прирост населения. Рождаемость за 1996,9.8,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1995,10.2,ребенка  на 1 000 в год
,26 / 81,Естественный прирост населения. Рождаемость за 1994,10.7,ребенка  на 1 000 в год
,28 / 81,Естественный прирост населения. Рождаемость за 1993,10.3,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1992,12.1,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1991,13.9,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1990,15.1,ребенка  на 1 000 в год
,61 / 85,Естественный прирост населения. Смертность  за 2017,11.4,человека  на 1 000 в год
,61 / 85,Естественный прирост населения. Смертность за 2016,12,человек  на 1 000 в год
,61 / 85,Естественный прирост населения. Смертность за 2015,12.3,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2014,12.6,человека  на 1 000 в год
,58 / 83,Естественный прирост населения. Смертность за 2013,12.2,человека  на 1 000 в год
,58 / 83,Естественный прирост населения. Смертность за 2012,12.7,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2011,13,человек  на 1 000 в год
,56 / 83,Естественный прирост населения. Смертность за 2010,13.5,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2009,13.3,человека  на 1 000 в год
,60 / 83,Естественный прирост населения. Смертность за 2008,13.5,человека  на 1 000 в год
,56 / 83,Естественный прирост населения. Смертность за 2007,14,человек  на 1 000 в год
,56 / 83,Естественный прирост населения. Смертность за 2006,14.6,человека  на 1 000 в год
,59 / 83,Естественный прирост населения. Смертность за 2005,15.4,человека  на 1 000 в год
,59 / 83,Естественный прирост населения. Смертность за 2004,14.9,человека  на 1 000 в год
,55 / 83,Естественный прирост населения. Смертность за 2003,15.5,человека  на 1 000 в год
,51 / 82,Естественный прирост населения. Смертность за 2002,15.3,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 2001,14.6,человека  на 1 000 в год
,50 / 82,Естественный прирост населения. Смертность за 2000,14.3,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1999,13.7,человека  на 1 000 в год
,39 / 82,Естественный прирост населения. Смертность за 1998,13.3,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1997,12.8,человека  на 1 000 в год
,50 / 82,Естественный прирост населения. Смертность за 1996,13.2,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1995,13.6,человека  на 1 000 в год
,50 / 81,Естественный прирост населения. Смертность за 1994,14.3,человека  на 1 000 в год
,50 / 81,Естественный прирост населения. Смертность за 1993,13.1,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1992,11.2,человека  на 1 000 в год
,41 / 82,Естественный прирост населения. Смертность за 1991,11.1,человека  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1990,10.4,человека  на 1 000 в год
,42 / 85,Миграционный прирост населения  за 2017,-19.66,человека  на 10 000 в год
,55 / 85,Миграционный прирост населения за 2016,-17.37,человека  на 10 000 в год
,69 / 85,Миграционный прирост населения за 2015,-48.61,человека  на 10 000 в год
,16 / 83,Миграционный прирост населения за 2014,24.12,человека  на 10 000 в год
,33 / 83,Миграционный прирост населения за 2013,0.19,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 2012,-35.72,человека  на 10 000 в год
,19 / 83,Миграционный прирост населения за 2011,38.97,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2010,-19.69,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 2009,3.7,человека  на 10 000 в год
,17 / 83,Миграционный прирост населения за 2008,34.41,человека  на 10 000 в год
,11 / 83,Миграционный прирост населения за 2007,51.93,человека  на 10 000 в год
,28 / 83,Миграционный прирост населения за 2006,10.6,человека  на 10 000 в год
,37 / 83,Миграционный прирост населения за 2005,-6.15,человека  на 10 000 в год
,18 / 83,Миграционный прирост населения за 2004,30.51,человека  на 10 000 в год
,11 / 83,Миграционный прирост населения за 2003,47.4,человека  на 10 000 в год
,17 / 83,Миграционный прирост населения за 2002,30.4,человека  на 10 000 в год
,27 / 83,Миграционный прирост населения за 2001,4,человека  на 10 000 в год
,29 / 83,Миграционный прирост населения за 2000,13.2,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 1999,2.8,человека  на 10 000 в год
,50 / 83,Миграционный прирост населения за 1998,2.4,человека  на 10 000 в год
,37 / 83,Миграционный прирост населения за 1997,23.1,человека  на 10 000 в год
,34 / 85,Общий прирост населения,0.24,человека  на 1 000 в год
,50 / 85,Общий прирост населения в городах,-0.1845,человека  на 1 000 в год
,19 / 85,Общий прирост населения в сёлах,1.07,человека  на 1 000 в год
,51 / 85,Численность населения  за 2019,1 014 065,человек
,51 / 85,Численность населения за 2018,1 017 514,человек
,52 / 85,Численность населения за 2017,1 018 866,человек
,52 / 85,Численность населения за 2016,1 018 626,человек
,52 / 85,Численность населения за 2015,1 021 287,человек
,51 / 83,Численность населения за 2014,1 016 516,человек
,51 / 83,Численность населения за 2013,1 013 840,человек
,51 / 83,Численность населения за 2012,1 014 972,человека
,51 / 83,Численность населения за 2011,1 009 801,человек
,52 / 83,Численность населения за 2010,1 011 120,человек
,52 / 83,Численность населения за 2009,1 009 926,человек
,53 / 83,Численность населения за 2008,1 005 897,человек
,53 / 83,Численность населения за 2007,1 001 300,человек
,53 / 83,Численность населения за 2006,1 002 517,человек
,53 / 83,Численность населения за 2005,1 006 467,человек
,53 / 83,Численность населения за 2004,1 006 073,человека
,55 / 83,Численность населения за 2003,1 004 780,человек
,55 / 83,Численность населения за 2002,1 005 510,человек
,54 / 83,Численность населения за 2001,1 009 281,человек
,55 / 83,Численность населения за 2000,1 012 385,человек
,55 / 83,Численность населения за 1999,1 016 372,человека
,56 / 83,Численность населения за 1998,1 019 880,человек
,56 / 83,Численность населения за 1997,1 020 576,человек
,58 / 83,Численность населения за 1996,1 019 171,человек
,58 / 83,Численность населения за 1995,1 014 170,человек
,59 / 83,Численность населения за 1994,1 006 099,человек
,59 / 83,Численность населения за 1993,1 004 737,человек
,59 / 83,Численность населения за 1992,1 003 253,человека
,59 / 83,Численность населения за 1991,1 001 044,человека
,60 / 85,Численность населения за 1990,997 516,человек
,,Б. Демографический состав,,
,23 / 85,Доля детей  за 2017,20.2,%
,24 / 85,Доля детей за 2016,19.8,%
,24 / 85,Доля детей за 2015,19.2,%
,25 / 83,Доля детей за 2014,18.7,%
,25 / 83,Доля детей за 2013,18.3,%
,26 / 83,Доля детей за 2012,17.8,%
,55 / 85,Доля пожилых  за 2017,23.7,%
,55 / 85,Доля пожилых за 2016,23.2,%
,56 / 85,Доля пожилых за 2015,22.7,%
,52 / 83,Доля пожилых за 2014,22.3,%
,52 / 83,Доля пожилых за 2013,21.9,%
,51 / 83,Доля пожилых за 2012,21.4,%
,42 / 85,Общая демографическая нагрузка  за 2018,80.36,человека  на 100 трудоспособных
,43 / 85,Общая демографическая нагрузка за 2017,78.19,человека  на 100 трудоспособных
,45 / 85,Общая демографическая нагрузка за 2016,75.56,человека  на 100 трудоспособных
,48 / 85,Общая демографическая нагрузка за 2015,72.13,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2014,69.58,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2013,67.09,человека  на 100 трудоспособных
,49 / 83,Общая демографическая нагрузка за 2012,64.35,человека  на 100 трудоспособных
