,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,59 / 85,Естественный прирост населения  за 2017,-3.8,человека  на 1 000 в год
,59 / 85,Естественный прирост населения за 2016,-2.8,человека  на 1 000 в год
,58 / 85,Естественный прирост населения за 2015,-2.4,человека  на 1 000 в год
,62 / 85,Естественный прирост населения за 2014,-2.5,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2013,-2.2,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2012,-2.4,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2011,-3,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2010,-3.5,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2009,-3.4,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2008,-3.7,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2007,-4.5,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2006,-5.8,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2005,-7.1,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2004,-7.1,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2003,-6.9,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 2002,-7.6,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 2001,-7.9,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 2000,-7.5,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1999,-7.5,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1998,-6.3,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1997,-6.5,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 1996,-5.7,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 1995,-5.4,человека  на 1 000 в год
,43 / 81,Естественный прирост населения за 1994,-5.8,человека  на 1 000 в год
,53 / 81,Естественный прирост населения за 1993,-5.8,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1992,-3.2,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1991,-1.8,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1990,0,человек  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость  за 2017,9.7,ребенка  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость за 2016,11.1,ребенка  на 1 000 в год
,70 / 85,Естественный прирост населения. Рождаемость за 2015,11.5,ребенка  на 1 000 в год
,69 / 85,Естественный прирост населения. Рождаемость за 2014,11.5,ребенка  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2013,11.6,ребенка  на 1 000 в год
,66 / 83,Естественный прирост населения. Рождаемость за 2012,11.6,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2011,11.1,ребенка  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2010,10.9,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2009,11,детей  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2008,11,детей  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2007,10.3,ребенка  на 1 000 в год
,58 / 83,Естественный прирост населения. Рождаемость за 2006,9.5,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2005,8.9,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2004,9.1,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2003,9.2,ребенка  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 2002,8.6,ребенка  на 1 000 в год
,55 / 82,Естественный прирост населения. Рождаемость за 2001,8.2,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 2000,8,детей  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1999,7.6,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 1998,8,детей  на 1 000 в год
,50 / 82,Естественный прирост населения. Рождаемость за 1997,8.1,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1996,8.8,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1995,9.4,ребенка  на 1 000 в год
,37 / 81,Естественный прирост населения. Рождаемость за 1994,9.8,ребенка  на 1 000 в год
