,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,75 / 85,Естественный прирост населения  за 2017,-5.8,человека  на 1 000 в год
,73 / 85,Естественный прирост населения за 2016,-4.7,человека  на 1 000 в год
,72 / 85,Естественный прирост населения за 2015,-4.4,человека  на 1 000 в год
,74 / 85,Естественный прирост населения за 2014,-5,человек  на 1 000 в год
,71 / 83,Естественный прирост населения за 2013,-4.8,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2012,-4.8,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2011,-5.2,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2010,-6.3,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2009,-5.8,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2008,-6.8,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2007,-7.6,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2006,-9.5,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2005,-10.8,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2004,-9.8,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2003,-10,человек  на 1 000 в год
,67 / 82,Естественный прирост населения за 2002,-10.6,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 2001,-10,человек  на 1 000 в год
,67 / 82,Естественный прирост населения за 2000,-10.4,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1999,-9.7,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1998,-8.3,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1997,-8.3,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1996,-6.8,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1995,-6.7,человека  на 1 000 в год
,53 / 81,Естественный прирост населения за 1994,-7.2,человека  на 1 000 в год
,53 / 81,Естественный прирост населения за 1993,-5.8,человека  на 1 000 в год
,55 / 82,Естественный прирост населения за 1992,-2.5,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1991,-1.1,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1990,0.1,человека  на 1 000 в год
,76 / 85,Естественный прирост населения. Рождаемость  за 2017,9.5,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2016,10.9,ребенка  на 1 000 в год
,73 / 85,Естественный прирост населения. Рождаемость за 2015,11.4,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2014,11,детей  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2013,11.1,ребенка  на 1 000 в год
,70 / 83,Естественный прирост населения. Рождаемость за 2012,11.4,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2011,10.9,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2010,10.7,ребенка  на 1 000 в год
,58 / 83,Естественный прирост населения. Рождаемость за 2009,11.1,ребенка  на 1 000 в год
,56 / 83,Естественный прирост населения. Рождаемость за 2008,10.9,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2007,10.2,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2006,9.1,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2005,9,детей  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2004,9.2,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2003,9.1,ребенка  на 1 000 в год
