,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,77 / 85,Естественный прирост населения  за 2017,-6,человек  на 1 000 в год
,78 / 85,Естественный прирост населения за 2016,-5.3,человека  на 1 000 в год
,77 / 85,Естественный прирост населения за 2015,-4.9,человека  на 1 000 в год
,78 / 85,Естественный прирост населения за 2014,-5.4,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2013,-5.6,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2012,-5.2,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2011,-6.2,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2010,-7.2,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2009,-7.6,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2008,-8,человек  на 1 000 в год
,73 / 83,Естественный прирост населения за 2007,-8.5,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2006,-9.8,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2005,-11.1,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2004,-10.8,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2003,-11.5,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 2002,-12.2,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 2001,-11.6,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 2000,-11.5,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1999,-11,человек  на 1 000 в год
,69 / 82,Естественный прирост населения за 1998,-8.6,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 1997,-8.7,человека  на 1 000 в год
,68 / 82,Естественный прирост населения за 1996,-8.5,человека  на 1 000 в год
,68 / 82,Естественный прирост населения за 1995,-8.9,человека  на 1 000 в год
,65 / 81,Естественный прирост населения за 1994,-9.3,человека  на 1 000 в год
,64 / 81,Естественный прирост населения за 1993,-7.8,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1992,-4.3,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 1991,-2.2,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1990,-0.4,человека  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость  за 2017,9.7,ребенка  на 1 000 в год
,67 / 85,Естественный прирост населения. Рождаемость за 2016,11.2,ребенка  на 1 000 в год
,66 / 85,Естественный прирост населения. Рождаемость за 2015,11.6,ребенка  на 1 000 в год
,73 / 85,Естественный прирост населения. Рождаемость за 2014,11.2,ребенка  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2013,11.1,ребенка  на 1 000 в год
,68 / 83,Естественный прирост населения. Рождаемость за 2012,11.5,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2011,10.9,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2010,10.8,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2009,10.8,ребенка  на 1 000 в год
,58 / 83,Естественный прирост населения. Рождаемость за 2008,10.8,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2007,10.2,ребенка  на 1 000 в год
,58 / 83,Естественный прирост населения. Рождаемость за 2006,9.5,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2005,9.2,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2004,9.4,ребенка  на 1 000 в год
,54 / 83,Естественный прирост населения. Рождаемость за 2003,9.3,ребенка  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 2002,8.6,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 2001,8.1,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 2000,7.6,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1999,7.2,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1998,7.5,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1997,7.3,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1996,7.6,ребенка  на 1 000 в год
