,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,54 / 85,Естественный прирост населения  за 2017,-3.1,человека  на 1 000 в год
,58 / 85,Естественный прирост населения за 2016,-2.5,человека  на 1 000 в год
,57 / 85,Естественный прирост населения за 2015,-2.3,человека  на 1 000 в год
,57 / 85,Естественный прирост населения за 2014,-2.1,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2013,-2,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2012,-1.9,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2011,-2.6,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2010,-3.4,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2009,-3.1,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2008,-3.2,человека  на 1 000 в год
,49 / 83,Естественный прирост населения за 2007,-3.9,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2006,-5.5,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2005,-6.3,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2004,-5.8,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2003,-6.8,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 2002,-6.8,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 2001,-7.1,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 2000,-7,человек  на 1 000 в год
,50 / 82,Естественный прирост населения за 1999,-7.3,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1998,-5.9,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1997,-5.9,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1996,-5.8,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 1995,-5.5,человека  на 1 000 в год
,43 / 81,Естественный прирост населения за 1994,-5.8,человека  на 1 000 в год
,40 / 81,Естественный прирост населения за 1993,-4.3,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1992,-1.4,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1991,0.3,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1990,1.3,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Рождаемость  за 2017,10,детей  на 1 000 в год
