,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,53 / 85,Естественный прирост населения  за 2017,-3,человека  на 1 000 в год
,51 / 85,Естественный прирост населения за 2016,-1.7,человека  на 1 000 в год
,49 / 85,Естественный прирост населения за 2015,-1.1,человека  на 1 000 в год
,51 / 85,Естественный прирост населения за 2014,-1.2,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2013,-1.2,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2012,-1.1,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2011,-2.7,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2010,-4.2,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2009,-3.8,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2008,-4.3,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2007,-4.3,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2006,-6.2,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2005,-8.3,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2004,-8.4,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2003,-9.4,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 2002,-8.3,человека  на 1 000 в год
,55 / 82,Естественный прирост населения за 2001,-8,человек  на 1 000 в год
,48 / 82,Естественный прирост населения за 2000,-7.2,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1999,-8.1,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1998,-6.2,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1997,-6.6,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1996,-7.3,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1995,-7.7,человека  на 1 000 в год
,58 / 81,Естественный прирост населения за 1994,-7.9,человека  на 1 000 в год
,58 / 81,Естественный прирост населения за 1993,-6.4,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1992,-2.9,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1991,-0.1,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 1990,1.4,человека  на 1 000 в год
,41 / 85,Естественный прирост населения. Рождаемость  за 2017,11.4,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2016,13.3,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2015,13.7,ребенка  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость за 2014,13.6,ребенка  на 1 000 в год
,36 / 83,Естественный прирост населения. Рождаемость за 2013,13.8,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2012,14,детей  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2011,13,детей  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2010,12.5,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2009,12.4,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2008,12,детей  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2007,11.6,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2006,10.9,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2005,10.5,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2004,10.7,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2003,10.4,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 2002,10.1,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 2001,9.4,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 2000,8.8,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1999,8,детей  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1998,8.4,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1997,8.4,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1996,8.5,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 1995,8.7,ребенка  на 1 000 в год
,56 / 81,Естественный прирост населения. Рождаемость за 1994,8.9,ребенка  на 1 000 в год
,50 / 81,Естественный прирост населения. Рождаемость за 1993,9,детей  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1992,10.3,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 1991,11.9,ребенка  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 1990,13.4,ребенка  на 1 000 в год
,22 / 85,Естественный прирост населения. Смертность  за 2017,14.4,человека  на 1 000 в год
,21 / 85,Естественный прирост населения. Смертность за 2016,15,человек  на 1 000 в год
,26 / 85,Естественный прирост населения. Смертность за 2015,14.8,человека  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2014,14.8,человека  на 1 000 в год
,21 / 83,Естественный прирост населения. Смертность за 2013,15,человек  на 1 000 в год
,24 / 83,Естественный прирост населения. Смертность за 2012,15.1,человека  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2011,15.7,человека  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2010,16.7,человека  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2009,16.3,человека  на 1 000 в год
,24 / 83,Естественный прирост населения. Смертность за 2008,16.4,человека  на 1 000 в год
,25 / 83,Естественный прирост населения. Смертность за 2007,16,человек  на 1 000 в год
,23 / 83,Естественный прирост населения. Смертность за 2006,17.1,человека  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2005,18.8,человека  на 1 000 в год
,14 / 83,Естественный прирост населения. Смертность за 2004,19.1,человека  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2003,19.8,человека  на 1 000 в год
,21 / 82,Естественный прирост населения. Смертность за 2002,18.4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения. Смертность за 2001,17.4,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 2000,16,человек  на 1 000 в год
,21 / 82,Естественный прирост населения. Смертность за 1999,16.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения. Смертность за 1998,14.6,человека  на 1 000 в год
,23 / 82,Естественный прирост населения. Смертность за 1997,15,человек  на 1 000 в год
,18 / 82,Естественный прирост населения. Смертность за 1996,15.8,человека  на 1 000 в год
,22 / 82,Естественный прирост населения. Смертность за 1995,16.4,человека  на 1 000 в год
,26 / 81,Естественный прирост населения. Смертность за 1994,16.8,человека  на 1 000 в год
,25 / 81,Естественный прирост населения. Смертность за 1993,15.4,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 1992,13.2,человека  на 1 000 в год
,28 / 82,Естественный прирост населения. Смертность за 1991,12,человек  на 1 000 в год
