,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,70 / 85,Естественный прирост населения  за 2017,-5,человек  на 1 000 в год
,72 / 85,Естественный прирост населения за 2016,-4.5,человека  на 1 000 в год
,71 / 85,Естественный прирост населения за 2015,-4.2,человека  на 1 000 в год
,72 / 85,Естественный прирост населения за 2014,-4.8,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2013,-4.8,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2012,-4.7,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2011,-5.7,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2010,-6.8,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2009,-6.6,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2008,-7.9,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2007,-8.7,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2006,-9.7,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2005,-10.4,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2004,-10,человек  на 1 000 в год
,69 / 83,Естественный прирост населения за 2003,-10.7,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 2002,-10.9,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 2001,-10.6,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 2000,-10.3,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1999,-10.3,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1998,-8.6,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1997,-9,человек  на 1 000 в год
,68 / 82,Естественный прирост населения за 1996,-8.5,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1995,-8.4,человека  на 1 000 в год
,63 / 81,Естественный прирост населения за 1994,-8.5,человека  на 1 000 в год
,67 / 81,Естественный прирост населения за 1993,-8.1,человека  на 1 000 в год
,68 / 82,Естественный прирост населения за 1992,-5,человек  на 1 000 в год
,73 / 82,Естественный прирост населения за 1991,-3.7,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1990,-2.4,человека  на 1 000 в год
,74 / 85,Естественный прирост населения. Рождаемость  за 2017,9.6,ребенка  на 1 000 в год
,79 / 85,Естественный прирост населения. Рождаемость за 2016,10.7,ребенка  на 1 000 в год
,77 / 85,Естественный прирост населения. Рождаемость за 2015,11.1,ребенка  на 1 000 в год
,78 / 85,Естественный прирост населения. Рождаемость за 2014,10.9,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2013,10.7,ребенка  на 1 000 в год
,76 / 83,Естественный прирост населения. Рождаемость за 2012,10.9,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2011,10.2,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2010,10.2,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2009,10.4,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2008,9.8,ребенка  на 1 000 в год
,80 / 83,Естественный прирост населения. Рождаемость за 2007,9,детей  на 1 000 в год
,80 / 83,Естественный прирост населения. Рождаемость за 2006,8.4,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2005,8.4,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2004,8.6,ребенка  на 1 000 в год
,80 / 83,Естественный прирост населения. Рождаемость за 2003,8.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 2002,8,детей  на 1 000 в год
,74 / 82,Естественный прирост населения. Рождаемость за 2001,7.7,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 2000,7.6,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1999,7.1,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1998,7.5,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1997,7.4,ребенка  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1996,7.9,ребенка  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1995,8.3,ребенка  на 1 000 в год
,61 / 81,Естественный прирост населения. Рождаемость за 1994,8.7,ребенка  на 1 000 в год
,61 / 81,Естественный прирост населения. Рождаемость за 1993,8.6,ребенка  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1992,9.5,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1991,10.5,ребенка  на 1 000 в год
,73 / 82,Естественный прирост населения. Рождаемость за 1990,11.5,ребенка  на 1 000 в год
,19 / 85,Естественный прирост населения. Смертность  за 2017,14.6,человека  на 1 000 в год
,17 / 85,Естественный прирост населения. Смертность за 2016,15.2,человека  на 1 000 в год
,18 / 85,Естественный прирост населения. Смертность за 2015,15.3,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2014,15.7,человека  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2013,15.5,человека  на 1 000 в год
