,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,78 / 85,Естественный прирост населения  за 2017,-6.2,человека  на 1 000 в год
,77 / 85,Естественный прирост населения за 2016,-5.2,человека  на 1 000 в год
,74 / 85,Естественный прирост населения за 2015,-4.6,человека  на 1 000 в год
,76 / 85,Естественный прирост населения за 2014,-5.3,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2013,-5.1,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2012,-5.8,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2011,-6.5,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2010,-8,человек  на 1 000 в год
,77 / 83,Естественный прирост населения за 2009,-8,человек  на 1 000 в год
,77 / 83,Естественный прирост населения за 2008,-9,человек  на 1 000 в год
,76 / 83,Естественный прирост населения за 2007,-9,человек  на 1 000 в год
,77 / 83,Естественный прирост населения за 2006,-11,человек  на 1 000 в год
,80 / 83,Естественный прирост населения за 2005,-13.3,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2004,-12.6,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2003,-13.3,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 2002,-13.7,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 2001,-12.9,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 2000,-13.6,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 1999,-14,человек  на 1 000 в год
,79 / 82,Естественный прирост населения за 1998,-10.7,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1997,-11.2,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1996,-10.9,человека  на 1 000 в год
,78 / 82,Естественный прирост населения за 1995,-11.2,человека  на 1 000 в год
,76 / 81,Естественный прирост населения за 1994,-11.4,человека  на 1 000 в год
,71 / 81,Естественный прирост населения за 1993,-9,человек  на 1 000 в год
,77 / 82,Естественный прирост населения за 1992,-6.1,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1991,-4.2,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1990,-2.4,человека  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость  за 2017,9.7,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2016,10.9,ребенка  на 1 000 в год
,73 / 85,Естественный прирост населения. Рождаемость за 2015,11.4,ребенка  на 1 000 в год
,74 / 85,Естественный прирост населения. Рождаемость за 2014,11.1,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2013,11.2,ребенка  на 1 000 в год
,74 / 83,Естественный прирост населения. Рождаемость за 2012,11.1,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2011,10.4,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2010,10.4,ребенка  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2009,10.6,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2008,10.3,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2007,9.8,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2006,9,детей  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2005,8.7,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2004,9,детей  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2003,8.8,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 2002,8.3,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 2001,7.8,ребенка  на 1 000 в год
,76 / 82,Естественный прирост населения. Рождаемость за 2000,7.2,ребенка  на 1 000 в год
,77 / 82,Естественный прирост населения. Рождаемость за 1999,6.7,ребенка  на 1 000 в год
,76 / 82,Естественный прирост населения. Рождаемость за 1998,7.2,ребенка  на 1 000 в год
,79 / 82,Естественный прирост населения. Рождаемость за 1997,6.8,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 1996,7.1,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 1995,7.4,ребенка  на 1 000 в год
,76 / 81,Естественный прирост населения. Рождаемость за 1994,7.7,ребенка  на 1 000 в год
,66 / 81,Естественный прирост населения. Рождаемость за 1993,8.1,ребенка  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1992,9,детей  на 1 000 в год
,73 / 82,Естественный прирост населения. Рождаемость за 1991,10.2,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1990,11.6,ребенка  на 1 000 в год
