,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,24 / 85,Естественный прирост населения  за 2017,0.5,человека  на 1 000 в год
,23 / 85,Естественный прирост населения за 2016,1.4,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2015,1.7,человека  на 1 000 в год
,28 / 85,Естественный прирост населения за 2014,1.6,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2013,2.1,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2012,2,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2011,1.3,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2010,0.8,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2009,1.3,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2008,0.9,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2007,-0.2,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2006,-2.8,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2005,-5.1,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2004,-4.1,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2003,-4.6,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 2002,-4.7,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 2001,-4.6,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 2000,-4.8,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 1999,-4.7,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1998,-2.5,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1997,-2.7,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1996,-2.9,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 1995,-4.1,человека  на 1 000 в год
,32 / 81,Естественный прирост населения за 1994,-3.8,человека  на 1 000 в год
,28 / 81,Естественный прирост населения за 1993,-2.7,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1992,1.2,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1991,4.4,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 1990,6.2,человека  на 1 000 в год
,12 / 85,Естественный прирост населения. Рождаемость  за 2017,13.4,ребенка  на 1 000 в год
,12 / 85,Естественный прирост населения. Рождаемость за 2016,14.8,ребенка  на 1 000 в год
,13 / 85,Естественный прирост населения. Рождаемость за 2015,15.3,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость за 2014,15.3,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2013,15.7,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2012,15.9,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2011,15.3,ребенка  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2010,15.2,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2009,15.2,ребенка  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2008,15,детей  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2007,13.8,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2006,12.3,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2005,11.9,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2004,12.4,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2003,12.3,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 2002,11.8,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 2001,11.2,ребенка  на 1 000 в год
,13 / 82,Естественный прирост населения. Рождаемость за 2000,10.7,ребенка  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1999,10.1,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 1998,10.5,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 1997,10.3,ребенка  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1996,10.8,ребенка  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1995,10.9,ребенка  на 1 000 в год
,16 / 81,Естественный прирост населения. Рождаемость за 1994,11.4,ребенка  на 1 000 в год
,16 / 81,Естественный прирост населения. Рождаемость за 1993,11.1,ребенка  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1992,12.6,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1991,14.7,ребенка  на 1 000 в год
,16 / 82,Естественный прирост населения. Рождаемость за 1990,16.2,ребенка  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность  за 2017,12.9,человека  на 1 000 в год
,44 / 85,Естественный прирост населения. Смертность за 2016,13.4,человека  на 1 000 в год
,43 / 85,Естественный прирост населения. Смертность за 2015,13.6,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2014,13.7,человека  на 1 000 в год
,41 / 83,Естественный прирост населения. Смертность за 2013,13.6,человека  на 1 000 в год
,39 / 83,Естественный прирост населения. Смертность за 2012,13.9,человека  на 1 000 в год
,44 / 83,Естественный прирост населения. Смертность за 2011,14,человек  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2010,14.4,человека  на 1 000 в год
,44 / 83,Естественный прирост населения. Смертность за 2009,14.3,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2008,14.4,человека  на 1 000 в год
,52 / 83,Естественный прирост населения. Смертность за 2007,14.3,человека  на 1 000 в год
,41 / 83,Естественный прирост населения. Смертность за 2006,15.4,человека  на 1 000 в год
,32 / 83,Естественный прирост населения. Смертность за 2005,17.2,человека  на 1 000 в год
,38 / 83,Естественный прирост населения. Смертность за 2004,16.6,человека  на 1 000 в год
,35 / 83,Естественный прирост населения. Смертность за 2003,16.9,человека  на 1 000 в год
,36 / 82,Естественный прирост населения. Смертность за 2002,16.5,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 2001,15.8,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 2000,15.5,человека  на 1 000 в год
,36 / 82,Естественный прирост населения. Смертность за 1999,14.8,человека  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1998,13,человек  на 1 000 в год
,45 / 82,Естественный прирост населения. Смертность за 1997,13,человек  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1996,13.7,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 1995,15,человек  на 1 000 в год
,40 / 81,Естественный прирост населения. Смертность за 1994,15.2,человека  на 1 000 в год
,41 / 81,Естественный прирост населения. Смертность за 1993,13.8,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1992,11.4,человека  на 1 000 в год
,48 / 82,Естественный прирост населения. Смертность за 1991,10.3,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1990,10,человек  на 1 000 в год
,51 / 85,Миграционный прирост населения  за 2017,-24.63,человека  на 10 000 в год
,64 / 85,Миграционный прирост населения за 2016,-29.64,человека  на 10 000 в год
,60 / 85,Миграционный прирост населения за 2015,-25.33,человека  на 10 000 в год
,65 / 83,Миграционный прирост населения за 2014,-29.64,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 2013,-35.34,человека  на 10 000 в год
,56 / 83,Миграционный прирост населения за 2012,-29.9,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 2011,-28.02,человека  на 10 000 в год
,70 / 83,Миграционный прирост населения за 2010,-58.61,человека  на 10 000 в год
,70 / 83,Миграционный прирост населения за 2009,-45.29,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 2008,-37.98,человека  на 10 000 в год
,70 / 83,Миграционный прирост населения за 2007,-46.83,человека  на 10 000 в год
,68 / 83,Миграционный прирост населения за 2006,-71.14,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 2005,-75.76,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 2004,-69.65,человека  на 10 000 в год
,62 / 83,Миграционный прирост населения за 2003,-53.02,человека  на 10 000 в год
,66 / 83,Миграционный прирост населения за 2002,-37.6,человека  на 10 000 в год
,65 / 83,Миграционный прирост населения за 2001,-44.2,человека  на 10 000 в год
,62 / 83,Миграционный прирост населения за 2000,-30.7,человека  на 10 000 в год
,65 / 83,Миграционный прирост населения за 1999,-42.6,человека  на 10 000 в год
,65 / 83,Миграционный прирост населения за 1998,-43.6,человека  на 10 000 в год
,66 / 83,Миграционный прирост населения за 1997,-53.8,человека  на 10 000 в год
,47 / 85,Общий прирост населения,-1.62,человека  на 1 000 в год
,66 / 85,Общий прирост населения в городах,-2.568,человека  на 1 000 в год
,17 / 85,Общий прирост населения в сёлах,1.945,человека  на 1 000 в год
,20 / 85,Численность населения  за 2019,2 397 763,человека
,20 / 85,Численность населения за 2018,2 404 195,человек
,20 / 85,Численность населения за 2017,2 408 901,человек
,20 / 85,Численность населения за 2016,2 412 800,человек
,20 / 85,Численность населения за 2015,2 414 913,человек
,20 / 83,Численность населения за 2014,2 418 348,человек
,20 / 83,Численность населения за 2013,2 422 026,человек
,20 / 83,Численность населения за 2012,2 424 355,человек
,20 / 83,Численность населения за 2011,2 427 954,человека
,20 / 83,Численность населения за 2010,2 440 391,человек
,20 / 83,Численность населения за 2009,2 448 287,человек
,20 / 83,Численность населения за 2008,2 455 410,человек
,21 / 83,Численность населения за 2007,2 467 383,человека
,21 / 83,Численность населения за 2006,2 492 143,человека
,21 / 83,Численность населения за 2005,2 524 080,человек
,21 / 83,Численность населения за 2004,2 552 298,человек
,21 / 83,Численность населения за 2003,2 577 702,человека
,20 / 83,Численность населения за 2002,2 599 675,человек
,20 / 83,Численность населения за 2001,2 623 183,человека
,20 / 83,Численность населения за 2000,2 644 022,человека
,19 / 83,Численность населения за 1999,2 667 886,человек
,19 / 83,Численность населения за 1998,2 686 284,человека
,18 / 83,Численность населения за 1997,2 708 178,человек
,18 / 83,Численность населения за 1996,2 727 374,человека
