,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,43 / 85,Естественный прирост населения  за 2017,-1.5,человека  на 1 000 в год
,40 / 85,Естественный прирост населения за 2016,-0.1,человека  на 1 000 в год
,45 / 85,Естественный прирост населения за 2015,-0.5,человека  на 1 000 в год
,47 / 85,Естественный прирост населения за 2014,-0.7,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2013,-0.7,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2012,-0.8,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2011,-1.5,человека  на 1 000 в год
,49 / 83,Естественный прирост населения за 2010,-2.8,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2009,-3.1,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2008,-4,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2007,-4.5,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2006,-7.2,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2005,-9.2,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2004,-9,человек  на 1 000 в год
,58 / 83,Естественный прирост населения за 2003,-8.7,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 2002,-8.4,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 2001,-8.1,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 2000,-7.3,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 1999,-6.7,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 1998,-5.3,человека  на 1 000 в год
,46 / 82,Естественный прирост населения за 1997,-5.5,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1996,-5.1,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1995,-5,человек  на 1 000 в год
,41 / 81,Естественный прирост населения за 1994,-5.6,человека  на 1 000 в год
,42 / 81,Естественный прирост населения за 1993,-4.5,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1992,-0.7,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1991,1.8,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1990,2.8,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Рождаемость  за 2017,11,детей  на 1 000 в год
,46 / 85,Естественный прирост населения. Рождаемость за 2016,12.4,ребенка  на 1 000 в год
,47 / 85,Естественный прирост населения. Рождаемость за 2015,12.7,ребенка  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость за 2014,12.6,ребенка  на 1 000 в год
,53 / 83,Естественный прирост населения. Рождаемость за 2013,12.4,ребенка  на 1 000 в год
,54 / 83,Естественный прирост населения. Рождаемость за 2012,12.4,ребенка  на 1 000 в год
,50 / 83,Естественный прирост населения. Рождаемость за 2011,11.8,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2010,11.4,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2009,11.5,ребенка  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2008,11.3,ребенка  на 1 000 в год
