,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,11 / 85,Естественный прирост населения  за 2017,3.8,человека  на 1 000 в год
,11 / 85,Естественный прирост населения за 2016,5.2,человека  на 1 000 в год
,10 / 85,Естественный прирост населения за 2015,5.9,человека  на 1 000 в год
,11 / 85,Естественный прирост населения за 2014,6,человек  на 1 000 в год
,10 / 83,Естественный прирост населения за 2013,5.8,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2012,5.1,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2011,4.3,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2010,4.3,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2009,4.4,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2008,3.5,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2007,2.8,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2006,0.3,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2005,-1.7,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2004,-1.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2003,-1.9,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 2002,-1.6,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 2001,-2.2,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 2000,-1.5,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1999,-1.6,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 1998,0.3,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1997,-0.5,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1996,-0.3,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 1995,-0.3,человека  на 1 000 в год
,14 / 81,Естественный прирост населения за 1994,-1.2,человека  на 1 000 в год
,15 / 81,Естественный прирост населения за 1993,-0.4,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1992,3.4,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1991,6.7,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 1990,9.2,человека  на 1 000 в год
,7 / 85,Естественный прирост населения. Рождаемость  за 2017,14.5,ребенка  на 1 000 в год
,6 / 85,Естественный прирост населения. Рождаемость за 2016,16.4,ребенка  на 1 000 в год
,7 / 85,Естественный прирост населения. Рождаемость за 2015,17.3,ребенка  на 1 000 в год
,7 / 85,Естественный прирост населения. Рождаемость за 2014,17.5,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2013,17.6,ребенка  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2012,17.5,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2011,17,детей  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2010,17,детей  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2009,17.4,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2008,17,детей  на 1 000 в год
