,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,62 / 85,Естественный прирост населения  за 2017,-4,человека  на 1 000 в год
,61 / 85,Естественный прирост населения за 2016,-2.9,человека  на 1 000 в год
,58 / 85,Естественный прирост населения за 2015,-2.4,человека  на 1 000 в год
,66 / 85,Естественный прирост населения за 2014,-3.5,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2013,-3.5,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2012,-4.1,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2011,-4.5,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2010,-5.5,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2009,-6.2,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2008,-6.9,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2007,-7.3,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2006,-8.4,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2005,-10.3,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2004,-9.5,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2003,-10.2,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 2002,-10.4,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 2001,-10.3,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 2000,-10.7,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1999,-10.5,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1998,-8.3,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1997,-8.2,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1996,-8.2,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1995,-8.6,человека  на 1 000 в год
,65 / 81,Естественный прирост населения за 1994,-9.3,человека  на 1 000 в год
,65 / 81,Естественный прирост населения за 1993,-7.9,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1992,-3.9,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1991,-1.8,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 1990,-0.5,человека  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость  за 2017,10.8,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2016,12.1,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2015,12.6,ребенка  на 1 000 в год
,64 / 85,Естественный прирост населения. Рождаемость за 2014,11.8,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2013,11.7,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2012,11.7,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2011,10.9,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2010,11,детей  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2009,10.5,ребенка  на 1 000 в год
,68 / 83,Естественный прирост населения. Рождаемость за 2008,10.4,ребенка  на 1 000 в год
,66 / 83,Естественный прирост населения. Рождаемость за 2007,10,детей  на 1 000 в год
,64 / 83,Естественный прирост населения. Рождаемость за 2006,9.2,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2005,8.9,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2004,9.2,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2003,8.8,ребенка  на 1 000 в год
,69 / 82,Естественный прирост населения. Рождаемость за 2002,8.4,ребенка  на 1 000 в год
,64 / 82,Естественный прирост населения. Рождаемость за 2001,8,детей  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 2000,7.4,ребенка  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1999,7,детей  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1998,7.5,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1997,7.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1996,7.3,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1995,7.9,ребенка  на 1 000 в год
,68 / 81,Естественный прирост населения. Рождаемость за 1994,8.2,ребенка  на 1 000 в год
,70 / 81,Естественный прирост населения. Рождаемость за 1993,8,детей  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1992,9.3,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1991,10.6,ребенка  на 1 000 в год
,65 / 82,Естественный прирост населения. Рождаемость за 1990,12,детей  на 1 000 в год
,16 / 85,Естественный прирост населения. Смертность  за 2017,14.8,человека  на 1 000 в год
,21 / 85,Естественный прирост населения. Смертность за 2016,15,человек  на 1 000 в год
,23 / 85,Естественный прирост населения. Смертность за 2015,15,человек  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2014,15.3,человека  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2013,15.2,человека  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2012,15.8,человека  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2011,15.4,человека  на 1 000 в год
