,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,22 / 85,Естественный прирост населения  за 2017,0.9,человека  на 1 000 в год
,23 / 85,Естественный прирост населения за 2016,1.4,человека  на 1 000 в год
,26 / 85,Естественный прирост населения за 2015,1.6,человека  на 1 000 в год
,24 / 85,Естественный прирост населения за 2014,1.7,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2013,1.6,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2012,1.5,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2011,0.4,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2010,-0.6,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2009,0.1,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2008,0.3,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2007,0.1,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2006,-0.3,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2005,-1.6,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2004,-1.1,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2003,-1.4,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 2002,-0.7,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 2001,-2.3,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 2000,-1.7,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1999,-1.1,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1998,0.2,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 1997,-0.4,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1996,-1.3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1995,-2,человека  на 1 000 в год
,18 / 81,Естественный прирост населения за 1994,-2,человека  на 1 000 в год
,20 / 81,Естественный прирост населения за 1993,-1.3,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 1992,2.8,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1991,5.2,человека  на 1 000 в год
,21 / 82,Естественный прирост населения за 1990,6.2,человека  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость  за 2017,11.9,ребенка  на 1 000 в год
,41 / 85,Естественный прирост населения. Рождаемость за 2016,12.9,ребенка  на 1 000 в год
,43 / 85,Естественный прирост населения. Рождаемость за 2015,13.1,ребенка  на 1 000 в год
,42 / 85,Естественный прирост населения. Рождаемость за 2014,13.2,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2013,13,детей  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2012,13.1,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2011,12.5,ребенка  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2010,12,детей  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2009,11.9,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2008,11.7,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2007,11.3,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2006,11,детей  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2005,11,детей  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2004,11.1,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2003,10.8,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 2002,10.8,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 2001,9.5,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 2000,9.3,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 1999,9.4,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1998,9.8,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1997,9.3,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1996,9.3,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1995,9.2,ребенка  на 1 000 в год
,48 / 81,Естественный прирост населения. Рождаемость за 1994,9.2,ребенка  на 1 000 в год
,61 / 81,Естественный прирост населения. Рождаемость за 1993,8.6,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 1992,10.2,ребенка  на 1 000 в год
,56 / 82,Естественный прирост населения. Рождаемость за 1991,11.3,ребенка  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1990,12.4,ребенка  на 1 000 в год
,68 / 85,Естественный прирост населения. Смертность  за 2017,11,человек  на 1 000 в год
,65 / 85,Естественный прирост населения. Смертность за 2016,11.5,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Смертность за 2015,11.5,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2014,11.5,человека  на 1 000 в год
,67 / 83,Естественный прирост населения. Смертность за 2013,11.4,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2012,11.6,человека  на 1 000 в год
,67 / 83,Естественный прирост населения. Смертность за 2011,12.1,человека  на 1 000 в год
,65 / 83,Естественный прирост населения. Смертность за 2010,12.6,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2009,12.5,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2008,12,человек  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2007,11.7,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2006,11.8,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2005,12.9,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2004,12.4,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2003,12.3,человека  на 1 000 в год
,74 / 82,Естественный прирост населения. Смертность за 2002,11.5,человека  на 1 000 в год
,72 / 82,Естественный прирост населения. Смертность за 2001,11.8,человека  на 1 000 в год
,74 / 82,Естественный прирост населения. Смертность за 2000,11,человек  на 1 000 в год
,72 / 82,Естественный прирост населения. Смертность за 1999,10.5,человека  на 1 000 в год
,72 / 82,Естественный прирост населения. Смертность за 1998,9.6,человека  на 1 000 в год
,72 / 82,Естественный прирост населения. Смертность за 1997,9.7,человека  на 1 000 в год
,72 / 82,Естественный прирост населения. Смертность за 1996,10.6,человека  на 1 000 в год
,72 / 82,Естественный прирост населения. Смертность за 1995,11.2,человека  на 1 000 в год
,72 / 81,Естественный прирост населения. Смертность за 1994,11.2,человека  на 1 000 в год
