,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,58 / 85,Естественный прирост населения  за 2017,-3.6,человека  на 1 000 в год
,55 / 85,Естественный прирост населения за 2016,-2.2,человека  на 1 000 в год
,56 / 85,Естественный прирост населения за 2015,-2,человека  на 1 000 в год
,53 / 85,Естественный прирост населения за 2014,-1.4,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2013,-0.9,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2012,-1.4,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2011,-2.8,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2010,-3,человека  на 1 000 в год
,49 / 83,Естественный прирост населения за 2009,-2.6,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2008,-3.3,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2007,-4.5,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2006,-6,человек  на 1 000 в год
,56 / 83,Естественный прирост населения за 2005,-7.9,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2004,-7.2,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2003,-7.8,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 2002,-7.6,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 2001,-7.4,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 2000,-7.7,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1999,-7.4,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 1998,-5.7,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1997,-6.9,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1996,-7.7,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1995,-7.8,человека  на 1 000 в год
,60 / 81,Естественный прирост населения за 1994,-8.1,человека  на 1 000 в год
,60 / 81,Естественный прирост населения за 1993,-6.6,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1992,-2.8,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1991,0.2,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1990,1.6,человека  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость  за 2017,10.5,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2016,12.1,ребенка  на 1 000 в год
,53 / 85,Естественный прирост населения. Рождаемость за 2015,12.5,ребенка  на 1 000 в год
,42 / 85,Естественный прирост населения. Рождаемость за 2014,13.2,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2013,13.6,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2012,13.8,ребенка  на 1 000 в год
,40 / 83,Естественный прирост населения. Рождаемость за 2011,12.7,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2010,13.1,ребенка  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2009,13.3,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2008,13,детей  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2007,12.1,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2006,11.3,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2005,10.8,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2004,10.7,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2003,10.5,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 2002,10.1,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 2001,9.5,ребенка  на 1 000 в год
,38 / 82,Естественный прирост населения. Рождаемость за 2000,9,детей  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 1999,8.4,ребенка  на 1 000 в год
,44 / 82,Естественный прирост населения. Рождаемость за 1998,8.7,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1997,8.4,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1996,8.5,ребенка  на 1 000 в год
,48 / 82,Естественный прирост населения. Рождаемость за 1995,8.9,ребенка  на 1 000 в год
,48 / 81,Естественный прирост населения. Рождаемость за 1994,9.2,ребенка  на 1 000 в год
,44 / 81,Естественный прирост населения. Рождаемость за 1993,9.1,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1992,10.3,ребенка  на 1 000 в год
,48 / 82,Естественный прирост населения. Рождаемость за 1991,11.8,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1990,12.9,ребенка  на 1 000 в год
,24 / 85,Естественный прирост населения. Смертность  за 2017,14.1,человека  на 1 000 в год
,27 / 85,Естественный прирост населения. Смертность за 2016,14.3,человека  на 1 000 в год
,28 / 85,Естественный прирост населения. Смертность за 2015,14.5,человека  на 1 000 в год
,24 / 83,Естественный прирост населения. Смертность за 2014,14.6,человека  на 1 000 в год
,26 / 83,Естественный прирост населения. Смертность за 2013,14.5,человека  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2012,15.2,человека  на 1 000 в год
,20 / 83,Естественный прирост населения. Смертность за 2011,15.5,человека  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2010,16.1,человека  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2009,16.2,человека  на 1 000 в год
,23 / 83,Естественный прирост населения. Смертность за 2008,16.6,человека  на 1 000 в год
,20 / 83,Естественный прирост населения. Смертность за 2007,16.8,человека  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2006,17.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2005,18.9,человека  на 1 000 в год
,24 / 83,Естественный прирост населения. Смертность за 2004,18,человек  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2003,18.4,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 2002,17.7,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 2001,16.9,человека  на 1 000 в год
,22 / 82,Естественный прирост населения. Смертность за 2000,16.7,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 1999,15.8,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 1998,14.4,человека  на 1 000 в год
,18 / 82,Естественный прирост населения. Смертность за 1997,15.3,человека  на 1 000 в год
,13 / 82,Естественный прирост населения. Смертность за 1996,16.2,человека  на 1 000 в год
,16 / 82,Естественный прирост населения. Смертность за 1995,16.7,человека  на 1 000 в год
,17 / 81,Естественный прирост населения. Смертность за 1994,17.3,человека  на 1 000 в год
,22 / 81,Естественный прирост населения. Смертность за 1993,15.7,человека  на 1 000 в год
,27 / 82,Естественный прирост населения. Смертность за 1992,13.1,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 1991,11.6,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 1990,11.3,человека  на 1 000 в год
,39 / 85,Миграционный прирост населения  за 2017,-15.29,человека  на 10 000 в год
,43 / 85,Миграционный прирост населения за 2016,-9.64,человека  на 10 000 в год
,37 / 85,Миграционный прирост населения за 2015,-7.13,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 2014,-19.47,человека  на 10 000 в год
,46 / 83,Миграционный прирост населения за 2013,-21.61,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2012,-16.61,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2011,-10.17,человека  на 10 000 в год
,34 / 83,Миграционный прирост населения за 2010,-12.86,человека  на 10 000 в год
,28 / 83,Миграционный прирост населения за 2009,13.92,человека  на 10 000 в год
,24 / 83,Миграционный прирост населения за 2008,20.06,человека  на 10 000 в год
,21 / 83,Миграционный прирост населения за 2007,24.45,человека  на 10 000 в год
,41 / 83,Миграционный прирост населения за 2006,-11.2,человека  на 10 000 в год
,43 / 83,Миграционный прирост населения за 2005,-16.78,человека  на 10 000 в год
,51 / 83,Миграционный прирост населения за 2004,-29.68,человека  на 10 000 в год
,50 / 83,Миграционный прирост населения за 2003,-30.99,человека  на 10 000 в год
,41 / 83,Миграционный прирост населения за 2002,-7.4,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2001,-8.8,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2000,4.8,человека  на 10 000 в год
,43 / 83,Миграционный прирост населения за 1999,0.1,человека  на 10 000 в год
,51 / 83,Миграционный прирост населения за 1998,0.4,человека  на 10 000 в год
,56 / 83,Миграционный прирост населения за 1997,-4.9,человека  на 10 000 в год
,55 / 85,Общий прирост населения,-3.24,человека  на 1 000 в год
,64 / 85,Общий прирост населения в городах,-2.365,человека  на 1 000 в год
,56 / 85,Общий прирост населения в сёлах,-8.511,человека  на 1 000 в год
,16 / 85,Численность населения  за 2019,2 674 256,человек
,16 / 85,Численность населения за 2018,2 694 877,человек
,16 / 85,Численность населения за 2017,2 708 844,человека
,16 / 85,Численность населения за 2016,2 717 627,человек
,16 / 85,Численность населения за 2015,2 724 990,человек
,15 / 83,Численность населения за 2014,2 734 075,человек
,15 / 83,Численность населения за 2013,2 742 450,человек
,15 / 83,Численность населения за 2012,2 750 829,человек
,15 / 83,Численность населения за 2011,2 761 255,человек
,15 / 83,Численность населения за 2010,2 772 964,человека
,14 / 83,Численность населения за 2009,2 776 358,человек
,14 / 83,Численность населения за 2008,2 780 231,человек
,13 / 83,Численность населения за 2007,2 785 999,человек
,13 / 83,Численность населения за 2006,2 805 941,человек
,13 / 83,Численность населения за 2005,2 832 963,человека
,13 / 83,Численность населения за 2004,2 862 105,человек
,13 / 83,Численность населения за 2003,2 893 448,человек
,13 / 83,Численность населения за 2002,2 917 769,человек
,13 / 83,Численность населения за 2001,2 942 264,человека
,13 / 83,Численность населения за 2000,2 963 439,человек
,13 / 83,Численность населения за 1999,2 985 392,человека
,13 / 83,Численность населения за 1998,3 002 297,человек
,13 / 83,Численность населения за 1997,3 024 528,человек
,13 / 83,Численность населения за 1996,3 047 514,человек
,13 / 83,Численность населения за 1995,3 065 197,человек
,13 / 83,Численность населения за 1994,3 072 515,человек
,13 / 83,Численность населения за 1993,3 093 199,человек
,13 / 83,Численность населения за 1992,3 098 685,человек
,13 / 83,Численность населения за 1991,3 100 688,человек
,13 / 85,Численность населения за 1990,3 099 236,человек
,,Б. Демографический состав,,
,28 / 85,Доля детей  за 2017,19.5,%
,28 / 85,Доля детей за 2016,19.3,%
,27 / 85,Доля детей за 2015,18.9,%
,28 / 83,Доля детей за 2014,18.5,%
,29 / 83,Доля детей за 2013,18,%
,29 / 83,Доля детей за 2012,17.6,%
,42 / 85,Доля пожилых  за 2017,25.1,%
,42 / 85,Доля пожилых за 2016,24.6,%
,45 / 85,Доля пожилых за 2015,24,%
,42 / 83,Доля пожилых за 2014,23.4,%
,43 / 83,Доля пожилых за 2013,22.8,%
,43 / 83,Доля пожилых за 2012,22.3,%
,30 / 85,Общая демографическая нагрузка  за 2018,82.64,человека  на 100 трудоспособных
,25 / 85,Общая демографическая нагрузка за 2017,80.5,человека  на 100 трудоспособных
,25 / 85,Общая демографическая нагрузка за 2016,78.06,человека  на 100 трудоспособных
,24 / 85,Общая демографическая нагрузка за 2015,75,человек  на 100 трудоспособных
,25 / 83,Общая демографическая нагрузка за 2014,72.03,человека  на 100 трудоспособных
,30 / 83,Общая демографическая нагрузка за 2013,69.06,человека  на 100 трудоспособных
,35 / 83,Общая демографическая нагрузка за 2012,66.22,человека  на 100 трудоспособных
,37 / 83,Общая демографическая нагрузка за 2011,63.84,человека  на 100 трудоспособных
,39 / 83,Общая демографическая нагрузка за 2010,61.7,человека  на 100 трудоспособных
,47 / 83,Общая демографическая нагрузка за 2009,59.57,человека  на 100 трудоспособных
,50 / 83,Общая демографическая нагрузка за 2008,58.27,человека  на 100 трудоспособных
,53 / 83,Общая демографическая нагрузка за 2007,57.5,человека  на 100 трудоспособных
,54 / 83,Общая демографическая нагрузка за 2006,57.32,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 2005,57.77,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 2004,58.72,человека  на 100 трудоспособных
,57 / 83,Общая демографическая нагрузка за 2003,60.62,человека  на 100 трудоспособных
,57 / 83,Общая демографическая нагрузка за 2002,62.62,человека  на 100 трудоспособных
,56 / 83,Общая демографическая нагрузка за 2001,64.23,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 2000,66.32,человека  на 100 трудоспособных
,57 / 83,Общая демографическая нагрузка за 1999,68.92,человека  на 100 трудоспособных
,57 / 83,Общая демографическая нагрузка за 1998,71.37,человека  на 100 трудоспособных
,56 / 83,Общая демографическая нагрузка за 1997,73.16,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 1996,74.56,человека  на 100 трудоспособных
,54 / 83,Общая демографическая нагрузка за 1995,75.62,человека  на 100 трудоспособных
,54 / 83,Общая демографическая нагрузка за 1994,76.53,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 1993,77.03,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 1992,77.02,человека  на 100 трудоспособных
,54 / 83,Общая демографическая нагрузка за 1991,76.91,человека  на 100 трудоспособных
,52 / 83,Общая демографическая нагрузка за 1990,76.39,человека  на 100 трудоспособных
,45 / 83,Приток (отток) постоянного населения за 2010,4.25,%  от числа ныне живущих в регионе
,56 / 83,Процент людей с высшим образованием за 2010,18,%
,63 / 85,Процент мужчин,45.91,%
