,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,59 / 85,Естественный прирост населения  за 2017,-3.8,человека  на 1 000 в год
,56 / 85,Естественный прирост населения за 2016,-2.3,человека  на 1 000 в год
,60 / 85,Естественный прирост населения за 2015,-2.5,человека  на 1 000 в год
,58 / 85,Естественный прирост населения за 2014,-2.3,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2013,-2.4,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2012,-2.8,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2011,-3.9,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2010,-5,человек  на 1 000 в год
,62 / 83,Естественный прирост населения за 2009,-5.2,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2008,-5.8,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2007,-6.2,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2006,-8,человек  на 1 000 в год
,64 / 83,Естественный прирост населения за 2005,-9.7,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2004,-9.2,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2003,-10.4,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 2002,-10,человек  на 1 000 в год
,60 / 82,Естественный прирост населения за 2001,-8.7,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 2000,-8.7,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1999,-8.2,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1998,-6.4,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1997,-7.3,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 1996,-7.6,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1995,-8.3,человека  на 1 000 в год
,59 / 81,Естественный прирост населения за 1994,-8,человек  на 1 000 в год
,57 / 81,Естественный прирост населения за 1993,-6.3,человека  на 1 000 в год
,58 / 82,Естественный прирост населения за 1992,-2.9,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1991,-1,человек  на 1 000 в год
,56 / 82,Естественный прирост населения за 1990,0.9,человека  на 1 000 в год
,54 / 85,Естественный прирост населения. Рождаемость  за 2017,10.7,ребенка  на 1 000 в год
,44 / 85,Естественный прирост населения. Рождаемость за 2016,12.6,ребенка  на 1 000 в год
,47 / 85,Естественный прирост населения. Рождаемость за 2015,12.7,ребенка  на 1 000 в год
,48 / 85,Естественный прирост населения. Рождаемость за 2014,12.8,ребенка  на 1 000 в год
,43 / 83,Естественный прирост населения. Рождаемость за 2013,13,детей  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2012,12.8,ребенка  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2011,11.9,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2010,11.7,ребенка  на 1 000 в год
,54 / 83,Естественный прирост населения. Рождаемость за 2009,11.4,ребенка  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2008,11.3,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2007,10.6,ребенка  на 1 000 в год
,56 / 83,Естественный прирост населения. Рождаемость за 2006,9.7,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2005,9.3,ребенка  на 1 000 в год
,54 / 83,Естественный прирост населения. Рождаемость за 2004,9.6,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2003,9.1,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 2002,9,детей  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 2001,8.3,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 2000,8.1,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 1999,7.8,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1998,8.2,ребенка  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 1997,7.8,ребенка  на 1 000 в год
,66 / 82,Естественный прирост населения. Рождаемость за 1996,7.8,ребенка  на 1 000 в год
,65 / 82,Естественный прирост населения. Рождаемость за 1995,8.2,ребенка  на 1 000 в год
,64 / 81,Естественный прирост населения. Рождаемость за 1994,8.6,ребенка  на 1 000 в год
,59 / 81,Естественный прирост населения. Рождаемость за 1993,8.8,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 1992,10.1,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 1991,11.5,ребенка  на 1 000 в год
,48 / 82,Естественный прирост населения. Рождаемость за 1990,13,детей  на 1 000 в год
,21 / 85,Естественный прирост населения. Смертность  за 2017,14.5,человека  на 1 000 в год
,23 / 85,Естественный прирост населения. Смертность за 2016,14.9,человека  на 1 000 в год
,22 / 85,Естественный прирост населения. Смертность за 2015,15.2,человека  на 1 000 в год
,20 / 83,Естественный прирост населения. Смертность за 2014,15.1,человека  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2013,15.4,человека  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2012,15.6,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2011,15.8,человека  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2010,16.7,человека  на 1 000 в год
,12 / 83,Естественный прирост населения. Смертность за 2009,17.1,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2008,17.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2007,17.2,человека  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2006,18,человек  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2005,19.3,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2004,19,человек  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2003,19.6,человека  на 1 000 в год
,16 / 82,Естественный прирост населения. Смертность за 2002,19,человек  на 1 000 в год
,23 / 82,Естественный прирост населения. Смертность за 2001,17,человек  на 1 000 в год
,21 / 82,Естественный прирост населения. Смертность за 2000,16.8,человека  на 1 000 в год
,22 / 82,Естественный прирост населения. Смертность за 1999,16,человек  на 1 000 в год
,22 / 82,Естественный прирост населения. Смертность за 1998,14.6,человека  на 1 000 в год
,20 / 82,Естественный прирост населения. Смертность за 1997,15.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения. Смертность за 1996,15.4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения. Смертность за 1995,16.5,человека  на 1 000 в год
,28 / 81,Естественный прирост населения. Смертность за 1994,16.6,человека  на 1 000 в год
,28 / 81,Естественный прирост населения. Смертность за 1993,15.1,человека  на 1 000 в год
,29 / 82,Естественный прирост населения. Смертность за 1992,13,человек  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 1991,12.5,человека  на 1 000 в год
,27 / 82,Естественный прирост населения. Смертность за 1990,12.1,человека  на 1 000 в год
,56 / 85,Миграционный прирост населения  за 2017,-27.71,человека  на 10 000 в год
,59 / 85,Миграционный прирост населения за 2016,-21.47,человека  на 10 000 в год
,62 / 85,Миграционный прирост населения за 2015,-28.16,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 2014,-27.16,человека  на 10 000 в год
,63 / 83,Миграционный прирост населения за 2013,-37.92,человека  на 10 000 в год
,65 / 83,Миграционный прирост населения за 2012,-39.09,человека  на 10 000 в год
,66 / 83,Миграционный прирост населения за 2011,-41.86,человека  на 10 000 в год
,68 / 83,Миграционный прирост населения за 2010,-53.67,человека  на 10 000 в год
,68 / 83,Миграционный прирост населения за 2009,-37.03,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 2008,-45.22,человека  на 10 000 в год
,75 / 83,Миграционный прирост населения за 2007,-56.42,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 2006,-79.65,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 2005,-86.42,человека  на 10 000 в год
,73 / 83,Миграционный прирост населения за 2004,-92.84,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 2003,-73.56,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 2002,-28.6,человека  на 10 000 в год
,58 / 83,Миграционный прирост населения за 2001,-32.7,человека  на 10 000 в год
,59 / 83,Миграционный прирост населения за 2000,-22.8,человека  на 10 000 в год
,51 / 83,Миграционный прирост населения за 1999,-14.5,человека  на 10 000 в год
,58 / 83,Миграционный прирост населения за 1998,-16.5,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 1997,-18.1,человека  на 10 000 в год
,65 / 85,Общий прирост населения,-4.47,человека  на 1 000 в год
,42 / 85,Общий прирост населения в городах,0.6768,человека  на 1 000 в год
,82 / 85,Общий прирост населения в сёлах,-20.89,человека  на 1 000 в год
,37 / 85,Численность населения  за 2019,1 272 109,человек
,38 / 85,Численность населения за 2018,1 283 238,человек
,38 / 85,Численность населения за 2017,1 291 684,человека
,38 / 85,Численность населения за 2016,1 297 474,человека
,38 / 85,Численность населения за 2015,1 304 348,человек
,37 / 83,Численность населения за 2014,1 310 929,человек
,37 / 83,Численность населения за 2013,1 319 076,человек
,36 / 83,Численность населения за 2012,1 327 915,человек
,36 / 83,Численность населения за 2011,1 338 758,человек
,34 / 83,Численность населения за 2010,1 352 692,человека
,34 / 83,Численность населения за 2009,1 365 003,человека
,34 / 83,Численность населения за 2008,1 379 383,человека
,34 / 83,Численность населения за 2007,1 396 017,человек
,33 / 83,Численность населения за 2006,1 418 645,человек
,32 / 83,Численность населения за 2005,1 445 356,человек
,31 / 83,Численность населения за 2004,1 472 481,человек
,31 / 83,Численность населения за 2003,1 498 976,человек
,30 / 83,Численность населения за 2002,1 518 378,человек
,30 / 83,Численность населения за 2001,1 536 772,человека
,30 / 83,Численность населения за 2000,1 553 595,человек
,30 / 83,Численность населения за 1999,1 568 722,человека
