,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,65 / 85,Естественный прирост населения  за 2017,-4.2,человека  на 1 000 в год
,67 / 85,Естественный прирост населения за 2016,-3.6,человека  на 1 000 в год
,68 / 85,Естественный прирост населения за 2015,-3.5,человека  на 1 000 в год
,65 / 85,Естественный прирост населения за 2014,-3.2,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2013,-3.4,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2012,-3.2,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2011,-4.3,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2010,-5.6,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2009,-5.4,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2008,-6.7,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2007,-7.1,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2006,-8.9,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2005,-11.3,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2004,-11.2,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2003,-12.2,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 2002,-11.7,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 2001,-11.2,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 2000,-10.8,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 1999,-10.4,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1998,-8.8,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1997,-8.8,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1996,-9,человек  на 1 000 в год
,72 / 82,Естественный прирост населения за 1995,-9.2,человека  на 1 000 в год
,71 / 81,Естественный прирост населения за 1994,-9.7,человека  на 1 000 в год
,65 / 81,Естественный прирост населения за 1993,-7.9,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1992,-5.2,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1991,-2.6,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1990,-0.8,человека  на 1 000 в год
,54 / 85,Естественный прирост населения. Рождаемость  за 2017,10.7,ребенка  на 1 000 в год
,54 / 85,Естественный прирост населения. Рождаемость за 2016,12,детей  на 1 000 в год
,53 / 85,Естественный прирост населения. Рождаемость за 2015,12.5,ребенка  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость за 2014,12.6,ребенка  на 1 000 в год
,46 / 83,Естественный прирост населения. Рождаемость за 2013,12.7,ребенка  на 1 000 в год
