,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,63 / 85,Естественный прирост населения  за 2017,-4.1,человека  на 1 000 в год
,65 / 85,Естественный прирост населения за 2016,-3.5,человека  на 1 000 в год
,61 / 85,Естественный прирост населения за 2015,-2.7,человека  на 1 000 в год
,58 / 85,Естественный прирост населения за 2014,-2.3,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2013,-2.1,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2012,-2.1,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2011,-2.9,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2010,-3.1,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2009,-3.1,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2008,-3.8,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2007,-4.3,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2006,-5.8,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2005,-7.2,человека  на 1 000 в год
,52 / 83,Естественный прирост населения за 2004,-7,человек  на 1 000 в год
,53 / 83,Естественный прирост населения за 2003,-7.7,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 2002,-7.3,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 2001,-6.8,человека  на 1 000 в год
,46 / 82,Естественный прирост населения за 2000,-6.7,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 1999,-6,человек  на 1 000 в год
,45 / 82,Естественный прирост населения за 1998,-4.8,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 1997,-5.6,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1996,-5.5,человека  на 1 000 в год
,46 / 82,Естественный прирост населения за 1995,-5.7,человека  на 1 000 в год
,39 / 81,Естественный прирост населения за 1994,-5.3,человека  на 1 000 в год
,44 / 81,Естественный прирост населения за 1993,-4.8,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1992,-0.6,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1991,1.4,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1990,3.1,человека  на 1 000 в год
,44 / 85,Естественный прирост населения. Рождаемость  за 2017,11.1,ребенка  на 1 000 в год
,46 / 85,Естественный прирост населения. Рождаемость за 2016,12.4,ребенка  на 1 000 в год
,41 / 85,Естественный прирост населения. Рождаемость за 2015,13.4,ребенка  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость за 2014,13.6,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2013,14,детей  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2012,13.9,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2011,12.8,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2009,12.6,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2008,12.4,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2007,11.6,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2006,10.6,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2005,10.4,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2004,10.7,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2003,10.3,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 2002,10.4,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 2001,9.6,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 2000,9.6,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1999,9.3,ребенка  на 1 000 в год
,35 / 82,Естественный прирост населения. Рождаемость за 1998,9.3,ребенка  на 1 000 в год
,40 / 82,Естественный прирост населения. Рождаемость за 1997,8.5,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1996,8.8,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1995,9.2,ребенка  на 1 000 в год
,32 / 81,Естественный прирост населения. Рождаемость за 1994,10.1,ребенка  на 1 000 в год
,33 / 81,Естественный прирост населения. Рождаемость за 1993,9.9,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1992,11.8,ребенка  на 1 000 в год
,30 / 82,Естественный прирост населения. Рождаемость за 1991,13.2,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1990,14.5,ребенка  на 1 000 в год
,12 / 85,Естественный прирост населения. Смертность  за 2017,15.2,человека  на 1 000 в год
,11 / 85,Естественный прирост населения. Смертность за 2016,15.9,человека  на 1 000 в год
,9 / 85,Естественный прирост населения. Смертность за 2015,16.1,человека  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2014,15.9,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2013,16.1,человека  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2012,16,человек  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2011,15.7,человека  на 1 000 в год
,23 / 83,Естественный прирост населения. Смертность за 2010,16,человек  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2009,16.2,человека  на 1 000 в год
,22 / 83,Естественный прирост населения. Смертность за 2008,16.7,человека  на 1 000 в год
,23 / 83,Естественный прирост населения. Смертность за 2007,16.3,человека  на 1 000 в год
,25 / 83,Естественный прирост населения. Смертность за 2006,16.8,человека  на 1 000 в год
,27 / 83,Естественный прирост населения. Смертность за 2005,17.9,человека  на 1 000 в год
,26 / 83,Естественный прирост населения. Смертность за 2004,17.8,человека  на 1 000 в год
,25 / 83,Естественный прирост населения. Смертность за 2003,18.1,человека  на 1 000 в год
,24 / 82,Естественный прирост населения. Смертность за 2002,17.7,человека  на 1 000 в год
,27 / 82,Естественный прирост населения. Смертность за 2001,16.4,человека  на 1 000 в год
,28 / 82,Естественный прирост населения. Смертность за 2000,16.3,человека  на 1 000 в год
,29 / 82,Естественный прирост населения. Смертность за 1999,15.3,человека  на 1 000 в год
,27 / 82,Естественный прирост населения. Смертность за 1998,14.1,человека  на 1 000 в год
,30 / 82,Естественный прирост населения. Смертность за 1997,14.1,человека  на 1 000 в год
