,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,76 / 85,Естественный прирост населения  за 2017,-5.9,человека  на 1 000 в год
,76 / 85,Естественный прирост населения за 2016,-5,человек  на 1 000 в год
,75 / 85,Естественный прирост населения за 2015,-4.7,человека  на 1 000 в год
,73 / 85,Естественный прирост населения за 2014,-4.9,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2013,-4.5,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2012,-4.6,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2011,-5.3,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2010,-6.5,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2009,-6.8,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2008,-7.6,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2007,-7.9,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2006,-10.1,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2005,-11.1,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2004,-10.4,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2003,-10.9,человека  на 1 000 в год
,68 / 82,Естественный прирост населения за 2002,-10.8,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 2001,-10.3,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 2000,-10.4,человека  на 1 000 в год
,68 / 82,Естественный прирост населения за 1999,-10.2,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1998,-8.6,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1997,-8.8,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 1996,-8.7,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1995,-8.3,человека  на 1 000 в год
,64 / 81,Естественный прирост населения за 1994,-8.9,человека  на 1 000 в год
,63 / 81,Естественный прирост населения за 1993,-7.6,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1992,-5.2,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1991,-4.2,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1990,-2,человека  на 1 000 в год
,74 / 85,Естественный прирост населения. Рождаемость  за 2017,9.6,ребенка  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость за 2016,11.1,ребенка  на 1 000 в год
,66 / 85,Естественный прирост населения. Рождаемость за 2015,11.6,ребенка  на 1 000 в год
,65 / 85,Естественный прирост населения. Рождаемость за 2014,11.7,ребенка  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2013,11.6,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2012,12,детей  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2011,11.5,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2010,11.1,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2009,10.8,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2008,10.7,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2007,10.1,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2006,9,детей  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2005,8.6,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2004,9,детей  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2003,8.8,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 2002,8.5,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 2001,8.4,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 2000,8.2,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1999,7.9,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1998,8.2,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 1997,8,детей  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1996,8.5,ребенка  на 1 000 в год
,56 / 82,Естественный прирост населения. Рождаемость за 1995,8.6,ребенка  на 1 000 в год
,46 / 81,Естественный прирост населения. Рождаемость за 1994,9.3,ребенка  на 1 000 в год
,44 / 81,Естественный прирост населения. Рождаемость за 1993,9.1,ребенка  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1992,9.7,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1991,10.6,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1990,11.9,ребенка  на 1 000 в год
,8 / 85,Естественный прирост населения. Смертность  за 2017,15.5,человека  на 1 000 в год
,8 / 85,Естественный прирост населения. Смертность за 2016,16.1,человека  на 1 000 в год
,7 / 85,Естественный прирост населения. Смертность за 2015,16.3,человека  на 1 000 в год
,5 / 83,Естественный прирост населения. Смертность за 2014,16.6,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2013,16.1,человека  на 1 000 в год
,8 / 83,Естественный прирост населения. Смертность за 2012,16.6,человека  на 1 000 в год
