,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,70 / 85,Естественный прирост населения  за 2017,-5,человек  на 1 000 в год
,75 / 85,Естественный прирост населения за 2016,-4.8,человека  на 1 000 в год
,78 / 85,Естественный прирост населения за 2015,-5,человек  на 1 000 в год
,78 / 85,Естественный прирост населения за 2014,-5.4,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2013,-5.6,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2012,-5.7,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2011,-6.1,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2010,-7,человек  на 1 000 в год
,76 / 83,Естественный прирост населения за 2009,-7.8,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2008,-9.2,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2007,-9.9,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2006,-11.4,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2005,-12.5,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2004,-12,человек  на 1 000 в год
,77 / 83,Естественный прирост населения за 2003,-13.1,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 2002,-12.6,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 2001,-12.7,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 2000,-12.1,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1999,-11.2,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1998,-8.6,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1997,-8.3,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 1996,-9.3,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1995,-10.9,человека  на 1 000 в год
,77 / 81,Естественный прирост населения за 1994,-12,человек  на 1 000 в год
,76 / 81,Естественный прирост населения за 1993,-10.7,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1992,-5.6,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1991,-2.8,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1990,-1.5,человека  на 1 000 в год
,85 / 85,Естественный прирост населения. Рождаемость  за 2017,8.3,ребенка  на 1 000 в год
,85 / 85,Естественный прирост населения. Рождаемость за 2016,9.2,ребенка  на 1 000 в год
,85 / 85,Естественный прирост населения. Рождаемость за 2015,9,детей  на 1 000 в год
,85 / 85,Естественный прирост населения. Рождаемость за 2014,9.1,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2013,8.8,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2012,9,детей  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2011,8.6,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2010,8.8,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2009,9.2,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2008,8.8,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2007,8.3,ребенка  на 1 000 в год
,83 / 83,Естественный прирост населения. Рождаемость за 2006,7.9,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2005,7.8,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2004,8.3,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2003,8,детей  на 1 000 в год
,80 / 82,Естественный прирост населения. Рождаемость за 2002,7.8,ребенка  на 1 000 в год
,80 / 82,Естественный прирост населения. Рождаемость за 2001,7.2,ребенка  на 1 000 в год
,82 / 82,Естественный прирост населения. Рождаемость за 2000,6.7,ребенка  на 1 000 в год
,81 / 82,Естественный прирост населения. Рождаемость за 1999,6.4,ребенка  на 1 000 в год
,81 / 82,Естественный прирост населения. Рождаемость за 1998,6.8,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 1997,6.9,ребенка  на 1 000 в год
,81 / 82,Естественный прирост населения. Рождаемость за 1996,6.8,ребенка  на 1 000 в год
,80 / 82,Естественный прирост населения. Рождаемость за 1995,7.2,ребенка  на 1 000 в год
,79 / 81,Естественный прирост населения. Рождаемость за 1994,7.3,ребенка  на 1 000 в год
,78 / 81,Естественный прирост населения. Рождаемость за 1993,7.1,ребенка  на 1 000 в год
,76 / 82,Естественный прирост населения. Рождаемость за 1992,8.6,ребенка  на 1 000 в год
,76 / 82,Естественный прирост населения. Рождаемость за 1991,9.8,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 1990,11,детей  на 1 000 в год
,34 / 85,Естественный прирост населения. Смертность  за 2017,13.3,человека  на 1 000 в год
,30 / 85,Естественный прирост населения. Смертность за 2016,14,человек  на 1 000 в год
,35 / 85,Естественный прирост населения. Смертность за 2015,14,человек  на 1 000 в год
,27 / 83,Естественный прирост населения. Смертность за 2014,14.5,человека  на 1 000 в год
,27 / 83,Естественный прирост населения. Смертность за 2013,14.4,человека  на 1 000 в год
,26 / 83,Естественный прирост населения. Смертность за 2012,14.7,человека  на 1 000 в год
,29 / 83,Естественный прирост населения. Смертность за 2011,14.7,человека  на 1 000 в год
,25 / 83,Естественный прирост населения. Смертность за 2010,15.8,человека  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2009,16.3,человека  на 1 000 в год
