,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,68 / 85,Естественный прирост населения  за 2017,-4.7,человека  на 1 000 в год
,69 / 85,Естественный прирост населения за 2016,-3.9,человека  на 1 000 в год
,69 / 85,Естественный прирост населения за 2015,-3.7,человека  на 1 000 в год
,68 / 85,Естественный прирост населения за 2014,-3.9,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2013,-3.9,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2012,-3.7,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2011,-4.5,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2010,-5.8,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2009,-5.6,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2008,-6.3,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2007,-6.8,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2006,-7.8,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2005,-8.6,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2004,-9.1,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2003,-9.6,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 2002,-8.8,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 2001,-9.1,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 2000,-8.7,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1999,-8.7,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1998,-7.2,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1997,-7.5,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 1996,-7.4,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1995,-7.8,человека  на 1 000 в год
,60 / 81,Естественный прирост населения за 1994,-8.1,человека  на 1 000 в год
,61 / 81,Естественный прирост населения за 1993,-6.9,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1992,-3.9,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1991,-2.4,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1990,-0.7,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Рождаемость  за 2017,10,детей  на 1 000 в год
,65 / 85,Естественный прирост населения. Рождаемость за 2016,11.3,ребенка  на 1 000 в год
,66 / 85,Естественный прирост населения. Рождаемость за 2015,11.6,ребенка  на 1 000 в год
,69 / 85,Естественный прирост населения. Рождаемость за 2014,11.5,ребенка  на 1 000 в год
,68 / 83,Естественный прирост населения. Рождаемость за 2013,11.3,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2012,11.7,ребенка  на 1 000 в год
