,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,33 / 85,Естественный прирост населения  за 2017,-0.5,человека  на 1 000 в год
,42 / 85,Естественный прирост населения за 2016,-0.2,человека  на 1 000 в год
,42 / 85,Естественный прирост населения за 2015,0,человек  на 1 000 в год
,42 / 85,Естественный прирост населения за 2014,0.3,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2013,0.7,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2012,-0.1,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2011,-1.4,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2010,-1.5,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2009,-1.2,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2008,-2.9,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2007,-2.3,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2006,-2.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2005,-2.6,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2004,-1.9,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2003,-1.4,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 2002,-1.8,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 2001,-2.1,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 2000,-2.1,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 1999,-1.3,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1998,0.5,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1997,0,человек  на 1 000 в год
,21 / 82,Естественный прирост населения за 1996,-2.3,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1995,-2.7,человека  на 1 000 в год
,24 / 81,Естественный прирост населения за 1994,-2.8,человека  на 1 000 в год
,27 / 81,Естественный прирост населения за 1993,-2.4,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1992,2.3,человека  на 1 000 в год
