,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,9 / 85,Естественный прирост населения  за 2017,6.1,человека  на 1 000 в год
,8 / 85,Естественный прирост населения за 2016,8.1,человека  на 1 000 в год
,9 / 85,Естественный прирост населения за 2015,7.9,человека  на 1 000 в год
,7 / 85,Естественный прирост населения за 2014,9.6,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2013,9.8,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2012,10.9,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2011,10.5,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2010,8.3,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2009,8.4,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2008,9.1,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2007,7.2,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2006,2.8,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2005,1.7,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2004,2.5,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2003,1.1,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 2002,0.9,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 2001,0.8,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 2000,1.3,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1999,1,человек  на 1 000 в год
,9 / 82,Естественный прирост населения за 1998,2.7,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1997,0.7,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1996,0.7,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 1995,1.1,человека  на 1 000 в год
,13 / 81,Естественный прирост населения за 1994,0.3,человека  на 1 000 в год
,10 / 81,Естественный прирост населения за 1993,1.2,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 1992,5.1,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 1991,7.7,человека  на 1 000 в год
,14 / 82,Естественный прирост населения за 1990,8.4,человека  на 1 000 в год
,5 / 85,Естественный прирост населения. Рождаемость  за 2017,15.8,ребенка  на 1 000 в год
,4 / 85,Естественный прирост населения. Рождаемость за 2016,18,детей  на 1 000 в год
,3 / 85,Естественный прирост населения. Рождаемость за 2015,18.8,ребенка  на 1 000 в год
,4 / 85,Естественный прирост населения. Рождаемость за 2014,20.7,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2013,21.1,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2012,22.4,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2011,22.7,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2010,20.5,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2009,20.3,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2008,21.3,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2007,19.7,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2006,16.6,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2005,17.2,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2004,17.3,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2003,16.7,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 2002,16,детей  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 2001,14.9,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 2000,14.3,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 1999,13.6,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 1998,14.5,ребенка  на 1 000 в год
,5 / 82,Естественный прирост населения. Рождаемость за 1997,13.4,ребенка  на 1 000 в год
,5 / 82,Естественный прирост населения. Рождаемость за 1996,13.5,ребенка  на 1 000 в год
,5 / 82,Естественный прирост населения. Рождаемость за 1995,14.3,ребенка  на 1 000 в год
,4 / 81,Естественный прирост населения. Рождаемость за 1994,14.8,ребенка  на 1 000 в год
,5 / 81,Естественный прирост населения. Рождаемость за 1993,14.6,ребенка  на 1 000 в год
,6 / 82,Естественный прирост населения. Рождаемость за 1992,16.6,ребенка  на 1 000 в год
,6 / 82,Естественный прирост населения. Рождаемость за 1991,18.2,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 1990,19.3,ребенка  на 1 000 в год
,73 / 85,Естественный прирост населения. Смертность  за 2017,9.7,человека  на 1 000 в год
,74 / 85,Естественный прирост населения. Смертность за 2016,9.9,человека  на 1 000 в год
,71 / 85,Естественный прирост населения. Смертность за 2015,10.9,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2014,11.1,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2013,11.3,человека  на 1 000 в год
,67 / 83,Естественный прирост населения. Смертность за 2012,11.5,человека  на 1 000 в год
,65 / 83,Естественный прирост населения. Смертность за 2011,12.2,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2010,12.2,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2009,12.2,человека  на 1 000 в год
,67 / 83,Естественный прирост населения. Смертность за 2008,12.5,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2007,12.7,человека  на 1 000 в год
,60 / 83,Естественный прирост населения. Смертность за 2006,14.1,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2005,15.7,человека  на 1 000 в год
,59 / 83,Естественный прирост населения. Смертность за 2004,14.9,человека  на 1 000 в год
,53 / 83,Естественный прирост населения. Смертность за 2003,15.6,человека  на 1 000 в год
,53 / 82,Естественный прирост населения. Смертность за 2002,15.1,человека  на 1 000 в год
,57 / 82,Естественный прирост населения. Смертность за 2001,14.1,человека  на 1 000 в год
,65 / 82,Естественный прирост населения. Смертность за 2000,13,человек  на 1 000 в год
,64 / 82,Естественный прирост населения. Смертность за 1999,12.6,человека  на 1 000 в год
,64 / 82,Естественный прирост населения. Смертность за 1998,11.8,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 1997,12.7,человека  на 1 000 в год
,59 / 82,Естественный прирост населения. Смертность за 1996,12.8,человека  на 1 000 в год
,56 / 82,Естественный прирост населения. Смертность за 1995,13.2,человека  на 1 000 в год
,48 / 81,Естественный прирост населения. Смертность за 1994,14.5,человека  на 1 000 в год
,45 / 81,Естественный прирост населения. Смертность за 1993,13.4,человека  на 1 000 в год
,45 / 82,Естественный прирост населения. Смертность за 1992,11.5,человека  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1991,10.5,человека  на 1 000 в год
,41 / 82,Естественный прирост населения. Смертность за 1990,10.9,человека  на 1 000 в год
,38 / 85,Миграционный прирост населения  за 2017,-12.92,человека  на 10 000 в год
,29 / 85,Миграционный прирост населения за 2016,4.49,человека  на 10 000 в год
,43 / 85,Миграционный прирост населения за 2015,-10.26,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2014,0.89,человека  на 10 000 в год
,58 / 83,Миграционный прирост населения за 2013,-35.5,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2012,-17.1,человека  на 10 000 в год
,50 / 83,Миграционный прирост населения за 2011,-14.22,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2010,-27.77,человека  на 10 000 в год
,73 / 83,Миграционный прирост населения за 2009,-52.43,человека  на 10 000 в год
,53 / 83,Миграционный прирост населения за 2008,-16.38,человека  на 10 000 в год
,44 / 83,Миграционный прирост населения за 2007,-5.34,человека  на 10 000 в год
,51 / 83,Миграционный прирост населения за 2006,-24.19,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 2005,-49.06,человека  на 10 000 в год
,53 / 83,Миграционный прирост населения за 2004,-36.35,человека  на 10 000 в год
,54 / 83,Миграционный прирост населения за 2003,-33.83,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 2002,-4.8,человека  на 10 000 в год
,42 / 83,Миграционный прирост населения за 2001,-12.2,человека  на 10 000 в год
,28 / 83,Миграционный прирост населения за 2000,16.1,человека  на 10 000 в год
,21 / 83,Миграционный прирост населения за 1999,26.5,человека  на 10 000 в год
,24 / 83,Миграционный прирост населения за 1998,33.9,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 1997,19.4,человека  на 10 000 в год
,12 / 85,Общий прирост населения,8.54,человека  на 1 000 в год
,15 / 85,Общий прирост населения в городах,6.88,человека  на 1 000 в год
,5 / 85,Общий прирост населения в сёлах,9.228,человека  на 1 000 в год
,81 / 85,Численность населения  за 2019,218 866,человек
,81 / 85,Численность населения за 2018,218 063,человека
,81 / 85,Численность населения за 2017,217 007,человек
,81 / 85,Численность населения за 2016,215 161,человек
,81 / 85,Численность населения за 2015,213 703,человека
,79 / 83,Численность населения за 2014,211 645,человек
,79 / 83,Численность населения за 2013,210 344,человека
,79 / 83,Численность населения за 2012,208 425,человек
,79 / 83,Численность населения за 2011,206 530,человек
,79 / 83,Численность населения за 2010,205 386,человек
,79 / 83,Численность населения за 2009,204 687,человек
,79 / 83,Численность населения за 2008,203 128,человек
,79 / 83,Численность населения за 2007,201 744,человека
,79 / 83,Численность населения за 2006,201 674,человека
,79 / 83,Численность населения за 2005,202 333,человека
,79 / 83,Численность населения за 2004,202 571,человек
,79 / 83,Численность населения за 2003,203 038,человек
,79 / 83,Численность населения за 2002,202 945,человек
,79 / 83,Численность населения за 2001,203 030,человек
,79 / 83,Численность населения за 2000,202 441,человек
,80 / 83,Численность населения за 1999,201 699,человек
,81 / 83,Численность населения за 1998,200 461,человек
,81 / 83,Численность населения за 1997,199 933,человека
,81 / 83,Численность населения за 1996,199 879,человек
,81 / 83,Численность населения за 1995,198 542,человека
,80 / 83,Численность населения за 1994,196 977,человек
,80 / 83,Численность населения за 1993,196 371,человек
,80 / 83,Численность населения за 1992,196 962,человека
