,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,32 / 85,Естественный прирост населения  за 2017,-0.4,человека  на 1 000 в год
,37 / 85,Естественный прирост населения за 2016,0.1,человека  на 1 000 в год
,44 / 85,Естественный прирост населения за 2015,-0.1,человека  на 1 000 в год
,52 / 85,Естественный прирост населения за 2014,-1.3,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2013,-1.8,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2012,-2.4,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2011,-3.1,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2010,-4.5,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2009,-4.9,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2008,-6.1,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2007,-7,человек  на 1 000 в год
,63 / 83,Естественный прирост населения за 2006,-7.9,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2005,-8.5,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2004,-8.4,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2003,-9.1,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 2002,-9.7,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 2001,-10.1,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 2000,-9.8,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1999,-9.7,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1998,-8.1,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1997,-8.3,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1996,-8.9,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1995,-10.3,человека  на 1 000 в год
,73 / 81,Естественный прирост населения за 1994,-10.8,человека  на 1 000 в год
,72 / 81,Естественный прирост населения за 1993,-9.1,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1992,-5.5,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1991,-3.5,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1990,-2,человека  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость  за 2017,11.9,ребенка  на 1 000 в год
,38 / 85,Естественный прирост населения. Рождаемость за 2016,13.1,ребенка  на 1 000 в год
