,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,37 / 85,Естественный прирост населения  за 2017,-0.8,человека  на 1 000 в год
,44 / 85,Естественный прирост населения за 2016,-0.3,человека  на 1 000 в год
,39 / 85,Естественный прирост населения за 2015,0.3,человека  на 1 000 в год
,42 / 85,Естественный прирост населения за 2014,0.3,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2013,0.9,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2012,0.5,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2011,0,человек  на 1 000 в год
,25 / 83,Естественный прирост населения за 2010,-0.2,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2009,-1.2,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2008,-1.3,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2007,-1.4,человека  на 1 000 в год
,26 / 83,Естественный прирост населения за 2006,-2.9,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2005,-3.6,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2004,-3.2,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2003,-4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 2002,-3.4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 2001,-3.1,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 2000,-3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1999,-2.6,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1998,-0.6,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1997,-1.2,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1996,-1.9,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1995,-3.2,человека  на 1 000 в год
,26 / 81,Естественный прирост населения за 1994,-3.3,человека  на 1 000 в год
,29 / 81,Естественный прирост населения за 1993,-2.8,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1992,0.8,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1991,3.8,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 1990,5.4,человека  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость  за 2017,10.3,ребенка  на 1 000 в год
,67 / 85,Естественный прирост населения. Рождаемость за 2016,11.2,ребенка  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость за 2015,11.9,ребенка  на 1 000 в год
,65 / 85,Естественный прирост населения. Рождаемость за 2014,11.7,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2013,11.9,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2012,11.8,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2011,11.5,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2010,11.7,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2009,10.8,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2008,10.7,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2007,10.3,ребенка  на 1 000 в год
,53 / 83,Естественный прирост населения. Рождаемость за 2006,9.8,ребенка  на 1 000 в год
,50 / 83,Естественный прирост населения. Рождаемость за 2005,9.8,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2004,10.2,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2003,9.9,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 2002,9.8,ребенка  на 1 000 в год
,46 / 82,Естественный прирост населения. Рождаемость за 2001,9.1,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 2000,8.6,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1999,7.9,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1998,8.4,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 1997,8,детей  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1996,8.4,ребенка  на 1 000 в год
,65 / 82,Естественный прирост населения. Рождаемость за 1995,8.2,ребенка  на 1 000 в год
,66 / 81,Естественный прирост населения. Рождаемость за 1994,8.4,ребенка  на 1 000 в год
,76 / 81,Естественный прирост населения. Рождаемость за 1993,7.2,ребенка  на 1 000 в год
,77 / 82,Естественный прирост населения. Рождаемость за 1992,8.3,ребенка  на 1 000 в год
,76 / 82,Естественный прирост населения. Рождаемость за 1991,9.8,ребенка  на 1 000 в год
,77 / 82,Естественный прирост населения. Рождаемость за 1990,11.2,ребенка  на 1 000 в год
,67 / 85,Естественный прирост населения. Смертность  за 2017,11.1,человека  на 1 000 в год
,65 / 85,Естественный прирост населения. Смертность за 2016,11.5,человека  на 1 000 в год
,65 / 85,Естественный прирост населения. Смертность за 2015,11.6,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2014,11.4,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2013,11,человек  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2012,11.3,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2011,11.5,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2010,11.9,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2009,12.5,человека  на 1 000 в год
,67 / 83,Естественный прирост населения. Смертность за 2008,12.5,человека  на 1 000 в год
,68 / 83,Естественный прирост населения. Смертность за 2007,12.2,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2006,13.2,человека  на 1 000 в год
