,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,65 / 85,Естественный прирост населения  за 2017,-4.2,человека  на 1 000 в год
,65 / 85,Естественный прирост населения за 2016,-3.5,человека  на 1 000 в год
,66 / 85,Естественный прирост населения за 2015,-3.2,человека  на 1 000 в год
,69 / 85,Естественный прирост населения за 2014,-4,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2013,-4.1,человека  на 1 000 в год
,68 / 83,Естественный прирост населения за 2012,-4.3,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2011,-5.4,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2010,-7,человек  на 1 000 в год
,71 / 83,Естественный прирост населения за 2009,-6.6,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2008,-7.6,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2007,-8.4,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2006,-9.9,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2005,-11.1,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2004,-10.7,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2003,-11,человек  на 1 000 в год
,70 / 82,Естественный прирост населения за 2002,-11.2,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 2001,-10.8,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 2000,-10.4,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1999,-9.7,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1998,-8.1,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1997,-8.3,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1996,-8.4,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1995,-9.6,человека  на 1 000 в год
,69 / 81,Естественный прирост населения за 1994,-9.6,человека  на 1 000 в год
,67 / 81,Естественный прирост населения за 1993,-8.1,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1992,-4.5,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1991,-2.8,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 1990,-1.6,человека  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость  за 2017,10.5,ребенка  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость за 2016,11.9,ребенка  на 1 000 в год
,56 / 85,Естественный прирост населения. Рождаемость за 2015,12.3,ребенка  на 1 000 в год
,61 / 85,Естественный прирост населения. Рождаемость за 2014,11.9,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2013,11.8,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2012,11.8,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2011,11,детей  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2010,10.9,ребенка  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2009,10.9,ребенка  на 1 000 в год
,64 / 83,Естественный прирост населения. Рождаемость за 2008,10.6,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2007,9.9,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2006,9.1,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2005,8.9,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2004,9.1,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2003,9,детей  на 1 000 в год
,73 / 82,Естественный прирост населения. Рождаемость за 2002,8.1,ребенка  на 1 000 в год
,69 / 82,Естественный прирост населения. Рождаемость за 2001,7.9,ребенка  на 1 000 в год
