,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,82 / 85,Естественный прирост населения  за 2017,-6.8,человека  на 1 000 в год
,80 / 85,Естественный прирост населения за 2016,-5.8,человека  на 1 000 в год
,80 / 85,Естественный прирост населения за 2015,-5.6,человека  на 1 000 в год
,78 / 85,Естественный прирост населения за 2014,-5.4,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2013,-6,человек  на 1 000 в год
,77 / 83,Естественный прирост населения за 2012,-5.8,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2011,-7.1,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2010,-8.7,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2009,-9.2,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2008,-10.3,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2007,-9.4,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2006,-11.7,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2005,-13.2,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2004,-12.9,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2003,-14.3,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 2002,-13.3,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 2001,-13.1,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 2000,-12.6,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1999,-12.1,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1998,-9.7,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1997,-9.8,человека  на 1 000 в год
,78 / 82,Естественный прирост населения за 1996,-10.8,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1995,-11.9,человека  на 1 000 в год
,78 / 81,Естественный прирост населения за 1994,-12.3,человека  на 1 000 в год
,79 / 81,Естественный прирост населения за 1993,-10.9,человека  на 1 000 в год
,78 / 82,Естественный прирост населения за 1992,-6.2,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1991,-3.7,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1990,-1.8,человека  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость  за 2017,10.3,ребенка  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость за 2016,11.7,ребенка  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость за 2015,11.9,ребенка  на 1 000 в год
,60 / 85,Естественный прирост населения. Рождаемость за 2014,12,детей  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2013,11.8,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2012,12.1,ребенка  на 1 000 в год
,58 / 83,Естественный прирост населения. Рождаемость за 2011,11.3,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2010,11.3,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2009,11.2,ребенка  на 1 000 в год
,64 / 83,Естественный прирост населения. Рождаемость за 2008,10.6,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2007,10.7,ребенка  на 1 000 в год
,53 / 83,Естественный прирост населения. Рождаемость за 2006,9.8,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2005,9.3,ребенка  на 1 000 в год
,56 / 83,Естественный прирост населения. Рождаемость за 2004,9.5,ребенка  на 1 000 в год
,57 / 83,Естественный прирост населения. Рождаемость за 2003,9.2,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 2002,9,детей  на 1 000 в год
,55 / 82,Естественный прирост населения. Рождаемость за 2001,8.2,ребенка  на 1 000 в год
,69 / 82,Естественный прирост населения. Рождаемость за 2000,7.5,ребенка  на 1 000 в год
,66 / 82,Естественный прирост населения. Рождаемость за 1999,7.3,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 1998,8,детей  на 1 000 в год
,66 / 82,Естественный прирост населения. Рождаемость за 1997,7.5,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1996,7.6,ребенка  на 1 000 в год
,69 / 82,Естественный прирост населения. Рождаемость за 1995,8,детей  на 1 000 в год
,69 / 81,Естественный прирост населения. Рождаемость за 1994,8.1,ребенка  на 1 000 в год
,70 / 81,Естественный прирост населения. Рождаемость за 1993,8,детей  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1992,9.5,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 1991,10.9,ребенка  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 1990,12.3,ребенка  на 1 000 в год
,2 / 85,Естественный прирост населения. Смертность  за 2017,17.1,человека  на 1 000 в год
,3 / 85,Естественный прирост населения. Смертность за 2016,17.5,человека  на 1 000 в год
,3 / 85,Естественный прирост населения. Смертность за 2015,17.5,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2014,17.4,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2013,17.8,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2012,17.9,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2011,18.4,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2010,20,человек  на 1 000 в год
,2 / 83,Естественный прирост населения. Смертность за 2009,20.4,человека  на 1 000 в год
,2 / 83,Естественный прирост населения. Смертность за 2008,20.9,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2007,20.1,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2006,21.5,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2005,22.5,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2004,22.4,человека  на 1 000 в год
,3 / 83,Естественный прирост населения. Смертность за 2003,23.5,человека  на 1 000 в год
,3 / 82,Естественный прирост населения. Смертность за 2002,22.3,человека  на 1 000 в год
,4 / 82,Естественный прирост населения. Смертность за 2001,21.3,человека  на 1 000 в год
,5 / 82,Естественный прирост населения. Смертность за 2000,20.1,человека  на 1 000 в год
,5 / 82,Естественный прирост населения. Смертность за 1999,19.4,человека  на 1 000 в год
,5 / 82,Естественный прирост населения. Смертность за 1998,17.7,человека  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 1997,17.3,человека  на 1 000 в год
