,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,33 / 85,Естественный прирост населения  за 2017,-0.5,человека  на 1 000 в год
,30 / 85,Естественный прирост населения за 2016,0.8,человека  на 1 000 в год
,31 / 85,Естественный прирост населения за 2015,1.1,человека  на 1 000 в год
,33 / 85,Естественный прирост населения за 2014,0.7,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2013,0.7,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2012,0.3,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2011,-0.5,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2010,-0.7,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2009,-1.2,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2008,-2,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2007,-3.3,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2006,-4.7,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2005,-5.5,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2004,-4.5,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2003,-4.9,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 2002,-5.4,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 2001,-5.3,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 2000,-5.7,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1999,-5.7,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 1998,-4.6,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1997,-4.9,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1996,-5.5,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1995,-5.6,человека  на 1 000 в год
,52 / 81,Естественный прирост населения за 1994,-7,человек  на 1 000 в год
,49 / 81,Естественный прирост населения за 1993,-5.5,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 1992,-1.2,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1991,1.2,человека  на 1 000 в год
,46 / 82,Естественный прирост населения за 1990,2.4,человека  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость  за 2017,12.4,ребенка  на 1 000 в год
,23 / 85,Естественный прирост населения. Рождаемость за 2016,13.8,ребенка  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость за 2015,14.2,ребенка  на 1 000 в год
,30 / 85,Естественный прирост населения. Рождаемость за 2014,14,детей  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2013,14.1,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2012,13.9,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2011,13.1,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2010,13.2,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2009,12.9,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2008,12.5,ребенка  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2007,11.4,ребенка  на 1 000 в год
,41 / 83,Естественный прирост населения. Рождаемость за 2006,10.5,ребенка  на 1 000 в год
,34 / 83,Естественный прирост населения. Рождаемость за 2005,10.6,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2004,10.9,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2003,10.6,ребенка  на 1 000 в год
,41 / 82,Естественный прирост населения. Рождаемость за 2002,10,детей  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 2001,9.2,ребенка  на 1 000 в год
,48 / 82,Естественный прирост населения. Рождаемость за 2000,8.5,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1999,7.9,ребенка  на 1 000 в год
,50 / 82,Естественный прирост населения. Рождаемость за 1998,8.3,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1997,8.3,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1996,8.4,ребенка  на 1 000 в год
,56 / 82,Естественный прирост населения. Рождаемость за 1995,8.6,ребенка  на 1 000 в год
,57 / 81,Естественный прирост населения. Рождаемость за 1994,8.8,ребенка  на 1 000 в год
,53 / 81,Естественный прирост населения. Рождаемость за 1993,8.9,ребенка  на 1 000 в год
,46 / 82,Естественный прирост населения. Рождаемость за 1992,10.4,ребенка  на 1 000 в год
,40 / 82,Естественный прирост населения. Рождаемость за 1991,12.1,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 1990,13.2,ребенка  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность  за 2017,12.9,человека  на 1 000 в год
,50 / 85,Естественный прирост населения. Смертность за 2016,13,человек  на 1 000 в год
,52 / 85,Естественный прирост населения. Смертность за 2015,13.1,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2014,13.3,человека  на 1 000 в год
,44 / 83,Естественный прирост населения. Смертность за 2013,13.4,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2012,13.6,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2011,13.6,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2010,13.9,человека  на 1 000 в год
,48 / 83,Естественный прирост населения. Смертность за 2009,14,человек  на 1 000 в год
,47 / 83,Естественный прирост населения. Смертность за 2008,14.5,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2007,14.7,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2006,15.2,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2005,16.1,человека  на 1 000 в год
,49 / 83,Естественный прирост населения. Смертность за 2004,15.4,человека  на 1 000 в год
,55 / 83,Естественный прирост населения. Смертность за 2003,15.5,человека  на 1 000 в год
,50 / 82,Естественный прирост населения. Смертность за 2002,15.4,человека  на 1 000 в год
,54 / 82,Естественный прирост населения. Смертность за 2001,14.5,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 2000,14.2,человека  на 1 000 в год
,51 / 82,Естественный прирост населения. Смертность за 1999,13.6,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1998,12.9,человека  на 1 000 в год
,42 / 82,Естественный прирост населения. Смертность за 1997,13.2,человека  на 1 000 в год
