,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,42 / 85,Естественный прирост населения  за 2017,-1.4,человека  на 1 000 в год
,37 / 85,Естественный прирост населения за 2016,0.1,человека  на 1 000 в год
,32 / 85,Естественный прирост населения за 2015,1,человек  на 1 000 в год
,23 / 85,Естественный прирост населения за 2014,1.9,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2013,1.3,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2012,1.1,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2011,0.1,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2010,-0.7,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2009,-0.9,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2008,-1.9,человека  на 1 000 в год
,39 / 83,Естественный прирост населения за 2007,-2.9,человека  на 1 000 в год
,37 / 83,Естественный прирост населения за 2006,-4.3,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2005,-5.1,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2004,-4.2,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2003,-4.1,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 2002,-4.8,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 2001,-4.9,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 2000,-4.9,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 1999,-4.7,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 1998,-2.3,человека  на 1 000 в год
,29 / 82,Естественный прирост населения за 1997,-3.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1996,-2.4,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1995,-2.1,человека  на 1 000 в год
,21 / 81,Естественный прирост населения за 1994,-2.4,человека  на 1 000 в год
,19 / 81,Естественный прирост населения за 1993,-1.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1992,2,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1991,3.9,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1990,5.6,человека  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость  за 2017,11.5,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2016,13.3,ребенка  на 1 000 в год
,22 / 85,Естественный прирост населения. Рождаемость за 2015,14.4,ребенка  на 1 000 в год
,17 / 85,Естественный прирост населения. Рождаемость за 2014,15.1,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2013,14.7,ребенка  на 1 000 в год
,20 / 83,Естественный прирост населения. Рождаемость за 2012,14.9,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2011,13.6,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2010,13.2,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2009,12.7,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2008,12.4,ребенка  на 1 000 в год
,36 / 83,Естественный прирост населения. Рождаемость за 2007,11.7,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2006,10.6,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2005,10.4,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2004,10.7,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2003,10.8,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 2002,9.8,ребенка  на 1 000 в год
,50 / 82,Естественный прирост населения. Рождаемость за 2001,8.7,ребенка  на 1 000 в год
,45 / 82,Естественный прирост населения. Рождаемость за 2000,8.6,ребенка  на 1 000 в год
,43 / 82,Естественный прирост населения. Рождаемость за 1999,8.3,ребенка  на 1 000 в год
,35 / 82,Естественный прирост населения. Рождаемость за 1998,9.3,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1997,9.2,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1996,9.9,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 1995,10.3,ребенка  на 1 000 в год
,27 / 81,Естественный прирост населения. Рождаемость за 1994,10.6,ребенка  на 1 000 в год
,20 / 81,Естественный прирост населения. Рождаемость за 1993,10.8,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1992,12.2,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 1991,13.8,ребенка  на 1 000 в год
,28 / 82,Естественный прирост населения. Рождаемость за 1990,14.9,ребенка  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность  за 2017,12.9,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Смертность за 2016,13.2,человека  на 1 000 в год
,46 / 85,Естественный прирост населения. Смертность за 2015,13.4,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2014,13.2,человека  на 1 000 в год
,44 / 83,Естественный прирост населения. Смертность за 2013,13.4,человека  на 1 000 в год
,42 / 83,Естественный прирост населения. Смертность за 2012,13.8,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2011,13.5,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2010,13.9,человека  на 1 000 в год
,51 / 83,Естественный прирост населения. Смертность за 2009,13.8,человека  на 1 000 в год
,47 / 83,Естественный прирост населения. Смертность за 2008,14.5,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2007,14.8,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2006,15,человек  на 1 000 в год
,53 / 83,Естественный прирост населения. Смертность за 2005,15.6,человека  на 1 000 в год
,57 / 83,Естественный прирост населения. Смертность за 2004,15,человек  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2003,14.9,человека  на 1 000 в год
,61 / 82,Естественный прирост населения. Смертность за 2002,14.6,человека  на 1 000 в год
,62 / 82,Естественный прирост населения. Смертность за 2001,13.6,человека  на 1 000 в год
,59 / 82,Естественный прирост населения. Смертность за 2000,13.5,человека  на 1 000 в год
,57 / 82,Естественный прирост населения. Смертность за 1999,13,человек  на 1 000 в год
,66 / 82,Естественный прирост населения. Смертность за 1998,11.6,человека  на 1 000 в год
,63 / 82,Естественный прирост населения. Смертность за 1997,12.3,человека  на 1 000 в год
,64 / 82,Естественный прирост населения. Смертность за 1996,12.3,человека  на 1 000 в год
,68 / 82,Естественный прирост населения. Смертность за 1995,12.4,человека  на 1 000 в год
,65 / 81,Естественный прирост населения. Смертность за 1994,13,человек  на 1 000 в год
,64 / 81,Естественный прирост населения. Смертность за 1993,11.9,человека  на 1 000 в год
,61 / 82,Естественный прирост населения. Смертность за 1992,10.2,человека  на 1 000 в год
,53 / 82,Естественный прирост населения. Смертность за 1991,9.9,человека  на 1 000 в год
,58 / 82,Естественный прирост населения. Смертность за 1990,9.3,человека  на 1 000 в год
,76 / 85,Миграционный прирост населения  за 2017,-50.11,человека  на 10 000 в год
,65 / 85,Миграционный прирост населения за 2016,-30.08,человека  на 10 000 в год
,39 / 85,Миграционный прирост населения за 2015,-9.1,человека  на 10 000 в год
,31 / 83,Миграционный прирост населения за 2014,3.55,человека  на 10 000 в год
,43 / 83,Миграционный прирост населения за 2013,-14.05,человека  на 10 000 в год
,45 / 83,Миграционный прирост населения за 2012,-15.56,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2011,-9.04,человека  на 10 000 в год
,51 / 83,Миграционный прирост населения за 2010,-30.93,человека  на 10 000 в год
,54 / 83,Миграционный прирост населения за 2009,-10.21,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2008,-9.07,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 2007,-20.51,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2006,-21.25,человека  на 10 000 в год
,56 / 83,Миграционный прирост населения за 2005,-36.53,человека  на 10 000 в год
,60 / 83,Миграционный прирост населения за 2004,-49.04,человека  на 10 000 в год
,66 / 83,Миграционный прирост населения за 2003,-69.03,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 2002,-44.7,человека  на 10 000 в год
,69 / 83,Миграционный прирост населения за 2001,-58.2,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 2000,-39.6,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 1999,-35.7,человека  на 10 000 в год
,42 / 83,Миграционный прирост населения за 1998,7.8,человека  на 10 000 в год
,26 / 83,Миграционный прирост населения за 1997,36.1,человека  на 10 000 в год
,51 / 85,Общий прирост населения,-2.93,человека  на 1 000 в год
,51 / 85,Общий прирост населения в городах,-0.2061,человека  на 1 000 в год
,61 / 85,Общий прирост населения в сёлах,-10.09,человека  на 1 000 в год
,24 / 85,Численность населения  за 2019,1 944 195,человек
,24 / 85,Численность населения за 2018,1 960 081,человек
,24 / 85,Численность населения за 2017,1 972 682,человека
,24 / 85,Численность населения за 2016,1 978 466,человек
,24 / 85,Численность населения за 2015,1 978 183,человека
,24 / 83,Численность населения за 2014,1 973 876,человек
,24 / 83,Численность населения за 2013,1 973 985,человек
,24 / 83,Численность населения за 2012,1 974 820,человек
,24 / 83,Численность населения за 2011,1 976 560,человек
,24 / 83,Численность населения за 2010,1 983 985,человек
,24 / 83,Численность населения за 2009,1 987 716,человек
,24 / 83,Численность населения за 2008,1 993 290,человек
,24 / 83,Численность населения за 2007,2 003 282,человека
,24 / 83,Численность населения за 2006,2 016 288,человек
,24 / 83,Численность населения за 2005,2 034 091,человек
,24 / 83,Численность населения за 2004,2 052 741,человек
,24 / 83,Численность населения за 2003,2 075 422,человека
,24 / 83,Численность населения за 2002,2 094 735,человек
,25 / 83,Численность населения за 2001,2 117 291,человек
,25 / 83,Численность населения за 2000,2 136 058,человек
,25 / 83,Численность населения за 1999,2 153 911,человек
,25 / 83,Численность населения за 1998,2 157 338,человек
,25 / 83,Численность населения за 1997,2 156 283,человека
,25 / 83,Численность населения за 1996,2 162 178,человек
,25 / 83,Численность населения за 1995,2 168 597,человек
,24 / 83,Численность населения за 1994,2 164 114,человек
,24 / 83,Численность населения за 1993,2 168 933,человека
,24 / 83,Численность населения за 1992,2 165 262,человека
,23 / 83,Численность населения за 1991,2 161 266,человек
,23 / 85,Численность населения за 1990,2 152 578,человек
,,Б. Демографический состав,,
,31 / 85,Доля детей  за 2017,19.2,%
,32 / 85,Доля детей за 2016,18.8,%
,35 / 85,Доля детей за 2015,18.2,%
,40 / 83,Доля детей за 2014,17.7,%
,43 / 83,Доля детей за 2013,17.2,%
,43 / 83,Доля детей за 2012,16.7,%
,48 / 85,Доля пожилых  за 2017,24.4,%
,51 / 85,Доля пожилых за 2016,23.8,%
,52 / 85,Доля пожилых за 2015,23.2,%
,51 / 83,Доля пожилых за 2014,22.6,%
,50 / 83,Доля пожилых за 2013,22.1,%
,50 / 83,Доля пожилых за 2012,21.6,%
,45 / 85,Общая демографическая нагрузка  за 2018,80.22,человека  на 100 трудоспособных
,49 / 85,Общая демографическая нагрузка за 2017,77.2,человека  на 100 трудоспособных
,55 / 85,Общая демографическая нагрузка за 2016,74.04,человека  на 100 трудоспособных
,56 / 85,Общая демографическая нагрузка за 2015,70.56,человека  на 100 трудоспособных
,58 / 83,Общая демографическая нагрузка за 2014,67.57,человека  на 100 трудоспособных
,60 / 83,Общая демографическая нагрузка за 2013,64.69,человека  на 100 трудоспособных
,61 / 83,Общая демографическая нагрузка за 2012,62.12,человека  на 100 трудоспособных
,64 / 83,Общая демографическая нагрузка за 2011,60,человек  на 100 трудоспособных
,64 / 83,Общая демографическая нагрузка за 2010,58.43,человека  на 100 трудоспособных
,63 / 83,Общая демографическая нагрузка за 2009,57.04,человека  на 100 трудоспособных
,58 / 83,Общая демографическая нагрузка за 2008,56.58,человека  на 100 трудоспособных
,56 / 83,Общая демографическая нагрузка за 2007,56.11,человека  на 100 трудоспособных
,57 / 83,Общая демографическая нагрузка за 2006,56.35,человека  на 100 трудоспособных
,58 / 83,Общая демографическая нагрузка за 2005,57.3,человека  на 100 трудоспособных
,57 / 83,Общая демографическая нагрузка за 2004,58.55,человека  на 100 трудоспособных
,58 / 83,Общая демографическая нагрузка за 2003,60.56,человека  на 100 трудоспособных
,54 / 83,Общая демографическая нагрузка за 2002,62.94,человека  на 100 трудоспособных
,51 / 83,Общая демографическая нагрузка за 2001,65.05,человека  на 100 трудоспособных
,50 / 83,Общая демографическая нагрузка за 2000,67.68,человека  на 100 трудоспособных
,49 / 83,Общая демографическая нагрузка за 1999,70.54,человека  на 100 трудоспособных
,49 / 83,Общая демографическая нагрузка за 1998,73.07,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 1997,74.99,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 1996,75.92,человека  на 100 трудоспособных
,47 / 83,Общая демографическая нагрузка за 1995,76.67,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 1994,77.59,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 1993,78.31,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 1992,78.56,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 1991,78.25,человека  на 100 трудоспособных
,42 / 83,Общая демографическая нагрузка за 1990,77.93,человека  на 100 трудоспособных
,37 / 83,Приток (отток) постоянного населения за 2010,7.68,%  от числа ныне живущих в регионе
,42 / 83,Процент людей с высшим образованием за 2010,19,%
,45 / 85,Процент мужчин,46.24,%
,50 / 85,Процент русских,85.83,%
,51 / 85,Средний возраст,39.08,года
,38 / 85,Урбанизация  за 2018,72.7,%
,37 / 85,Урбанизация за 2017,72.6,%
,37 / 85,Урбанизация за 2016,72.4,%
,37 / 85,Урбанизация за 2015,72.2,%
,37 / 83,Урбанизация за 2014,71.9,%
,37 / 83,Урбанизация за 2013,71.8,%
,37 / 83,Урбанизация за 2012,71.6,%
,37 / 83,Урбанизация за 2011,71.5,%
,37 / 83,Урбанизация за 2010,71.2,%
,37 / 83,Урбанизация за 2009,71.2,%
,38 / 83,Урбанизация за 2008,71,%
,38 / 83,Урбанизация за 2007,70.8,%
,39 / 83,Урбанизация за 2006,70.4,%
,39 / 83,Урбанизация за 2005,69.8,%
,42 / 83,Урбанизация за 2004,69.1,%
,43 / 83,Урбанизация за 2003,68.71,%
,44 / 83,Урбанизация за 2002,68.58,%
,44 / 83,Урбанизация за 2001,68.34,%
,44 / 83,Урбанизация за 2000,68.19,%
,45 / 83,Урбанизация за 1999,68.07,%
,46 / 83,Урбанизация за 1998,67.97,%
,46 / 83,Урбанизация за 1997,67.84,%
,46 / 83,Урбанизация за 1996,67.74,%
,46 / 83,Урбанизация за 1995,67.59,%
,45 / 83,Урбанизация за 1994,67.61,%
,45 / 83,Урбанизация за 1993,67.71,%
,47 / 83,Урбанизация за 1992,67.88,%
,48 / 83,Урбанизация за 1991,68.1,%
,48 / 83,Урбанизация за 1990,67.9,%
,,В0. Здоровье,,
,12 / 85,Заболеваемость ВИЧ  за 2016,98.9,случая  на 100 000 человек
,9 / 84,Заболеваемость ВИЧ за 2015,123.3,случая  на 100 000 человек
,6 / 85,Заболеваемость ВИЧ за 2014,133,случая  на 100 000 человек
,7 / 83,Заболеваемость ВИЧ за 2013,112.5,случая  на 100 000 человек
,28 / 83,Заболеваемость ВИЧ за 2012,42.5,случая  на 100 000 человек
,19 / 83,Заболеваемость ВИЧ за 2011,49,случаев  на 100 000 человек
,22 / 83,Заболеваемость ВИЧ за 2010,35.8,случая  на 100 000 человек
,19 / 83,Заболеваемость ВИЧ за 2009,43.3,случая  на 100 000 человек
,26 / 83,Заболеваемость ВИЧ за 2008,27.6,случая  на 100 000 человек
,70 / 83,Заболеваемость ВИЧ за 2007,6.1,случая  на 100 000 человек
,78 / 82,Заболеваемость ВИЧ за 2006,3.4,случая  на 100 000 человек
,78 / 82,Заболеваемость ВИЧ за 2005,2.3,случая  на 100 000 человек
,5 / 85,Заболеваемость ожирением  за 2017,559.5,случая  на 100 тыс. человек
,6 / 84,Заболеваемость ожирением за 2016,536.5,случая  на 100 тыс. человек
,20 / 85,Заболеваемость ожирением за 2015,419.4,случая  на 100 тыс. человек
,49 / 85,Заболеваемость ожирением за 2014,204.3,случая  на 100 тыс. человек
,50 / 83,Заболеваемость ожирением за 2013,177.7,случая  на 100 тыс. человек
,37 / 85,Заболеваемость психическими расстройствами  за 2016,304,случая  на 100 000 человек
,31 / 85,Заболеваемость психическими расстройствами за 2015,313.7,случая  на 100 000 человек
,45 / 85,Заболеваемость психическими расстройствами за 2014,271.4,случая  на 100 000 человек
,44 / 83,Заболеваемость психическими расстройствами за 2013,282.4,случая  на 100 000 человек
,45 / 83,Заболеваемость психическими расстройствами за 2012,276.9,случая  на 100 000 человек
,41 / 83,Заболеваемость психическими расстройствами за 2011,300.4,случая  на 100 000 человек
,39 / 83,Заболеваемость психическими расстройствами за 2010,336.3,случая  на 100 000 человек
,20 / 83,Заболеваемость психическими расстройствами за 2009,434.2,случая  на 100 000 человек
,13 / 83,Заболеваемость психическими расстройствами за 2008,470.1,случая  на 100 000 человек
,21 / 83,Заболеваемость психическими расстройствами за 2007,436.7,случая  на 100 000 человек
,22 / 83,Заболеваемость психическими расстройствами за 2006,446.4,случая  на 100 000 человек
,18 / 83,Заболеваемость психическими расстройствами за 2005,490,случаев  на 100 000 человек
,17 / 85,Заболеваемость раком  за 2016,476,случаев  на 100 000 человек
,22 / 85,Заболеваемость раком за 2015,459.9,случая  на 100 000 человек
,18 / 85,Заболеваемость раком за 2014,454.9,случая  на 100 000 человек
,22 / 83,Заболеваемость раком за 2013,428.7,случая  на 100 000 человек
,19 / 83,Заболеваемость раком за 2012,415.6,случая  на 100 000 человек
,27 / 83,Заболеваемость раком за 2011,406.9,случая  на 100 000 человек
,31 / 83,Заболеваемость раком за 2010,388.5,случая  на 100 000 человек
,31 / 83,Заболеваемость раком за 2009,375.5,случая  на 100 000 человек
,41 / 83,Заболеваемость раком за 2008,342.6,случая  на 100 000 человек
,34 / 83,Заболеваемость раком за 2007,354.9,случая  на 100 000 человек
,31 / 83,Заболеваемость раком за 2006,352.1,случая  на 100 000 человек
,27 / 82,Заболеваемость раком за 2005,354.2,случая  на 100 000 человек
,21 / 85,Заболеваемость сифилисом  за 2016,26.3,случая  на 100 000 человек
,14 / 85,Заболеваемость сифилисом за 2015,35.1,случая  на 100 000 человек
,19 / 85,Заболеваемость сифилисом за 2014,37.3,случая  на 100 000 человек
,17 / 83,Заболеваемость сифилисом за 2013,42.4,случая  на 100 000 человек
,15 / 83,Заболеваемость сифилисом за 2012,52.2,случая  на 100 000 человек
,18 / 83,Заболеваемость сифилисом за 2011,54.2,случая  на 100 000 человек
,23 / 83,Заболеваемость сифилисом за 2010,55.1,случая  на 100 000 человек
,29 / 83,Заболеваемость сифилисом за 2009,58.7,случая  на 100 000 человек
,42 / 83,Заболеваемость сифилисом за 2008,53.7,случая  на 100 000 человек
,43 / 83,Заболеваемость сифилисом за 2007,59.6,случая  на 100 000 человек
,28 / 83,Заболеваемость сифилисом за 2006,72,случая  на 100 000 человек
,25 / 83,Заболеваемость сифилисом за 2005,83.4,случая  на 100 000 человек
,69 / 85,Количество абортов,35,на 100 родов
,53 / 85,Ожидаемая продолжительность жизни  за 2017,71.49,года
,49 / 85,Ожидаемая продолжительность жизни за 2016,70.78,года
,46 / 85,Ожидаемая продолжительность жизни за 2015,70.41,года
,41 / 85,Ожидаемая продолжительность жизни за 2014,70.13,года
,48 / 83,Ожидаемая продолжительность жизни за 2013,69.74,года
,48 / 83,Ожидаемая продолжительность жизни за 2012,69.25,года
,32 / 83,Ожидаемая продолжительность жизни за 2011,69.5,года
,29 / 83,Ожидаемая продолжительность жизни за 2010,68.8,года
,31 / 83,Ожидаемая продолжительность жизни за 2009,68.7,года
,35 / 83,Ожидаемая продолжительность жизни за 2008,67.5,года
,45 / 83,Ожидаемая продолжительность жизни за 2007,66.5,года
,39 / 83,Ожидаемая продолжительность жизни за 2006,66.1,года
,32 / 83,Ожидаемая продолжительность жизни за 2005,65.2,года
,29 / 83,Ожидаемая продолжительность жизни за 2004,65.6,года
,24 / 83,Ожидаемая продолжительность жизни за 2003,65.7,года
,22 / 82,Ожидаемая продолжительность жизни за 2002,65.8,года
,16 / 82,Ожидаемая продолжительность жизни за 2001,66.4,года
,23 / 82,Ожидаемая продолжительность жизни за 2000,66.2,года
,24 / 82,Ожидаемая продолжительность жизни за 1999,66.7,года
,16 / 82,Ожидаемая продолжительность жизни за 1998,68,лет
,28 / 82,Ожидаемая продолжительность жизни за 1997,67,лет
,21 / 82,Ожидаемая продолжительность жизни за 1996,66.8,года
,16 / 82,Ожидаемая продолжительность жизни за 1995,66.2,года
,17 / 81,Ожидаемая продолжительность жизни за 1994,65.4,года
,16 / 81,Ожидаемая продолжительность жизни за 1993,66.3,года
,15 / 79,Ожидаемая продолжительность жизни за 1992,68.9,года
,23 / 79,Ожидаемая продолжительность жизни за 1991,69.4,года
,19 / 79,Ожидаемая продолжительность жизни за 1990,69.7,года
,29 / 85,Процент с ожирением  за 2017,1 651,человека  на 100 тыс.
,30 / 85,Процент с ожирением за 2016,1 522,человека  на 100 тыс.
,30 / 85,Процент с ожирением за 2015,1 435,человека  на 100 тыс.
,29 / 85,Процент с ожирением за 2014,1 284,человека  на 100 тыс.
,22 / 83,Процент с ожирением за 2013,1 226,человека  на 100 тыс.
,,В1. Причины смертности,,
,21 / 85,Смертность от болезней органов дыхания  за 2017,55,на 100 000 человек
,13 / 85,Смертность от болезней органов дыхания за 2016,65.7,на 100 000 человек
,2 / 85,Смертность от болезней органов дыхания за 2015,103.7,на 100 000 человек
,2 / 83,Смертность от болезней органов дыхания за 2014,92.1,на 100 000 человек
,14 / 83,Смертность от болезней органов дыхания за 2013,71.7,на 100 000 человек
,44 / 83,Смертность от болезней органов дыхания за 2012,46.8,на 100 000 человек
,43 / 83,Смертность от болезней органов дыхания за 2011,50.9,на 100 000 человек
,42 / 83,Смертность от болезней органов дыхания за 2010,53.49,на 100 000 человек
,51 / 83,Смертность от болезней органов дыхания за 2009,51.16,на 100 000 человек
,30 / 83,Смертность от болезней органов дыхания за 2008,63.09,на 100 000 человек
,27 / 83,Смертность от болезней органов дыхания за 2007,64.17,на 100 000 человек
,31 / 83,Смертность от болезней органов дыхания за 2006,64.67,на 100 000 человек
,68 / 85,Смертность от болезней органов пищеварения  за 2017,53.3,на 100 000 человек
,68 / 85,Смертность от болезней органов пищеварения за 2016,56.2,на 100 000 человек
