,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,47 / 85,Естественный прирост населения  за 2017,-1.7,человека  на 1 000 в год
,40 / 85,Естественный прирост населения за 2016,-0.1,человека  на 1 000 в год
,41 / 85,Естественный прирост населения за 2015,0.2,человека  на 1 000 в год
,40 / 85,Естественный прирост населения за 2014,0.4,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2013,0.9,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2012,0.7,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2011,-0.4,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2010,-0.5,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2009,-0.5,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2008,-1.9,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2007,-2.5,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2006,-3.9,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2005,-5,человек  на 1 000 в год
,30 / 83,Естественный прирост населения за 2004,-4.1,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2003,-4.4,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 2002,-4.3,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 2001,-4.7,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 2000,-4.7,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1999,-4.6,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1998,-2.9,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 1997,-3.3,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1996,-3.2,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 1995,-3.3,человека  на 1 000 в год
,25 / 81,Естественный прирост населения за 1994,-3.1,человека  на 1 000 в год
,23 / 81,Естественный прирост населения за 1993,-2,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 1992,1.5,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 1991,3.5,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1990,5.8,человека  на 1 000 в год
,36 / 85,Естественный прирост населения. Рождаемость  за 2017,11.6,ребенка  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость за 2016,13.4,ребенка  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость за 2015,14.2,ребенка  на 1 000 в год
,23 / 85,Естественный прирост населения. Рождаемость за 2014,14.6,ребенка  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2013,14.8,ребенка  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2012,14.8,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2011,13.9,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2010,14,детей  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2009,13.3,ребенка  на 1 000 в год
,30 / 83,Естественный прирост населения. Рождаемость за 2008,12.7,ребенка  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2007,12.1,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2006,10.9,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2005,10.5,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2004,10.9,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2003,10.8,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 2002,10.8,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 2001,10,детей  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 2000,9.7,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1999,9.1,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1998,9.9,ребенка  на 1 000 в год
,26 / 82,Естественный прирост населения. Рождаемость за 1997,9.4,ребенка  на 1 000 в год
,27 / 82,Естественный прирост населения. Рождаемость за 1996,9.7,ребенка  на 1 000 в год
,24 / 82,Естественный прирост населения. Рождаемость за 1995,10.3,ребенка  на 1 000 в год
,19 / 81,Естественный прирост населения. Рождаемость за 1994,11.1,ребенка  на 1 000 в год
,17 / 81,Естественный прирост населения. Рождаемость за 1993,11,детей  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1992,12.6,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 1991,13.9,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1990,15.5,ребенка  на 1 000 в год
,34 / 85,Естественный прирост населения. Смертность  за 2017,13.3,человека  на 1 000 в год
,43 / 85,Естественный прирост населения. Смертность за 2016,13.5,человека  на 1 000 в год
,35 / 85,Естественный прирост населения. Смертность за 2015,14,человек  на 1 000 в год
,30 / 83,Естественный прирост населения. Смертность за 2014,14.2,человека  на 1 000 в год
,33 / 83,Естественный прирост населения. Смертность за 2013,13.9,человека  на 1 000 в год
,35 / 83,Естественный прирост населения. Смертность за 2012,14.1,человека  на 1 000 в год
,35 / 83,Естественный прирост населения. Смертность за 2011,14.3,человека  на 1 000 в год
,41 / 83,Естественный прирост населения. Смертность за 2010,14.5,человека  на 1 000 в год
,44 / 83,Естественный прирост населения. Смертность за 2009,14.3,человека  на 1 000 в год
,36 / 83,Естественный прирост населения. Смертность за 2008,15.1,человека  на 1 000 в год
,36 / 83,Естественный прирост населения. Смертность за 2007,15,человек  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2006,15.2,человека  на 1 000 в год
,50 / 83,Естественный прирост населения. Смертность за 2005,15.7,человека  на 1 000 в год
,56 / 83,Естественный прирост населения. Смертность за 2004,15.1,человека  на 1 000 в год
,59 / 83,Естественный прирост населения. Смертность за 2003,15.3,человека  на 1 000 в год
,53 / 82,Естественный прирост населения. Смертность за 2002,15.1,человека  на 1 000 в год
,47 / 82,Естественный прирост населения. Смертность за 2001,14.7,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 2000,14.4,человека  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1999,13.7,человека  на 1 000 в год
,48 / 82,Естественный прирост населения. Смертность за 1998,12.8,человека  на 1 000 в год
,52 / 82,Естественный прирост населения. Смертность за 1997,12.7,человека  на 1 000 в год
