,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,79 / 85,Естественный прирост населения  за 2017,-6.3,человека  на 1 000 в год
,79 / 85,Естественный прирост населения за 2016,-5.5,человека  на 1 000 в год
,79 / 85,Естественный прирост населения за 2015,-5.2,человека  на 1 000 в год
,78 / 85,Естественный прирост населения за 2014,-5.4,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2013,-5.2,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2012,-5.2,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2011,-5.8,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2010,-6.4,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2009,-6.2,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2008,-7,человек  на 1 000 в год
,70 / 83,Естественный прирост населения за 2007,-7.9,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2006,-8.9,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2005,-10,человек  на 1 000 в год
,66 / 83,Естественный прирост населения за 2004,-9.5,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2003,-9.9,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 2002,-10,человек  на 1 000 в год
,64 / 82,Естественный прирост населения за 2001,-9.9,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 2000,-9.8,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1999,-9.3,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1998,-7.6,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1997,-7.9,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 1996,-7.6,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1995,-7.4,человека  на 1 000 в год
,54 / 81,Естественный прирост населения за 1994,-7.4,человека  на 1 000 в год
,61 / 81,Естественный прирост населения за 1993,-6.9,человека  на 1 000 в год
,65 / 82,Естественный прирост населения за 1992,-4.4,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1991,-2.4,человека  на 1 000 в год
,64 / 82,Естественный прирост населения за 1990,-0.7,человека  на 1 000 в год
,76 / 85,Естественный прирост населения. Рождаемость  за 2017,9.5,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2016,10.9,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2015,11.2,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2014,11,детей  на 1 000 в год
,74 / 83,Естественный прирост населения. Рождаемость за 2013,11,детей  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2012,11.2,ребенка  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2011,10.5,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2010,11,детей  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2009,10.4,ребенка  на 1 000 в год
,74 / 83,Естественный прирост населения. Рождаемость за 2008,10.2,ребенка  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2007,9.6,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2006,9,детей  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2005,8.6,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2004,9.1,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2003,8.9,ребенка  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 2002,8.6,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 2001,8.1,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 2000,7.9,ребенка  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 1999,7.4,ребенка  на 1 000 в год
,64 / 82,Естественный прирост населения. Рождаемость за 1998,7.8,ребенка  на 1 000 в год
,61 / 82,Естественный прирост населения. Рождаемость за 1997,7.7,ребенка  на 1 000 в год
,56 / 82,Естественный прирост населения. Рождаемость за 1996,8.3,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1995,8.8,ребенка  на 1 000 в год
,40 / 81,Естественный прирост населения. Рождаемость за 1994,9.5,ребенка  на 1 000 в год
,43 / 81,Естественный прирост населения. Рождаемость за 1993,9.2,ребенка  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1992,9.7,ребенка  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1991,11,детей  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 1990,12.3,ребенка  на 1 000 в год
,6 / 85,Естественный прирост населения. Смертность  за 2017,15.8,человека  на 1 000 в год
,6 / 85,Естественный прирост населения. Смертность за 2016,16.4,человека  на 1 000 в год
,6 / 85,Естественный прирост населения. Смертность за 2015,16.4,человека  на 1 000 в год
,7 / 83,Естественный прирост населения. Смертность за 2014,16.4,человека  на 1 000 в год
,8 / 83,Естественный прирост населения. Смертность за 2013,16.2,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2012,16.4,человека  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2011,16.3,человека  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2010,17.4,человека  на 1 000 в год
,14 / 83,Естественный прирост населения. Смертность за 2009,17,человек  на 1 000 в год
,14 / 83,Естественный прирост населения. Смертность за 2008,17.6,человека  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2007,17.8,человека  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2006,18.2,человека  на 1 000 в год
,19 / 83,Естественный прирост населения. Смертность за 2005,18.8,человека  на 1 000 в год
,18 / 83,Естественный прирост населения. Смертность за 2004,18.8,человека  на 1 000 в год
,21 / 83,Естественный прирост населения. Смертность за 2003,18.8,человека  на 1 000 в год
,20 / 82,Естественный прирост населения. Смертность за 2002,18.6,человека  на 1 000 в год
,17 / 82,Естественный прирост населения. Смертность за 2001,18,человек  на 1 000 в год
,18 / 82,Естественный прирост населения. Смертность за 2000,17.7,человека  на 1 000 в год
,18 / 82,Естественный прирост населения. Смертность за 1999,16.7,человека  на 1 000 в год
,17 / 82,Естественный прирост населения. Смертность за 1998,15.4,человека  на 1 000 в год
,16 / 82,Естественный прирост населения. Смертность за 1997,15.6,человека  на 1 000 в год
,17 / 82,Естественный прирост населения. Смертность за 1996,15.9,человека  на 1 000 в год
,23 / 82,Естественный прирост населения. Смертность за 1995,16.2,человека  на 1 000 в год
,23 / 81,Естественный прирост населения. Смертность за 1994,16.9,человека  на 1 000 в год
,15 / 81,Естественный прирост населения. Смертность за 1993,16.1,человека  на 1 000 в год
,13 / 82,Естественный прирост населения. Смертность за 1992,14.1,человека  на 1 000 в год
,14 / 82,Естественный прирост населения. Смертность за 1991,13.4,человека  на 1 000 в год
,14 / 82,Естественный прирост населения. Смертность за 1990,13,человек  на 1 000 в год
,69 / 85,Миграционный прирост населения  за 2017,-37.89,человека  на 10 000 в год
,44 / 85,Миграционный прирост населения за 2016,-9.65,человека  на 10 000 в год
,57 / 85,Миграционный прирост населения за 2015,-20.97,человека  на 10 000 в год
,45 / 83,Миграционный прирост населения за 2014,-7.65,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2013,-23.56,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2012,-18.19,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2011,3.23,человека  на 10 000 в год
,53 / 83,Миграционный прирост населения за 2010,-31.86,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2009,-8.29,человека  на 10 000 в год
,45 / 83,Миграционный прирост населения за 2008,-7.46,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2007,3.79,человека  на 10 000 в год
,60 / 83,Миграционный прирост населения за 2006,-40.77,человека  на 10 000 в год
,63 / 83,Миграционный прирост населения за 2005,-56.91,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 2004,-45.61,человека  на 10 000 в год
,52 / 83,Миграционный прирост населения за 2003,-32.85,человека  на 10 000 в год
,42 / 83,Миграционный прирост населения за 2002,-7.5,человека  на 10 000 в год
,34 / 83,Миграционный прирост населения за 2001,-5.1,человека  на 10 000 в год
,30 / 83,Миграционный прирост населения за 2000,12.5,человека  на 10 000 в год
,30 / 83,Миграционный прирост населения за 1999,16.9,человека  на 10 000 в год
,31 / 83,Миграционный прирост населения за 1998,23.9,человека  на 10 000 в год
,35 / 83,Миграционный прирост населения за 1997,25.8,человека  на 10 000 в год
,78 / 85,Общий прирост населения,-6.48,человека  на 1 000 в год
,77 / 85,Общий прирост населения в городах,-4.392,человека  на 1 000 в год
,66 / 85,Общий прирост населения в сёлах,-10.64,человека  на 1 000 в год
,64 / 85,Численность населения  за 2019,739 467,человек
,64 / 85,Численность населения за 2018,747 247,человек
,64 / 85,Численность населения за 2017,754 816,человек
,64 / 85,Численность населения за 2016,759 721,человек
,64 / 85,Численность населения за 2015,765 231,человек
,63 / 83,Численность населения за 2014,769 980,человек
,63 / 83,Численность населения за 2013,775 826,человек
,63 / 83,Численность населения за 2012,781 281,человек
,63 / 83,Численность населения за 2011,785 592,человека
,63 / 83,Численность населения за 2010,793 144,человека
,63 / 83,Численность населения за 2009,798 855,человек
,63 / 83,Численность населения за 2008,805 207,человек
,63 / 83,Численность населения за 2007,811 389,человек
,63 / 83,Численность населения за 2006,822 096,человек
,63 / 83,Численность населения за 2005,835 165,человек
,63 / 83,Численность населения за 2004,847 051,человек
,63 / 83,Численность населения за 2003,858 312,человек
,63 / 83,Численность населения за 2002,867 553,человека
,63 / 83,Численность населения за 2001,876 672,человека
,62 / 83,Численность населения за 2000,884 269,человек
,62 / 83,Численность населения за 1999,891 035,человек
,62 / 83,Численность населения за 1998,895 703,человека
,62 / 83,Численность населения за 1997,900 489,человек
,62 / 83,Численность населения за 1996,905 510,человек
,62 / 83,Численность населения за 1995,909 379,человек
,62 / 83,Численность населения за 1994,907 552,человека
,62 / 83,Численность населения за 1993,903 489,человек
,61 / 83,Численность населения за 1992,899 207,человек
,61 / 83,Численность населения за 1991,898 256,человек
,62 / 85,Численность населения за 1990,895 123,человека
,,Б. Демографический состав,,
,73 / 85,Доля детей  за 2017,16.3,%
,71 / 85,Доля детей за 2016,16,%
,69 / 85,Доля детей за 2015,15.7,%
,65 / 83,Доля детей за 2014,15.5,%
,63 / 83,Доля детей за 2013,15.2,%
,63 / 83,Доля детей за 2012,14.9,%
,9 / 85,Доля пожилых  за 2017,28.7,%
,9 / 85,Доля пожилых за 2016,28.3,%
,10 / 85,Доля пожилых за 2015,27.7,%
,12 / 83,Доля пожилых за 2014,27.1,%
,12 / 83,Доля пожилых за 2013,26.6,%
,12 / 83,Доля пожилых за 2012,26.1,%
,15 / 85,Общая демографическая нагрузка  за 2018,84.38,человека  на 100 трудоспособных
,14 / 85,Общая демографическая нагрузка за 2017,81.92,человека  на 100 трудоспособных
,15 / 85,Общая демографическая нагрузка за 2016,79.48,человека  на 100 трудоспособных
,17 / 85,Общая демографическая нагрузка за 2015,76.64,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2014,74.26,человека  на 100 трудоспособных
,16 / 83,Общая демографическая нагрузка за 2013,71.74,человека  на 100 трудоспособных
,16 / 83,Общая демографическая нагрузка за 2012,69.51,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2011,67.73,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2010,66.32,человека  на 100 трудоспособных
,15 / 83,Общая демографическая нагрузка за 2009,64.86,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2008,64.33,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2007,64.13,человека  на 100 трудоспособных
,13 / 83,Общая демографическая нагрузка за 2006,64.63,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2005,65.67,человека  на 100 трудоспособных
,17 / 83,Общая демографическая нагрузка за 2004,66.49,человека  на 100 трудоспособных
,19 / 83,Общая демографическая нагрузка за 2003,68.32,человека  на 100 трудоспособных
,20 / 83,Общая демографическая нагрузка за 2002,70.67,человека  на 100 трудоспособных
,21 / 83,Общая демографическая нагрузка за 2001,72.47,человека  на 100 трудоспособных
,22 / 83,Общая демографическая нагрузка за 2000,75.14,человека  на 100 трудоспособных
,21 / 83,Общая демографическая нагрузка за 1999,77.42,человека  на 100 трудоспособных
,22 / 83,Общая демографическая нагрузка за 1998,79.19,человека  на 100 трудоспособных
,23 / 83,Общая демографическая нагрузка за 1997,80.42,человека  на 100 трудоспособных
,25 / 83,Общая демографическая нагрузка за 1996,80.88,человека  на 100 трудоспособных
,26 / 83,Общая демографическая нагрузка за 1995,81.58,человека  на 100 трудоспособных
,27 / 83,Общая демографическая нагрузка за 1994,82.12,человека  на 100 трудоспособных
,30 / 83,Общая демографическая нагрузка за 1993,82.01,человека  на 100 трудоспособных
,29 / 83,Общая демографическая нагрузка за 1992,81.49,человека  на 100 трудоспособных
,34 / 83,Общая демографическая нагрузка за 1991,80.37,человека  на 100 трудоспособных
,34 / 83,Общая демографическая нагрузка за 1990,79.55,человека  на 100 трудоспособных
,71 / 83,Приток (отток) постоянного населения за 2010,-9.98,%  от числа ныне живущих в регионе
,19 / 83,Процент людей с высшим образованием за 2010,21,%
,81 / 85,Процент мужчин,45.16,%
,7 / 85,Процент русских,96.04,%
,10 / 85,Средний возраст,41.8,года
,57 / 85,Урбанизация  за 2018,66.8,%
,57 / 85,Урбанизация за 2017,66.7,%
,57 / 85,Урбанизация за 2016,66.6,%
,58 / 85,Урбанизация за 2015,66.3,%
,57 / 83,Урбанизация за 2014,65.9,%
,57 / 83,Урбанизация за 2013,65.8,%
,58 / 83,Урбанизация за 2012,65.7,%
,56 / 83,Урбанизация за 2011,65.5,%
,56 / 83,Урбанизация за 2010,65.4,%
,55 / 83,Урбанизация за 2009,65.4,%
,55 / 83,Урбанизация за 2008,65.2,%
,55 / 83,Урбанизация за 2007,65,%
,56 / 83,Урбанизация за 2006,64.7,%
,58 / 83,Урбанизация за 2005,64.4,%
,60 / 83,Урбанизация за 2004,63.9,%
,61 / 83,Урбанизация за 2003,63.59,%
,61 / 83,Урбанизация за 2002,63.38,%
,61 / 83,Урбанизация за 2001,63.17,%
,62 / 83,Урбанизация за 2000,63,%
,63 / 83,Урбанизация за 1999,62.88,%
,62 / 83,Урбанизация за 1998,63.05,%
,63 / 83,Урбанизация за 1997,62.88,%
,63 / 83,Урбанизация за 1996,62.63,%
,63 / 83,Урбанизация за 1995,62.39,%
,63 / 83,Урбанизация за 1994,62.3,%
,63 / 83,Урбанизация за 1993,62.49,%
,63 / 83,Урбанизация за 1992,62.68,%
,63 / 83,Урбанизация за 1991,62.41,%
,64 / 83,Урбанизация за 1990,62.12,%
,,В0. Здоровье,,
,43 / 85,Заболеваемость ВИЧ  за 2016,38.4,случая  на 100 000 человек
,43 / 84,Заболеваемость ВИЧ за 2015,40.5,случая  на 100 000 человек
,51 / 85,Заболеваемость ВИЧ за 2014,27.6,случая  на 100 000 человек
,49 / 83,Заболеваемость ВИЧ за 2013,19.7,случая  на 100 000 человек
,51 / 83,Заболеваемость ВИЧ за 2012,17.9,случая  на 100 000 человек
,53 / 83,Заболеваемость ВИЧ за 2011,16.3,случая  на 100 000 человек
,57 / 83,Заболеваемость ВИЧ за 2010,12.2,случая  на 100 000 человек
,50 / 83,Заболеваемость ВИЧ за 2009,12.5,случая  на 100 000 человек
,43 / 83,Заболеваемость ВИЧ за 2008,14.2,случая  на 100 000 человек
,47 / 83,Заболеваемость ВИЧ за 2007,10.4,случая  на 100 000 человек
,40 / 82,Заболеваемость ВИЧ за 2006,9.5,случая  на 100 000 человек
,38 / 82,Заболеваемость ВИЧ за 2005,10.4,случая  на 100 000 человек
,13 / 85,Заболеваемость ожирением  за 2017,468.6,случая  на 100 тыс. человек
,17 / 84,Заболеваемость ожирением за 2016,428.3,случая  на 100 тыс. человек
,29 / 85,Заболеваемость ожирением за 2015,395.4,случая  на 100 тыс. человек
,15 / 85,Заболеваемость ожирением за 2014,369.6,случая  на 100 тыс. человек
,11 / 83,Заболеваемость ожирением за 2013,350.1,случая  на 100 тыс. человек
,15 / 85,Заболеваемость психическими расстройствами  за 2016,406.7,случая  на 100 000 человек
,9 / 85,Заболеваемость психическими расстройствами за 2015,499.1,случая  на 100 000 человек
