,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,73 / 85,Естественный прирост населения  за 2017,-5.2,человека  на 1 000 в год
,70 / 85,Естественный прирост населения за 2016,-4.3,человека  на 1 000 в год
,70 / 85,Естественный прирост населения за 2015,-4.1,человека  на 1 000 в год
,69 / 85,Естественный прирост населения за 2014,-4,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2013,-4.1,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2012,-4.1,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2011,-5.1,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2010,-5.7,человека  на 1 000 в год
,64 / 83,Естественный прирост населения за 2009,-5.5,человека  на 1 000 в год
,63 / 83,Естественный прирост населения за 2008,-6.1,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2007,-6.4,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2006,-8.5,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2005,-9.8,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2004,-9.4,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2003,-9.5,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 2002,-9.6,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 2001,-9.2,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 2000,-9.5,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 1999,-9.2,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1998,-7.2,человека  на 1 000 в год
,63 / 82,Естественный прирост населения за 1997,-7.6,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1996,-7.1,человека  на 1 000 в год
,55 / 82,Естественный прирост населения за 1995,-6.8,человека  на 1 000 в год
,55 / 81,Естественный прирост населения за 1994,-7.5,человека  на 1 000 в год
,55 / 81,Естественный прирост населения за 1993,-5.9,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1992,-2.7,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1991,-0.9,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1990,0.1,человека  на 1 000 в год
,81 / 85,Естественный прирост населения. Рождаемость  за 2017,8.9,ребенка  на 1 000 в год
,81 / 85,Естественный прирост населения. Рождаемость за 2016,10.2,ребенка  на 1 000 в год
,80 / 85,Естественный прирост населения. Рождаемость за 2015,10.7,ребенка  на 1 000 в год
,80 / 85,Естественный прирост населения. Рождаемость за 2014,10.8,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2013,10.6,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2012,10.8,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2011,10.1,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2010,10.2,ребенка  на 1 000 в год
