,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,40 / 85,Естественный прирост населения  за 2017,-1.2,человека  на 1 000 в год
,34 / 85,Естественный прирост населения за 2016,0.3,человека  на 1 000 в год
,36 / 85,Естественный прирост населения за 2015,0.5,человека  на 1 000 в год
,33 / 85,Естественный прирост населения за 2014,0.7,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2013,0.7,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2012,0.6,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2011,-0.6,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2010,-1.2,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2009,-1.7,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2008,-2.5,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2007,-3.6,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2006,-5.5,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2005,-7,человек  на 1 000 в год
,49 / 83,Естественный прирост населения за 2004,-6.3,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2003,-7,человек  на 1 000 в год
,46 / 82,Естественный прирост населения за 2002,-7,человек  на 1 000 в год
,44 / 82,Естественный прирост населения за 2001,-6.3,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 2000,-6.5,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1999,-5.9,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1998,-3.9,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 1997,-5.1,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1996,-5.5,человека  на 1 000 в год
,53 / 82,Естественный прирост населения за 1995,-6.7,человека  на 1 000 в год
,55 / 81,Естественный прирост населения за 1994,-7.5,человека  на 1 000 в год
,47 / 81,Естественный прирост населения за 1993,-5.4,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1992,-1.4,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1991,0.9,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1990,2.8,человека  на 1 000 в год
,24 / 85,Естественный прирост населения. Рождаемость  за 2017,12.1,ребенка  на 1 000 в год
,16 / 85,Естественный прирост населения. Рождаемость за 2016,14.1,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость за 2015,14.7,ребенка  на 1 000 в год
,20 / 85,Естественный прирост населения. Рождаемость за 2014,14.7,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2013,14.7,ребенка  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2012,14.8,ребенка  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2011,14.1,ребенка  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2010,14.1,ребенка  на 1 000 в год
,23 / 83,Естественный прирост населения. Рождаемость за 2009,13.3,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2008,13,детей  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2007,12.1,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2006,11,детей  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2005,10.9,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2004,11.4,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2003,11.3,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 2002,11,детей  на 1 000 в год
