,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,4 / 85,Естественный прирост населения  за 2017,11.3,человека  на 1 000 в год
,4 / 85,Естественный прирост населения за 2016,12.3,человека  на 1 000 в год
,4 / 85,Естественный прирост населения за 2015,12.9,человека  на 1 000 в год
,4 / 85,Естественный прирост населения за 2014,13.6,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2013,13.3,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2012,13.4,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2011,12.9,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2010,12.1,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2009,12.4,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2008,12.4,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2007,11.3,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2006,9.3,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2005,9.6,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2004,9.9,человека  на 1 000 в год
,3 / 83,Естественный прирост населения за 2003,9.9,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 2002,9.9,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 2001,9.2,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 2000,9,человек  на 1 000 в год
,2 / 82,Естественный прирост населения за 1999,9.2,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1998,10.7,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1997,11.1,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1996,11.9,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1995,13.6,человека  на 1 000 в год
,1 / 81,Естественный прирост населения за 1994,13.8,человека  на 1 000 в год
,1 / 81,Естественный прирост населения за 1993,13.5,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1992,16.3,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1991,18.6,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1990,19.9,человека  на 1 000 в год
,3 / 85,Естественный прирост населения. Рождаемость  за 2017,16.4,ребенка  на 1 000 в год
,5 / 85,Естественный прирост населения. Рождаемость за 2016,17.5,ребенка  на 1 000 в год
,5 / 85,Естественный прирост населения. Рождаемость за 2015,18.3,ребенка  на 1 000 в год
,5 / 85,Естественный прирост населения. Рождаемость за 2014,19.1,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2013,18.8,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2012,19.1,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2011,18.7,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2010,18,детей  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2009,18.5,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2008,18.3,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2007,17,детей  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2006,15.3,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2005,15.5,ребенка  на 1 000 в год
