,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,85 / 85,Естественный прирост населения  за 2017,-7.9,человека  на 1 000 в год
,84 / 85,Естественный прирост населения за 2016,-6.8,человека  на 1 000 в год
,85 / 85,Естественный прирост населения за 2015,-7.2,человека  на 1 000 в год
,85 / 85,Естественный прирост населения за 2014,-7.5,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2013,-7.6,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2012,-8.5,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2011,-8.9,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2010,-10.7,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2009,-10.5,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2008,-11.7,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2007,-11.2,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2006,-14.4,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2005,-15.7,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2004,-15.1,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2003,-15.9,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 2002,-15.3,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 2001,-14.8,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 2000,-14.9,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 1999,-14.6,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 1998,-11.7,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 1997,-12,человек  на 1 000 в год
,82 / 82,Естественный прирост населения за 1996,-12,человек  на 1 000 в год
,82 / 82,Естественный прирост населения за 1995,-13.1,человека  на 1 000 в год
,81 / 81,Естественный прирост населения за 1994,-14.7,человека  на 1 000 в год
,81 / 81,Естественный прирост населения за 1993,-12.4,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1992,-7.4,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1991,-4.7,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1990,-3.2,человека  на 1 000 в год
,76 / 85,Естественный прирост населения. Рождаемость  за 2017,9.5,ребенка  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость за 2016,11.1,ребенка  на 1 000 в год
,79 / 85,Естественный прирост населения. Рождаемость за 2015,11,детей  на 1 000 в год
,78 / 85,Естественный прирост населения. Рождаемость за 2014,10.9,ребенка  на 1 000 в год
,74 / 83,Естественный прирост населения. Рождаемость за 2013,11,детей  на 1 000 в год
,74 / 83,Естественный прирост населения. Рождаемость за 2012,11.1,ребенка  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2011,10.5,ребенка  на 1 000 в год
,74 / 83,Естественный прирост населения. Рождаемость за 2010,10.5,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2009,10.4,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2008,10,детей  на 1 000 в год
,70 / 83,Естественный прирост населения. Рождаемость за 2007,9.7,ребенка  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2006,8.9,ребенка  на 1 000 в год
,70 / 83,Естественный прирост населения. Рождаемость за 2005,8.8,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2004,9.1,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2003,9,детей  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 2002,8.5,ребенка  на 1 000 в год
,64 / 82,Естественный прирост населения. Рождаемость за 2001,8,детей  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 2000,7.4,ребенка  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1999,7,детей  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1998,7.5,ребенка  на 1 000 в год
,66 / 82,Естественный прирост населения. Рождаемость за 1997,7.5,ребенка  на 1 000 в год
,68 / 82,Естественный прирост населения. Рождаемость за 1996,7.7,ребенка  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1995,7.8,ребенка  на 1 000 в год
,73 / 81,Естественный прирост населения. Рождаемость за 1994,8,детей  на 1 000 в год
,66 / 81,Естественный прирост населения. Рождаемость за 1993,8.1,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1992,9.3,ребенка  на 1 000 в год
,64 / 82,Естественный прирост населения. Рождаемость за 1991,10.7,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1990,11.9,ребенка  на 1 000 в год
,1 / 85,Естественный прирост населения. Смертность  за 2017,17.4,человека  на 1 000 в год
,1 / 85,Естественный прирост населения. Смертность за 2016,17.9,человека  на 1 000 в год
,1 / 85,Естественный прирост населения. Смертность за 2015,18.2,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2014,18.4,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2013,18.6,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2012,19.6,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2011,19.4,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2010,21.2,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2009,21.1,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2008,21.8,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2007,21,человек  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2006,23.4,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2005,24.6,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2004,24.2,человека  на 1 000 в год
,1 / 83,Естественный прирост населения. Смертность за 2003,24.9,человека  на 1 000 в год
,2 / 82,Естественный прирост населения. Смертность за 2002,23.8,человека  на 1 000 в год
,2 / 82,Естественный прирост населения. Смертность за 2001,22.8,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 2000,22.3,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1999,21.6,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1998,19.2,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1997,19.5,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1996,19.7,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1995,20.9,человека  на 1 000 в год
,1 / 81,Естественный прирост населения. Смертность за 1994,22.7,человека  на 1 000 в год
,1 / 81,Естественный прирост населения. Смертность за 1993,20.5,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1992,16.7,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1991,15.4,человека  на 1 000 в год
,1 / 82,Естественный прирост населения. Смертность за 1990,15.1,человека  на 1 000 в год
,33 / 85,Миграционный прирост населения  за 2017,-8.57,человека  на 10 000 в год
,33 / 85,Миграционный прирост населения за 2016,2.75,человека  на 10 000 в год
,33 / 85,Миграционный прирост населения за 2015,-1.17,человека  на 10 000 в год
,46 / 83,Миграционный прирост населения за 2014,-8.21,человека  на 10 000 в год
,31 / 83,Миграционный прирост населения за 2013,1.03,человека  на 10 000 в год
