,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,54 / 85,Естественный прирост населения  за 2017,-3.1,человека  на 1 000 в год
,56 / 85,Естественный прирост населения за 2016,-2.3,человека  на 1 000 в год
,55 / 85,Естественный прирост населения за 2015,-1.8,человека  на 1 000 в год
,56 / 85,Естественный прирост населения за 2014,-2,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2013,-2.1,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2012,-2.3,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2011,-3.4,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2010,-3.8,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2009,-3.8,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2008,-4.2,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2007,-4.8,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2006,-6,человек  на 1 000 в год
,49 / 83,Естественный прирост населения за 2005,-6.7,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2004,-6.4,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2003,-7.1,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 2002,-7.3,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 2001,-7.4,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 2000,-7.2,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1999,-7.2,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1998,-6.1,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1997,-6.1,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 1996,-6,человек  на 1 000 в год
,52 / 82,Естественный прирост населения за 1995,-6.5,человека  на 1 000 в год
,47 / 81,Естественный прирост населения за 1994,-6.1,человека  на 1 000 в год
,49 / 81,Естественный прирост населения за 1993,-5.5,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 1992,-2.4,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1991,-1,человек  на 1 000 в год
,59 / 82,Естественный прирост населения за 1990,0,человек  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость  за 2017,10.3,ребенка  на 1 000 в год
,63 / 85,Естественный прирост населения. Рождаемость за 2016,11.6,ребенка  на 1 000 в год
,61 / 85,Естественный прирост населения. Рождаемость за 2015,12.1,ребенка  на 1 000 в год
,59 / 85,Естественный прирост населения. Рождаемость за 2014,12.1,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2013,11.7,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2012,11.7,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2011,10.9,ребенка  на 1 000 в год
