,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,74 / 85,Естественный прирост населения  за 2017,-5.5,человека  на 1 000 в год
,73 / 85,Естественный прирост населения за 2016,-4.7,человека  на 1 000 в год
,75 / 85,Естественный прирост населения за 2015,-4.7,человека  на 1 000 в год
,75 / 85,Естественный прирост населения за 2014,-5.1,человека  на 1 000 в год
,73 / 83,Естественный прирост населения за 2013,-5,человек  на 1 000 в год
,75 / 83,Естественный прирост населения за 2012,-5.5,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2011,-6.2,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2010,-7.9,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2009,-7.7,человека  на 1 000 в год
,75 / 83,Естественный прирост населения за 2008,-8.5,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2007,-9.6,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2006,-10.7,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2005,-11.9,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2004,-11.7,человека  на 1 000 в год
,76 / 83,Естественный прирост населения за 2003,-12.9,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 2002,-12.7,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 2001,-12.5,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 2000,-12.3,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1999,-11.7,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1998,-9.9,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1997,-10.4,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1996,-9.9,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1995,-10.2,человека  на 1 000 в год
,74 / 81,Естественный прирост населения за 1994,-11,человек  на 1 000 в год
,72 / 81,Естественный прирост населения за 1993,-9.1,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 1992,-5.7,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1991,-3.6,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1990,-2.4,человека  на 1 000 в год
,70 / 85,Естественный прирост населения. Рождаемость  за 2017,9.8,ребенка  на 1 000 в год
,65 / 85,Естественный прирост населения. Рождаемость за 2016,11.3,ребенка  на 1 000 в год
,77 / 85,Естественный прирост населения. Рождаемость за 2015,11.1,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2014,11,детей  на 1 000 в год
,76 / 83,Естественный прирост населения. Рождаемость за 2013,10.8,ребенка  на 1 000 в год
,76 / 83,Естественный прирост населения. Рождаемость за 2012,10.9,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2011,10.2,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2010,10.2,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2009,10.1,ребенка  на 1 000 в год
,76 / 83,Естественный прирост населения. Рождаемость за 2008,10.1,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2007,9.4,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2006,8.5,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2005,8.4,ребенка  на 1 000 в год
,81 / 83,Естественный прирост населения. Рождаемость за 2004,8.5,ребенка  на 1 000 в год
,80 / 83,Естественный прирост населения. Рождаемость за 2003,8.3,ребенка  на 1 000 в год
,80 / 82,Естественный прирост населения. Рождаемость за 2002,7.8,ребенка  на 1 000 в год
,79 / 82,Естественный прирост населения. Рождаемость за 2001,7.4,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 2000,7,детей  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1999,7,детей  на 1 000 в год
,74 / 82,Естественный прирост населения. Рождаемость за 1998,7.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1997,7.1,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1996,7.6,ребенка  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1995,7.8,ребенка  на 1 000 в год
,69 / 81,Естественный прирост населения. Рождаемость за 1994,8.1,ребенка  на 1 000 в год
,66 / 81,Естественный прирост населения. Рождаемость за 1993,8.1,ребенка  на 1 000 в год
,72 / 82,Естественный прирост населения. Рождаемость за 1992,9,детей  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1991,10.3,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 1990,11.6,ребенка  на 1 000 в год
,10 / 85,Естественный прирост населения. Смертность  за 2017,15.3,человека  на 1 000 в год
,10 / 85,Естественный прирост населения. Смертность за 2016,16,человек  на 1 000 в год
,13 / 85,Естественный прирост населения. Смертность за 2015,15.8,человека  на 1 000 в год
,10 / 83,Естественный прирост населения. Смертность за 2014,16.1,человека  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2013,15.8,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2012,16.4,человека  на 1 000 в год
,10 / 83,Естественный прирост населения. Смертность за 2011,16.4,человека  на 1 000 в год
,7 / 83,Естественный прирост населения. Смертность за 2010,18.1,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2009,17.7,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2008,18.4,человека  на 1 000 в год
,6 / 83,Естественный прирост населения. Смертность за 2007,18.9,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2006,19.1,человека  на 1 000 в год
,8 / 83,Естественный прирост населения. Смертность за 2005,20.2,человека  на 1 000 в год
,8 / 83,Естественный прирост населения. Смертность за 2004,20.1,человека  на 1 000 в год
,8 / 83,Естественный прирост населения. Смертность за 2003,21.2,человека  на 1 000 в год
,9 / 82,Естественный прирост населения. Смертность за 2002,20.5,человека  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 2001,19.9,человека  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 2000,19.3,человека  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 1999,18.7,человека  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 1998,17.2,человека  на 1 000 в год
,6 / 82,Естественный прирост населения. Смертность за 1997,17.5,человека  на 1 000 в год
,6 / 82,Естественный прирост населения. Смертность за 1996,17.5,человека  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 1995,18,человек  на 1 000 в год
,6 / 81,Естественный прирост населения. Смертность за 1994,19.1,человека  на 1 000 в год
,8 / 81,Естественный прирост населения. Смертность за 1993,17.2,человека  на 1 000 в год
,8 / 82,Естественный прирост населения. Смертность за 1992,14.7,человека  на 1 000 в год
,9 / 82,Естественный прирост населения. Смертность за 1991,13.9,человека  на 1 000 в год
,6 / 82,Естественный прирост населения. Смертность за 1990,14,человек  на 1 000 в год
,21 / 85,Миграционный прирост населения  за 2017,8.05,человека  на 10 000 в год
,23 / 85,Миграционный прирост населения за 2016,16.52,человека  на 10 000 в год
,32 / 85,Миграционный прирост населения за 2015,0.01,человека  на 10 000 в год
,30 / 83,Миграционный прирост населения за 2014,3.99,человека  на 10 000 в год
,18 / 83,Миграционный прирост населения за 2013,16.29,человека  на 10 000 в год
,18 / 83,Миграционный прирост населения за 2012,22.34,человека  на 10 000 в год
,22 / 83,Миграционный прирост населения за 2011,32.45,человека  на 10 000 в год
,29 / 83,Миграционный прирост населения за 2010,-7.32,человека  на 10 000 в год
,18 / 83,Миграционный прирост населения за 2009,24.3,человека  на 10 000 в год
,20 / 83,Миграционный прирост населения за 2008,29.12,человека  на 10 000 в год
,18 / 83,Миграционный прирост населения за 2007,34.14,человека  на 10 000 в год
,15 / 83,Миграционный прирост населения за 2006,44.77,человека  на 10 000 в год
,19 / 83,Миграционный прирост населения за 2005,28.91,человека  на 10 000 в год
,21 / 83,Миграционный прирост населения за 2004,25.55,человека  на 10 000 в год
,25 / 83,Миграционный прирост населения за 2003,18.27,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2002,-12.5,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2001,-18,человек  на 10 000 в год
,45 / 83,Миграционный прирост населения за 2000,-1,человек  на 10 000 в год
,35 / 83,Миграционный прирост населения за 1999,7.3,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 1998,10.7,человека  на 10 000 в год
,43 / 83,Миграционный прирост населения за 1997,15.2,человека  на 10 000 в год
,52 / 85,Общий прирост населения,-2.98,человека  на 1 000 в год
,49 / 85,Общий прирост населения в городах,0.09413,человека  на 1 000 в год
,68 / 85,Общий прирост населения в сёлах,-10.72,человека  на 1 000 в год
,45 / 85,Численность населения  за 2019,1 114 137,человек
,45 / 85,Численность населения за 2018,1 121 474,человека
,45 / 85,Численность населения за 2017,1 126 739,человек
,46 / 85,Численность населения за 2016,1 130 103,человека
,46 / 85,Численность населения за 2015,1 135 438,человек
,45 / 83,Численность населения за 2014,1 140 844,человека
,45 / 83,Численность населения за 2013,1 144 650,человек
,45 / 83,Численность населения за 2012,1 148 457,человек
,45 / 83,Численность населения за 2011,1 151 838,человек
,45 / 83,Численность населения за 2010,1 161 805,человек
,45 / 83,Численность населения за 2009,1 167 904,человека
,45 / 83,Численность населения за 2008,1 174 337,человек
,44 / 83,Численность населения за 2007,1 181 504,человека
,44 / 83,Численность населения за 2006,1 188 811,человек
,43 / 83,Численность населения за 2005,1 199 404,человека
,44 / 83,Численность населения за 2004,1 210 325,человек
,44 / 83,Численность населения за 2003,1 223 738,человек
,44 / 83,Численность населения за 2002,1 240 958,человек
,44 / 83,Численность населения за 2001,1 258 828,человек
,44 / 83,Численность населения за 2000,1 274 503,человека
,44 / 83,Численность населения за 1999,1 288 562,человека
,44 / 83,Численность населения за 1998,1 300 005,человек
,44 / 83,Численность населения за 1997,1 311 627,человек
,43 / 83,Численность населения за 1996,1 321 534,человека
,43 / 83,Численность населения за 1995,1 330 682,человека
,42 / 83,Численность населения за 1994,1 335 735,человек
,42 / 83,Численность населения за 1993,1 341 302,человека
,41 / 83,Численность населения за 1992,1 344 383,человека
,41 / 83,Численность населения за 1991,1 350 283,человека
,42 / 85,Численность населения за 1990,1 350 263,человека
,,Б. Демографический состав,,
,77 / 85,Доля детей  за 2017,15.5,%
,79 / 85,Доля детей за 2016,15.1,%
,79 / 85,Доля детей за 2015,14.8,%
,77 / 83,Доля детей за 2014,14.5,%
,77 / 83,Доля детей за 2013,14.1,%
,77 / 83,Доля детей за 2012,13.9,%
,2 / 85,Доля пожилых  за 2017,29.9,%
,2 / 85,Доля пожилых за 2016,29.5,%
,3 / 85,Доля пожилых за 2015,29,%
,2 / 83,Доля пожилых за 2014,28.5,%
,2 / 83,Доля пожилых за 2013,28.1,%
,2 / 83,Доля пожилых за 2012,27.6,%
,10 / 85,Общая демографическая нагрузка  за 2018,85.39,человека  на 100 трудоспособных
,11 / 85,Общая демографическая нагрузка за 2017,83.06,человека  на 100 трудоспособных
,11 / 85,Общая демографическая нагрузка за 2016,80.63,человека  на 100 трудоспособных
,11 / 85,Общая демографическая нагрузка за 2015,77.8,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2014,75.35,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2013,73.03,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2012,71.01,человека  на 100 трудоспособных
,6 / 83,Общая демографическая нагрузка за 2011,69.34,человека  на 100 трудоспособных
,5 / 83,Общая демографическая нагрузка за 2010,67.89,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2009,66.59,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2008,66.22,человека  на 100 трудоспособных
,4 / 83,Общая демографическая нагрузка за 2007,66.21,человека  на 100 трудоспособных
,4 / 83,Общая демографическая нагрузка за 2006,66.87,человека  на 100 трудоспособных
,4 / 83,Общая демографическая нагрузка за 2005,68.01,человека  на 100 трудоспособных
,5 / 83,Общая демографическая нагрузка за 2004,69.43,человека  на 100 трудоспособных
,5 / 83,Общая демографическая нагрузка за 2003,71.97,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2002,73.92,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2001,75.1,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 2000,77.49,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 1999,80.12,человека  на 100 трудоспособных
,12 / 83,Общая демографическая нагрузка за 1998,81.94,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 1997,83.01,человека  на 100 трудоспособных
,15 / 83,Общая демографическая нагрузка за 1996,82.96,человека  на 100 трудоспособных
,17 / 83,Общая демографическая нагрузка за 1995,82.92,человека  на 100 трудоспособных
,21 / 83,Общая демографическая нагрузка за 1994,83.26,человека  на 100 трудоспособных
,23 / 83,Общая демографическая нагрузка за 1993,83.07,человека  на 100 трудоспособных
,27 / 83,Общая демографическая нагрузка за 1992,82.32,человека  на 100 трудоспособных
,28 / 83,Общая демографическая нагрузка за 1991,81.46,человека  на 100 трудоспособных
,27 / 83,Общая демографическая нагрузка за 1990,80.7,человека  на 100 трудоспособных
,75 / 83,Приток (отток) постоянного населения за 2010,-11.74,%  от числа ныне живущих в регионе
,32 / 83,Процент людей с высшим образованием за 2010,20,%
,73 / 85,Процент мужчин,45.6,%
,15 / 85,Процент русских,95.11,%
,3 / 85,Средний возраст,42.49,года
,42 / 85,Урбанизация  за 2018,71.9,%
,43 / 85,Урбанизация за 2017,71.7,%
,43 / 85,Урбанизация за 2016,71.4,%
,43 / 85,Урбанизация за 2015,71.2,%
,40 / 83,Урбанизация за 2014,71.1,%
,40 / 83,Урбанизация за 2013,71,%
,39 / 83,Урбанизация за 2012,71,%
,38 / 83,Урбанизация за 2011,70.9,%
,38 / 83,Урбанизация за 2010,70.7,%
,40 / 83,Урбанизация за 2009,70.5,%
,40 / 83,Урбанизация за 2008,70.6,%
,40 / 83,Урбанизация за 2007,70.4,%
,40 / 83,Урбанизация за 2006,70,%
,41 / 83,Урбанизация за 2005,69.7,%
,40 / 83,Урбанизация за 2004,69.4,%
,42 / 83,Урбанизация за 2003,68.98,%
,43 / 83,Урбанизация за 2002,68.73,%
,43 / 83,Урбанизация за 2001,68.48,%
,43 / 83,Урбанизация за 2000,68.24,%
,46 / 83,Урбанизация за 1999,67.87,%
,48 / 83,Урбанизация за 1998,67.65,%
,48 / 83,Урбанизация за 1997,67.47,%
,48 / 83,Урбанизация за 1996,67.2,%
,49 / 83,Урбанизация за 1995,67,%
,51 / 83,Урбанизация за 1994,66.06,%
,51 / 83,Урбанизация за 1993,65.98,%
,52 / 83,Урбанизация за 1992,66.11,%
,53 / 83,Урбанизация за 1991,65.85,%
,52 / 83,Урбанизация за 1990,65.5,%
,,В0. Здоровье,,
,66 / 85,Заболеваемость ВИЧ  за 2016,23.8,случая  на 100 000 человек
,51 / 84,Заболеваемость ВИЧ за 2015,36.1,случая  на 100 000 человек
,45 / 85,Заболеваемость ВИЧ за 2014,34,случая  на 100 000 человек
,40 / 83,Заболеваемость ВИЧ за 2013,30,случаев  на 100 000 человек
,40 / 83,Заболеваемость ВИЧ за 2012,27.2,случая  на 100 000 человек
,38 / 83,Заболеваемость ВИЧ за 2011,24,случая  на 100 000 человек
,37 / 83,Заболеваемость ВИЧ за 2010,18.4,случая  на 100 000 человек
,42 / 83,Заболеваемость ВИЧ за 2009,17.1,случая  на 100 000 человек
,37 / 83,Заболеваемость ВИЧ за 2008,16.6,случая  на 100 000 человек
,36 / 83,Заболеваемость ВИЧ за 2007,14.4,случая  на 100 000 человек
,29 / 82,Заболеваемость ВИЧ за 2006,14.6,случая  на 100 000 человек
,36 / 82,Заболеваемость ВИЧ за 2005,10.9,случая  на 100 000 человек
,31 / 85,Заболеваемость ожирением  за 2017,337.8,случая  на 100 тыс. человек
,19 / 84,Заболеваемость ожирением за 2016,414.7,случая  на 100 тыс. человек
,45 / 85,Заболеваемость ожирением за 2015,308.8,случая  на 100 тыс. человек
,31 / 85,Заболеваемость ожирением за 2014,249,случаев  на 100 тыс. человек
,27 / 83,Заболеваемость ожирением за 2013,261.5,случая  на 100 тыс. человек
,41 / 85,Заболеваемость психическими расстройствами  за 2016,273.4,случая  на 100 000 человек
,37 / 85,Заболеваемость психическими расстройствами за 2015,302.1,случая  на 100 000 человек
