,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,52 / 85,Естественный прирост населения  за 2017,-2.9,человека  на 1 000 в год
,49 / 85,Естественный прирост населения за 2016,-1.4,человека  на 1 000 в год
,50 / 85,Естественный прирост населения за 2015,-1.4,человека  на 1 000 в год
,54 / 85,Естественный прирост населения за 2014,-1.7,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2013,-2,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2012,-1.8,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2011,-2.9,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2010,-3.6,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2009,-3.3,человека  на 1 000 в год
,53 / 83,Естественный прирост населения за 2008,-3.9,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2007,-4.6,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2006,-5.6,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2005,-6.5,человека  на 1 000 в год
,47 / 83,Естественный прирост населения за 2004,-6.1,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2003,-6.6,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 2002,-7.1,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 2001,-8.2,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 2000,-8.5,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 1999,-7.6,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 1998,-5.7,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 1997,-5.7,человека  на 1 000 в год
,55 / 82,Естественный прирост населения за 1996,-6.3,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 1995,-6.2,человека  на 1 000 в год
,47 / 81,Естественный прирост населения за 1994,-6.1,человека  на 1 000 в год
,45 / 81,Естественный прирост населения за 1993,-4.9,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1992,-1.9,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1991,-0.2,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1990,1.2,человека  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость  за 2017,10.8,ребенка  на 1 000 в год
,45 / 85,Естественный прирост населения. Рождаемость за 2016,12.5,ребенка  на 1 000 в год
,46 / 85,Естественный прирост населения. Рождаемость за 2015,12.8,ребенка  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость за 2014,12.6,ребенка  на 1 000 в год
,54 / 83,Естественный прирост населения. Рождаемость за 2013,12.3,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2012,12.1,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2011,11.5,ребенка  на 1 000 в год
,53 / 83,Естественный прирост населения. Рождаемость за 2010,11.6,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2009,11.5,ребенка  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2008,11.4,ребенка  на 1 000 в год
,51 / 83,Естественный прирост населения. Рождаемость за 2007,10.7,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2006,10.1,ребенка  на 1 000 в год
,52 / 83,Естественный прирост населения. Рождаемость за 2005,9.7,ребенка  на 1 000 в год
,52 / 83,Естественный прирост населения. Рождаемость за 2004,10.1,ребенка  на 1 000 в год
,52 / 83,Естественный прирост населения. Рождаемость за 2003,9.8,ребенка  на 1 000 в год
,52 / 82,Естественный прирост населения. Рождаемость за 2002,9.2,ребенка  на 1 000 в год
,55 / 82,Естественный прирост населения. Рождаемость за 2001,8.2,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 2000,7.9,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 1999,7.5,ребенка  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1998,7.9,ребенка  на 1 000 в год
,61 / 82,Естественный прирост населения. Рождаемость за 1997,7.7,ребенка  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 1996,8,детей  на 1 000 в год
,56 / 82,Естественный прирост населения. Рождаемость за 1995,8.6,ребенка  на 1 000 в год
,51 / 81,Естественный прирост населения. Рождаемость за 1994,9.1,ребенка  на 1 000 в год
,44 / 81,Естественный прирост населения. Рождаемость за 1993,9.1,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 1992,9.9,ребенка  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1991,11,детей  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 1990,12.3,ребенка  на 1 000 в год
,28 / 85,Естественный прирост населения. Смертность  за 2017,13.7,человека  на 1 000 в год
,33 / 85,Естественный прирост населения. Смертность за 2016,13.9,человека  на 1 000 в год
,29 / 85,Естественный прирост населения. Смертность за 2015,14.2,человека  на 1 000 в год
,28 / 83,Естественный прирост населения. Смертность за 2014,14.3,человека  на 1 000 в год
,30 / 83,Естественный прирост населения. Смертность за 2013,14.3,человека  на 1 000 в год
,39 / 83,Естественный прирост населения. Смертность за 2012,13.9,человека  на 1 000 в год
,34 / 83,Естественный прирост населения. Смертность за 2011,14.4,человека  на 1 000 в год
,33 / 83,Естественный прирост населения. Смертность за 2010,15.2,человека  на 1 000 в год
,36 / 83,Естественный прирост населения. Смертность за 2009,14.6,человека  на 1 000 в год
,38 / 83,Естественный прирост населения. Смертность за 2008,15,человек  на 1 000 в год
,35 / 83,Естественный прирост населения. Смертность за 2007,15.1,человека  на 1 000 в год
,37 / 83,Естественный прирост населения. Смертность за 2006,15.5,человека  на 1 000 в год
,45 / 83,Естественный прирост населения. Смертность за 2005,16.1,человека  на 1 000 в год
,44 / 83,Естественный прирост населения. Смертность за 2004,16.1,человека  на 1 000 в год
,40 / 83,Естественный прирост населения. Смертность за 2003,16.4,человека  на 1 000 в год
,39 / 82,Естественный прирост населения. Смертность за 2002,16.3,человека  на 1 000 в год
,27 / 82,Естественный прирост населения. Смертность за 2001,16.4,человека  на 1 000 в год
,26 / 82,Естественный прирост населения. Смертность за 2000,16.4,человека  на 1 000 в год
,33 / 82,Естественный прирост населения. Смертность за 1999,15.1,человека  на 1 000 в год
,37 / 82,Естественный прирост населения. Смертность за 1998,13.6,человека  на 1 000 в год
,40 / 82,Естественный прирост населения. Смертность за 1997,13.4,человека  на 1 000 в год
,32 / 82,Естественный прирост населения. Смертность за 1996,14.3,человека  на 1 000 в год
,37 / 82,Естественный прирост населения. Смертность за 1995,14.8,человека  на 1 000 в год
,40 / 81,Естественный прирост населения. Смертность за 1994,15.2,человека  на 1 000 в год
