,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,63 / 85,Естественный прирост населения  за 2017,-4.1,человека  на 1 000 в год
,62 / 85,Естественный прирост населения за 2016,-3.1,человека  на 1 000 в год
,61 / 85,Естественный прирост населения за 2015,-2.7,человека  на 1 000 в год
,62 / 85,Естественный прирост населения за 2014,-2.5,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2013,-3,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2012,-2.9,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2011,-3.8,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2010,-4.9,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2009,-4.3,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2008,-4.6,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2007,-5.1,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2006,-6.5,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2005,-7.8,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2004,-7.4,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2003,-7.9,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 2002,-7.9,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 2001,-8.1,человека  на 1 000 в год
,57 / 82,Естественный прирост населения за 2000,-8.3,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1999,-7.3,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1998,-6,человек  на 1 000 в год
,55 / 82,Естественный прирост населения за 1997,-6.2,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 1996,-6,человек  на 1 000 в год
,46 / 82,Естественный прирост населения за 1995,-5.7,человека  на 1 000 в год
,50 / 81,Естественный прирост населения за 1994,-6.5,человека  на 1 000 в год
,49 / 81,Естественный прирост населения за 1993,-5.5,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 1992,-2,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1991,0.2,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1990,1.6,человека  на 1 000 в год
,76 / 85,Естественный прирост населения. Рождаемость  за 2017,9.5,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Рождаемость за 2016,10.9,ребенка  на 1 000 в год
,70 / 85,Естественный прирост населения. Рождаемость за 2015,11.5,ребенка  на 1 000 в год
,67 / 85,Естественный прирост населения. Рождаемость за 2014,11.6,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2013,11.4,ребенка  на 1 000 в год
,70 / 83,Естественный прирост населения. Рождаемость за 2012,11.4,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2011,10.7,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2010,10.8,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2009,10.7,ребенка  на 1 000 в год
,64 / 83,Естественный прирост населения. Рождаемость за 2008,10.6,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2007,10.2,ребенка  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2006,9.1,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2005,9,детей  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2004,9.4,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2003,9.1,ребенка  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 2002,8.7,ребенка  на 1 000 в год
,55 / 82,Естественный прирост населения. Рождаемость за 2001,8.2,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 2000,8.1,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1999,7.9,ребенка  на 1 000 в год
,55 / 82,Естественный прирост населения. Рождаемость за 1998,8.1,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 1997,7.9,ребенка  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 1996,8.2,ребенка  на 1 000 в год
,48 / 82,Естественный прирост населения. Рождаемость за 1995,8.9,ребенка  на 1 000 в год
,43 / 81,Естественный прирост населения. Рождаемость за 1994,9.4,ребенка  на 1 000 в год
,44 / 81,Естественный прирост населения. Рождаемость за 1993,9.1,ребенка  на 1 000 в год
,43 / 82,Естественный прирост населения. Рождаемость за 1992,10.5,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 1991,12,детей  на 1 000 в год
