,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,21 / 85,Естественный прирост населения  за 2017,1,человек  на 1 000 в год
,29 / 85,Естественный прирост населения за 2016,1.1,человека  на 1 000 в год
,38 / 85,Естественный прирост населения за 2015,0.4,человека  на 1 000 в год
,36 / 85,Естественный прирост населения за 2014,0.6,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2013,-0.2,человека  на 1 000 в год
,51 / 83,Естественный прирост населения за 2012,-1.2,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2011,-2.4,человека  на 1 000 в год
,49 / 83,Естественный прирост населения за 2010,-2.8,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2009,-2.4,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2008,-2.2,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2007,-2.4,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2006,-3.8,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2005,-6,человек  на 1 000 в год
,39 / 83,Естественный прирост населения за 2004,-4.8,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2003,-5.5,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 2002,-4.8,человека  на 1 000 в год
,35 / 82,Естественный прирост населения за 2001,-5.2,человека  на 1 000 в год
,25 / 82,Естественный прирост населения за 2000,-4.2,человека  на 1 000 в год
,26 / 82,Естественный прирост населения за 1999,-4.2,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 1998,-2.8,человека  на 1 000 в год
,34 / 82,Естественный прирост населения за 1997,-3.8,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1996,-4.4,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1995,-8.3,человека  на 1 000 в год
,38 / 81,Естественный прирост населения за 1994,-4.9,человека  на 1 000 в год
,33 / 81,Естественный прирост населения за 1993,-3.3,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1992,1.2,человека  на 1 000 в год
,30 / 82,Естественный прирост населения за 1991,3.5,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 1990,6.1,человека  на 1 000 в год
,15 / 85,Естественный прирост населения. Рождаемость  за 2017,13,детей  на 1 000 в год
,15 / 85,Естественный прирост населения. Рождаемость за 2016,14.2,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2015,13.7,ребенка  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость за 2014,13.6,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2013,12.9,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2012,12.7,ребенка  на 1 000 в год
,50 / 83,Естественный прирост населения. Рождаемость за 2011,11.8,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2010,12.1,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2009,12.1,ребенка  на 1 000 в год
,36 / 83,Естественный прирост населения. Рождаемость за 2008,12.3,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2007,11.8,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2006,11.2,ребенка  на 1 000 в год
