,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,38 / 85,Естественный прирост населения  за 2017,-1,человек  на 1 000 в год
,42 / 85,Естественный прирост населения за 2016,-0.2,человека  на 1 000 в год
,39 / 85,Естественный прирост населения за 2015,0.3,человека  на 1 000 в год
,39 / 85,Естественный прирост населения за 2014,0.5,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2013,0.7,человека  на 1 000 в год
,36 / 83,Естественный прирост населения за 2012,0.3,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2011,-0.6,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2010,-0.9,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2009,-1.5,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2008,-2.3,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2007,-3.2,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2006,-4.6,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2005,-6.2,человека  на 1 000 в год
,46 / 83,Естественный прирост населения за 2004,-5.9,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2003,-6.9,человека  на 1 000 в год
,49 / 82,Естественный прирост населения за 2002,-7.2,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 2001,-7.1,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 2000,-8.2,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1999,-7.5,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1998,-5.5,человека  на 1 000 в год
,52 / 82,Естественный прирост населения за 1997,-6,человек  на 1 000 в год
,56 / 82,Естественный прирост населения за 1996,-6.5,человека  на 1 000 в год
,56 / 82,Естественный прирост населения за 1995,-7,человек  на 1 000 в год
,57 / 81,Естественный прирост населения за 1994,-7.8,человека  на 1 000 в год
,59 / 81,Естественный прирост населения за 1993,-6.5,человека  на 1 000 в год
,60 / 82,Естественный прирост населения за 1992,-3.2,человека  на 1 000 в год
