,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,80 / 85,Естественный прирост населения  за 2017,-6.4,человека  на 1 000 в год
,81 / 85,Естественный прирост населения за 2016,-5.9,человека  на 1 000 в год
,81 / 85,Естественный прирост населения за 2015,-5.8,человека  на 1 000 в год
,76 / 85,Естественный прирост населения за 2014,-5.3,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2013,-5.8,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2012,-6.3,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2011,-6.4,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2010,-8,человек  на 1 000 в год
,79 / 83,Естественный прирост населения за 2009,-8.4,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2008,-9.6,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2007,-10,человек  на 1 000 в год
,80 / 83,Естественный прирост населения за 2006,-12,человек  на 1 000 в год
,78 / 83,Естественный прирост населения за 2005,-13,человек  на 1 000 в год
,78 / 83,Естественный прирост населения за 2004,-12.5,человека  на 1 000 в год
,78 / 83,Естественный прирост населения за 2003,-13.3,человека  на 1 000 в год
,78 / 82,Естественный прирост населения за 2002,-13.4,человека  на 1 000 в год
,78 / 82,Естественный прирост населения за 2001,-13,человек  на 1 000 в год
,78 / 82,Естественный прирост населения за 2000,-13,человек  на 1 000 в год
,78 / 82,Естественный прирост населения за 1999,-12.7,человека  на 1 000 в год
,78 / 82,Естественный прирост населения за 1998,-10.2,человека  на 1 000 в год
,77 / 82,Естественный прирост населения за 1997,-10.4,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 1996,-9.3,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 1995,-9.1,человека  на 1 000 в год
,69 / 81,Естественный прирост населения за 1994,-9.6,человека  на 1 000 в год
,69 / 81,Естественный прирост населения за 1993,-8.4,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1992,-4.8,человека  на 1 000 в год
,69 / 82,Естественный прирост населения за 1991,-3,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1990,-1.4,человека  на 1 000 в год
,80 / 85,Естественный прирост населения. Рождаемость  за 2017,9.1,ребенка  на 1 000 в год
,80 / 85,Естественный прирост населения. Рождаемость за 2016,10.3,ребенка  на 1 000 в год
,81 / 85,Естественный прирост населения. Рождаемость за 2015,10.5,ребенка  на 1 000 в год
,80 / 85,Естественный прирост населения. Рождаемость за 2014,10.8,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2013,10.6,ребенка  на 1 000 в год
,79 / 83,Естественный прирост населения. Рождаемость за 2012,10.5,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2011,10.4,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2010,10.4,ребенка  на 1 000 в год
