,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,81 / 85,Естественный прирост населения  за 2017,-6.5,человека  на 1 000 в год
,82 / 85,Естественный прирост населения за 2016,-6.3,человека  на 1 000 в год
,82 / 85,Естественный прирост населения за 2015,-6.3,человека  на 1 000 в год
,82 / 85,Естественный прирост населения за 2014,-6.5,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2013,-6.6,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2012,-6.5,человека  на 1 000 в год
,79 / 83,Естественный прирост населения за 2011,-7.1,человека  на 1 000 в год
,77 / 83,Естественный прирост населения за 2010,-8,человек  на 1 000 в год
,77 / 83,Естественный прирост населения за 2009,-8,человек  на 1 000 в год
,76 / 83,Естественный прирост населения за 2008,-8.6,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2007,-8.7,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2006,-10.1,человека  на 1 000 в год
,71 / 83,Естественный прирост населения за 2005,-10.9,человека  на 1 000 в год
,70 / 83,Естественный прирост населения за 2004,-10.4,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2003,-11.5,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 2002,-11.7,человека  на 1 000 в год
,71 / 82,Естественный прирост населения за 2001,-11,человек  на 1 000 в год
,73 / 82,Естественный прирост населения за 2000,-11,человек  на 1 000 в год
,74 / 82,Естественный прирост населения за 1999,-11.3,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1998,-9.1,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1997,-9.6,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1996,-9,человек  на 1 000 в год
,70 / 82,Естественный прирост населения за 1995,-9,человек  на 1 000 в год
,67 / 81,Естественный прирост населения за 1994,-9.5,человека  на 1 000 в год
,70 / 81,Естественный прирост населения за 1993,-8.6,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1992,-5.6,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1991,-4.6,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1990,-3.2,человека  на 1 000 в год
,83 / 85,Естественный прирост населения. Рождаемость  за 2017,8.6,ребенка  на 1 000 в год
,84 / 85,Естественный прирост населения. Рождаемость за 2016,9.6,ребенка  на 1 000 в год
,83 / 85,Естественный прирост населения. Рождаемость за 2015,9.8,ребенка  на 1 000 в год
,84 / 85,Естественный прирост населения. Рождаемость за 2014,9.8,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2013,9.5,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2012,9.7,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2011,9.3,ребенка  на 1 000 в год
,80 / 83,Естественный прирост населения. Рождаемость за 2010,9.5,ребенка  на 1 000 в год
,82 / 83,Естественный прирост населения. Рождаемость за 2009,9.3,ребенка  на 1 000 в год
,81 / 83,Естественный прирост населения. Рождаемость за 2008,9.2,ребенка  на 1 000 в год
,81 / 83,Естественный прирост населения. Рождаемость за 2007,8.9,ребенка  на 1 000 в год
,81 / 83,Естественный прирост населения. Рождаемость за 2006,8.2,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2005,8.5,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2004,8.7,ребенка  на 1 000 в год
,76 / 83,Естественный прирост населения. Рождаемость за 2003,8.5,ребенка  на 1 000 в год
,73 / 82,Естественный прирост населения. Рождаемость за 2002,8.1,ребенка  на 1 000 в год
,71 / 82,Естественный прирост населения. Рождаемость за 2001,7.8,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 2000,8,детей  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 1999,7.4,ребенка  на 1 000 в год
,64 / 82,Естественный прирост населения. Рождаемость за 1998,7.8,ребенка  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1997,7.6,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 1996,8.1,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 1995,8.5,ребенка  на 1 000 в год
,54 / 81,Естественный прирост населения. Рождаемость за 1994,9,детей  на 1 000 в год
,53 / 81,Естественный прирост населения. Рождаемость за 1993,8.9,ребенка  на 1 000 в год
,58 / 82,Естественный прирост населения. Рождаемость за 1992,9.7,ребенка  на 1 000 в год
,67 / 82,Естественный прирост населения. Рождаемость за 1991,10.6,ребенка  на 1 000 в год
,70 / 82,Естественный прирост населения. Рождаемость за 1990,11.7,ребенка  на 1 000 в год
,14 / 85,Естественный прирост населения. Смертность  за 2017,15.1,человека  на 1 000 в год
,11 / 85,Естественный прирост населения. Смертность за 2016,15.9,человека  на 1 000 в год
,9 / 85,Естественный прирост населения. Смертность за 2015,16.1,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2014,16.3,человека  на 1 000 в год
,9 / 83,Естественный прирост населения. Смертность за 2013,16.1,человека  на 1 000 в год
,11 / 83,Естественный прирост населения. Смертность за 2012,16.2,человека  на 1 000 в год
,10 / 83,Естественный прирост населения. Смертность за 2011,16.4,человека  на 1 000 в год
,12 / 83,Естественный прирост населения. Смертность за 2010,17.5,человека  на 1 000 в год
,12 / 83,Естественный прирост населения. Смертность за 2009,17.1,человека  на 1 000 в год
,14 / 83,Естественный прирост населения. Смертность за 2008,17.6,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2007,17.4,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2006,18.1,человека  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2005,19.3,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2004,19,человек  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2003,19.9,человека  на 1 000 в год
,12 / 82,Естественный прирост населения. Смертность за 2002,19.8,человека  на 1 000 в год
,12 / 82,Естественный прирост населения. Смертность за 2001,18.8,человека  на 1 000 в год
,9 / 82,Естественный прирост населения. Смертность за 2000,19,человек  на 1 000 в год
,7 / 82,Естественный прирост населения. Смертность за 1999,18.7,человека  на 1 000 в год
,8 / 82,Естественный прирост населения. Смертность за 1998,16.9,человека  на 1 000 в год
,8 / 82,Естественный прирост населения. Смертность за 1997,17.2,человека  на 1 000 в год
,8 / 82,Естественный прирост населения. Смертность за 1996,17.1,человека  на 1 000 в год
,9 / 82,Естественный прирост населения. Смертность за 1995,17.5,человека  на 1 000 в год
,9 / 81,Естественный прирост населения. Смертность за 1994,18.5,человека  на 1 000 в год
,6 / 81,Естественный прирост населения. Смертность за 1993,17.5,человека  на 1 000 в год
,5 / 82,Естественный прирост населения. Смертность за 1992,15.3,человека  на 1 000 в год
,2 / 82,Естественный прирост населения. Смертность за 1991,15.2,человека  на 1 000 в год
,2 / 82,Естественный прирост населения. Смертность за 1990,14.9,человека  на 1 000 в год
,28 / 85,Миграционный прирост населения  за 2017,0.18,человека  на 10 000 в год
,67 / 85,Миграционный прирост населения за 2016,-32.73,человека  на 10 000 в год
,70 / 85,Миграционный прирост населения за 2015,-51.68,человека  на 10 000 в год
,34 / 83,Миграционный прирост населения за 2014,3.07,человека  на 10 000 в год
,30 / 83,Миграционный прирост населения за 2013,1.74,человека  на 10 000 в год
,35 / 83,Миграционный прирост населения за 2012,1.97,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2011,5.5,человека  на 10 000 в год
,32 / 83,Миграционный прирост населения за 2010,-10.07,человека  на 10 000 в год
,34 / 83,Миграционный прирост населения за 2009,5.26,человека  на 10 000 в год
,35 / 83,Миграционный прирост населения за 2008,7.02,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2007,-8.47,человека  на 10 000 в год
,33 / 83,Миграционный прирост населения за 2006,-1.76,человека  на 10 000 в год
,29 / 83,Миграционный прирост населения за 2005,1.19,человека  на 10 000 в год
,28 / 83,Миграционный прирост населения за 2004,8.53,человека  на 10 000 в год
,30 / 83,Миграционный прирост населения за 2003,8.19,человека  на 10 000 в год
,70 / 83,Миграционный прирост населения за 2002,-45.4,человека  на 10 000 в год
,68 / 83,Миграционный прирост населения за 2001,-57.8,человека  на 10 000 в год
,63 / 83,Миграционный прирост населения за 2000,-32.3,человека  на 10 000 в год
,55 / 83,Миграционный прирост населения за 1999,-22.3,человека  на 10 000 в год
,59 / 83,Миграционный прирост населения за 1998,-18.4,человека  на 10 000 в год
,60 / 83,Миграционный прирост населения за 1997,-17.8,человека  на 10 000 в год
,84 / 85,Общий прирост населения,-9.54,человека  на 1 000 в год
,71 / 85,Общий прирост населения в городах,-3.713,человека  на 1 000 в год
,80 / 85,Общий прирост населения в сёлах,-18.39,человека  на 1 000 в год
,50 / 85,Численность населения  за 2019,1 015 966,человек
,50 / 85,Численность населения за 2018,1 033 552,человека
,50 / 85,Численность населения за 2017,1 040 327,человек
,50 / 85,Численность населения за 2016,1 050 295,человек
,50 / 85,Численность населения за 2015,1 062 421,человек
,49 / 83,Численность населения за 2014,1 068 934,человека
,48 / 83,Численность населения за 2013,1 075 748,человек
,48 / 83,Численность населения за 2012,1 082 545,человек
,48 / 83,Численность населения за 2011,1 089 700,человек
,48 / 83,Численность населения за 2010,1 099 650,человек
,48 / 83,Численность населения за 2009,1 107 810,человек
,47 / 83,Численность населения за 2008,1 116 438,человек
,47 / 83,Численность населения за 2007,1 127 014,человек
,47 / 83,Численность населения за 2006,1 138 550,человек
,46 / 83,Численность населения за 2005,1 150 828,человек
,46 / 83,Численность населения за 2004,1 161 854,человека
,46 / 83,Численность населения за 2003,1 174 233,человека
,46 / 83,Численность населения за 2002,1 193 381,человек
,46 / 83,Численность населения за 2001,1 213 591,человек
,46 / 83,Численность населения за 2000,1 231 054,человека
,45 / 83,Численность населения за 1999,1 247 855,человек
,45 / 83,Численность населения за 1998,1 261 659,человек
,45 / 83,Численность населения за 1997,1 276 001,человек
,45 / 83,Численность населения за 1996,1 288 503,человека
,44 / 83,Численность населения за 1995,1 298 622,человека
,45 / 83,Численность населения за 1994,1 301 227,человек
,44 / 83,Численность населения за 1993,1 303 773,человека
,45 / 83,Численность населения за 1992,1 303 360,человек
,45 / 83,Численность населения за 1991,1 312 283,человека
,46 / 85,Численность населения за 1990,1 319 338,человек
,,Б. Демографический состав,,
,82 / 85,Доля детей  за 2017,15,%
,81 / 85,Доля детей за 2016,14.8,%
,81 / 85,Доля детей за 2015,14.4,%
,79 / 83,Доля детей за 2014,14.2,%
,79 / 83,Доля детей за 2013,14,%
,77 / 83,Доля детей за 2012,13.9,%
,2 / 85,Доля пожилых  за 2017,29.9,%
,3 / 85,Доля пожилых за 2016,29.3,%
,4 / 85,Доля пожилых за 2015,28.6,%
,3 / 83,Доля пожилых за 2014,28.1,%
,3 / 83,Доля пожилых за 2013,27.7,%
,3 / 83,Доля пожилых за 2012,27.2,%
,19 / 85,Общая демографическая нагрузка  за 2018,83.6,человека  на 100 трудоспособных
,17 / 85,Общая демографическая нагрузка за 2017,81.33,человека  на 100 трудоспособных
,19 / 85,Общая демографическая нагрузка за 2016,78.91,человека  на 100 трудоспособных
,22 / 85,Общая демографическая нагрузка за 2015,75.37,человека  на 100 трудоспособных
,20 / 83,Общая демографическая нагрузка за 2014,73.39,человека  на 100 трудоспособных
,17 / 83,Общая демографическая нагрузка за 2013,71.5,человека  на 100 трудоспособных
,12 / 83,Общая демографическая нагрузка за 2012,69.81,человека  на 100 трудоспособных
,10 / 83,Общая демографическая нагрузка за 2011,68.38,человека  на 100 трудоспособных
,10 / 83,Общая демографическая нагрузка за 2010,67.1,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2009,65.87,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 2008,65.52,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 2007,65.39,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 2006,66.07,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2005,67.55,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2004,69.58,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2003,72.44,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2002,75.02,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2001,76.36,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2000,78.47,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 1999,80.95,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 1998,83.03,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1997,84.7,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1996,85.22,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1995,86.08,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1994,86.67,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1993,86.91,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1992,86.92,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 1991,86.09,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 1990,85.32,человека  на 100 трудоспособных
,81 / 83,Приток (отток) постоянного населения за 2010,-25.01,%  от числа ныне живущих в регионе
,56 / 83,Процент людей с высшим образованием за 2010,18,%
,56 / 85,Процент мужчин,46.06,%
,2 / 85,Процент русских,96.99,%
,2 / 85,Средний возраст,42.9,года
,70 / 85,Урбанизация  за 2018,60.9,%
,70 / 85,Урбанизация за 2017,60.5,%
,70 / 85,Урбанизация за 2016,60.1,%
,71 / 85,Урбанизация за 2015,59.8,%
,70 / 83,Урбанизация за 2014,59.4,%
,70 / 83,Урбанизация за 2013,59.1,%
,70 / 83,Урбанизация за 2012,58.8,%
,70 / 83,Урбанизация за 2011,58.7,%
,69 / 83,Урбанизация за 2010,58.5,%
,69 / 83,Урбанизация за 2009,58.4,%
,70 / 83,Урбанизация за 2008,58.2,%
,69 / 83,Урбанизация за 2007,58.1,%
,70 / 83,Урбанизация за 2006,57.9,%
,70 / 83,Урбанизация за 2005,57.7,%
,71 / 83,Урбанизация за 2004,57.5,%
,70 / 83,Урбанизация за 2003,57.25,%
,70 / 83,Урбанизация за 2002,57.19,%
,70 / 83,Урбанизация за 2001,57.15,%
,70 / 83,Урбанизация за 2000,57.13,%
,70 / 83,Урбанизация за 1999,57.17,%
,70 / 83,Урбанизация за 1998,57.14,%
,71 / 83,Урбанизация за 1997,57.06,%
,71 / 83,Урбанизация за 1996,56.9,%
,71 / 83,Урбанизация за 1995,56.68,%
,71 / 83,Урбанизация за 1994,56.64,%
,71 / 83,Урбанизация за 1993,56.6,%
,71 / 83,Урбанизация за 1992,56.7,%
,72 / 83,Урбанизация за 1991,56.52,%
,72 / 83,Урбанизация за 1990,56.28,%
,,В0. Здоровье,,
,81 / 85,Заболеваемость ВИЧ  за 2016,12,случаев  на 100 000 человек
,74 / 84,Заболеваемость ВИЧ за 2015,16.2,случая  на 100 000 человек
,70 / 85,Заболеваемость ВИЧ за 2014,14.8,случая  на 100 000 человек
,72 / 83,Заболеваемость ВИЧ за 2013,12,случаев  на 100 000 человек
,67 / 83,Заболеваемость ВИЧ за 2012,12.6,случая  на 100 000 человек
,56 / 83,Заболеваемость ВИЧ за 2011,15.1,случая  на 100 000 человек
,65 / 83,Заболеваемость ВИЧ за 2010,9.5,случая  на 100 000 человек
,57 / 83,Заболеваемость ВИЧ за 2009,11.3,случая  на 100 000 человек
,53 / 83,Заболеваемость ВИЧ за 2008,11.2,случая  на 100 000 человек
,61 / 83,Заболеваемость ВИЧ за 2007,8.6,случая  на 100 000 человек
,63 / 82,Заболеваемость ВИЧ за 2006,5.7,случая  на 100 000 человек
,63 / 82,Заболеваемость ВИЧ за 2005,5.7,случая  на 100 000 человек
,37 / 85,Заболеваемость ожирением  за 2017,322.2,случая  на 100 тыс. человек
,38 / 84,Заболеваемость ожирением за 2016,342,случая  на 100 тыс. человек
,21 / 85,Заболеваемость ожирением за 2015,417.1,случая  на 100 тыс. человек
,65 / 85,Заболеваемость ожирением за 2014,148.1,случая  на 100 тыс. человек
,64 / 83,Заболеваемость ожирением за 2013,142.6,случая  на 100 тыс. человек
,20 / 85,Заболеваемость психическими расстройствами  за 2016,378.4,случая  на 100 000 человек
,21 / 85,Заболеваемость психическими расстройствами за 2015,368.8,случая  на 100 000 человек
,22 / 85,Заболеваемость психическими расстройствами за 2014,374.6,случая  на 100 000 человек
,26 / 83,Заболеваемость психическими расстройствами за 2013,348.3,случая  на 100 000 человек
,33 / 83,Заболеваемость психическими расстройствами за 2012,342.7,случая  на 100 000 человек
,37 / 83,Заболеваемость психическими расстройствами за 2011,333.8,случая  на 100 000 человек
,25 / 83,Заболеваемость психическими расстройствами за 2010,394.8,случая  на 100 000 человек
,31 / 83,Заболеваемость психическими расстройствами за 2009,368.4,случая  на 100 000 человек
,28 / 83,Заболеваемость психическими расстройствами за 2008,376.1,случая  на 100 000 человек
,33 / 83,Заболеваемость психическими расстройствами за 2007,363.4,случая  на 100 000 человек
,31 / 83,Заболеваемость психическими расстройствами за 2006,393.5,случая  на 100 000 человек
,33 / 83,Заболеваемость психическими расстройствами за 2005,389.1,случая  на 100 000 человек
,31 / 85,Заболеваемость раком  за 2016,450.3,случая  на 100 000 человек
,33 / 85,Заболеваемость раком за 2015,438.4,случая  на 100 000 человек
,22 / 85,Заболеваемость раком за 2014,447.1,случая  на 100 000 человек
,27 / 83,Заболеваемость раком за 2013,421.1,случая  на 100 000 человек
,20 / 83,Заболеваемость раком за 2012,414.4,случая  на 100 000 человек
,9 / 83,Заболеваемость раком за 2011,438.4,случая  на 100 000 человек
,4 / 83,Заболеваемость раком за 2010,438.5,случая  на 100 000 человек
,22 / 83,Заболеваемость раком за 2009,392,случая  на 100 000 человек
,4 / 83,Заболеваемость раком за 2008,415.8,случая  на 100 000 человек
,31 / 83,Заболеваемость раком за 2007,355.8,случая  на 100 000 человек
,24 / 83,Заболеваемость раком за 2006,365.6,случая  на 100 000 человек
,17 / 82,Заболеваемость раком за 2005,368.5,случая  на 100 000 человек
,79 / 85,Заболеваемость сифилисом  за 2016,6.5,случая  на 100 000 человек
,80 / 85,Заболеваемость сифилисом за 2015,8.9,случая  на 100 000 человек
,74 / 85,Заболеваемость сифилисом за 2014,10.6,случая  на 100 000 человек
,63 / 83,Заболеваемость сифилисом за 2013,17.8,случая  на 100 000 человек
,60 / 83,Заболеваемость сифилисом за 2012,20,случаев  на 100 000 человек
,61 / 83,Заболеваемость сифилисом за 2011,22.5,случая  на 100 000 человек
,62 / 83,Заболеваемость сифилисом за 2010,28.7,случая  на 100 000 человек
,55 / 83,Заболеваемость сифилисом за 2009,39.5,случая  на 100 000 человек
,59 / 83,Заболеваемость сифилисом за 2008,46.1,случая  на 100 000 человек
,56 / 83,Заболеваемость сифилисом за 2007,51.1,случая  на 100 000 человек
,73 / 83,Заболеваемость сифилисом за 2006,37.7,случая  на 100 000 человек
,73 / 83,Заболеваемость сифилисом за 2005,42.9,случая  на 100 000 человек
,62 / 85,Количество абортов,41,на 100 родов
,23 / 85,Ожидаемая продолжительность жизни  за 2017,73.21,года
,23 / 85,Ожидаемая продолжительность жизни за 2016,72.11,года
,22 / 85,Ожидаемая продолжительность жизни за 2015,71.67,года
,22 / 85,Ожидаемая продолжительность жизни за 2014,71.11,года
