,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,83 / 85,Естественный прирост населения  за 2017,-7,человек  на 1 000 в год
,83 / 85,Естественный прирост населения за 2016,-6.6,человека  на 1 000 в год
,83 / 85,Естественный прирост населения за 2015,-6.5,человека  на 1 000 в год
,82 / 85,Естественный прирост населения за 2014,-6.5,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2013,-6.7,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2012,-6.7,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2011,-7.7,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2010,-9.2,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2009,-8.9,человека  на 1 000 в год
,80 / 83,Естественный прирост населения за 2008,-10,человек  на 1 000 в год
,81 / 83,Естественный прирост населения за 2007,-10.4,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2006,-12.3,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2005,-13.8,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2004,-13.7,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2003,-14.9,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 2002,-15.2,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 2001,-14.9,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 2000,-14.1,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1999,-13.6,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 1998,-11.5,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1997,-11.4,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 1996,-11.6,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 1995,-12.3,человека  на 1 000 в год
,80 / 81,Естественный прирост населения за 1994,-13.6,человека  на 1 000 в год
,80 / 81,Естественный прирост населения за 1993,-11.8,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1992,-7.4,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1991,-4.7,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 1990,-3.4,человека  на 1 000 в год
,69 / 85,Естественный прирост населения. Рождаемость  за 2017,9.9,ребенка  на 1 000 в год
